"","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count"
"A1BG",-0.587948649664302,1.33245633382162,-0.0528373352965142,0.863469729114516
"A1BG-AS1",2.95111045320795,2.04638597043421,3.25406980459426,3.7912406085165
"A1CF",-0.843273399849487,-2.12180284556078,-2.39426308150323,1.74145214204117
"A2M",6.20821820081701,6.9562380243162,5.99777379214486,6.09908840877196
"A2M-AS1",3.14836528491001,2.44122111953192,4.05605226555414,1.45991922791813
"A2ML1",8.10626385284901,6.83725253216528,6.47131773654553,3.77348247168427
"A4GALT",5.26025649796025,5.58427882780922,5.36240474437376,4.26149844198955
"AAAS",5.26633672699895,5.17881134446864,5.88894787364821,5.1575649484094
"AACS",6.49555433533406,5.84668294801837,5.71212809486527,7.32734036759333
"AACSP1",1.1570396626385,0.512022264181021,5.68163927181981,3.36285978109329
"AADAC",-2.99154679673557,-2.99154679673557,1.21301858946643,2.76887194477271
"AADACL2",-1.15371371480717,-2.49210214931233,1.65833750093664,0.566253984484357
"AADACL3",-1.33820888159384,-2.99154679673557,-1.97310421221394,0.646492325563704
"AADACP1",0.332045873902132,-0.318510420703441,1.25260136887521,4.01176003786921
"AADAT",1.55159647173175,3.07856522625755,1.04284189092077,2.25801794610761
"AAGAB",5.66186230233797,5.60292623973912,4.84260444737318,4.85390567153893
"AAK1",8.15049249768307,8.68763814914325,8.93288782663371,8.05729496306298
"AAMDC",-0.475447689469323,-0.318510420703441,0.289218511582325,1.74145214204117
"AAMP",4.21136375258158,4.73899127840407,3.80632322449385,4.89143619106626
"AAR2",4.63756657096612,4.25627902744283,4.28804066667604,4.37771793186141
"AARD",-2.47641855189715,-1.19162410141983,-0.963970582837477,0.722502194885205
"AARS1",6.31179587931526,7.13343527759748,6.29415956178207,7.16059592555848
"AARS2",5.06014418837614,4.38396223382776,4.80649003090363,4.29922061399486
"AARSD1",3.11281387759032,2.52182652143409,2.45364472409461,3.22593181445536
"AASDH",4.64691794632705,4.5501216450282,4.7067049527095,4.51763178172596
"AASDHPPT",4.87889681618557,4.07671027166362,5.30473076707215,6.10086954750973
"AASS",5.95323220344151,5.48053841877418,4.79648169654941,4.79351224641076
"AATBC",5.52824810447667,3.67409659657159,4.32564359922834,5.25035668346425
"AATF",4.36280771898327,4.64914102994012,4.6336322052058,5.34356944436084
"AATK",2.37782860642475,2.86858073381135,0.289218511582325,3.56219194942514
"ABALON",-0.273771631706774,-1.58301039927926,0.849873137879971,-0.316161182994736
"ABAT",3.82864015761193,5.12821615190064,4.44149556909025,3.82611428105703
"ABCA1",7.0958682139794,7.97353228060114,6.42009051181439,7.7064689633617
"ABCA10",3.22529062417858,1.41918740190666,3.36658122560245,2.96937197767778
"ABCA11P",2.30093255607466,2.21748645763329,1.87672519094231,0.991880946612263
"ABCA12",5.7072656860499,3.01500705555319,5.1350851891751,4.02682868556991
"ABCA13",8.69561401751493,4.83413343489043,10.3465267451142,4.13508983617218
"ABCA17P",0.889322605494845,5.07578189921683,5.3937227210835,3.90977960832156
"ABCA2",7.19853661955668,7.33743149940292,5.77633945947487,6.01657223053569
"ABCA3",6.11919704276017,5.27108961978094,7.52738406834028,2.76887194477271
"ABCA4",0.757398902638175,-1.37408543620625,1.53534930840476,0.191485713713025
"ABCA5",7.27138860122401,6.49773159360603,7.60014992173967,7.43856974929746
"ABCA6",5.10380773276958,3.7373532237607,4.54076009596593,4.17621754854523
"ABCA7",6.47469988066919,5.10442009338876,6.15094841078369,4.98313385413185
"ABCA8",3.66031016689416,0.512022264181021,3.43699210218178,2.30821701525814
"ABCA9",4.35522116488496,2.24939965193358,3.83919537261654,2.5977920056993
"ABCA9-AS1",-2.47641855189715,-2.49210214931233,-2.99154679673558,1.36824435489303
"ABCB1",1.41231363824208,2.48208668943057,2.5834858917526,0.722502194885205
"ABCB10",4.72552042745821,3.9464892052555,3.97554624744679,5.00231968924484
"ABCB11",0.133472921871632,-1.82739910409141,1.13043798904874,-0.316161182994736
"ABCB4",0.662232284549689,0.402746918137816,2.78589595139535,2.09600420305545
"ABCB5",0.612186412644319,-1.37408543620625,-2.39426308150323,0.481288849189269
"ABCB6",3.73236073849004,3.17310769315165,2.85181410009625,4.39524184072233
"ABCB7",4.15567588337483,4.55651350069256,5.04777949988938,4.6055699517857
"ABCB8",6.41938771192818,5.28847362053402,5.43946072577223,6.31395424946818
"ABCB9",4.45796567388464,4.70774551663178,3.908981046881,4.29300168260506
"ABCC1",8.31179807609923,7.5124297885125,8.41359835916285,6.17713925099325
"ABCC10",5.84905229613474,5.46872567309252,6.2750657523975,5.4395935873015
"ABCC11",1.1570396626385,0.753698964278036,-2.39426308150323,2.33267637933463
"ABCC12",-0.475447689469323,-2.49210214931233,-2.99154679673558,1.05204016374085
"ABCC13",-0.182606520904112,-1.19162410141983,-1.64751572371202,2.06714053926761
"ABCC2",1.67860843744054,0.458418961514583,2.71682113112925,2.03768759726981
"ABCC3",3.04840961682337,5.15584191150522,6.04644316222149,6.9484828994601
"ABCC4",4.99573069271807,4.40182125029143,7.0007190468177,5.4111643249217
"ABCC5",8.82276594399384,9.01264156838001,8.96768066557017,6.69146686771854
"ABCC6",0.662232284549689,-2.12180284556078,1.40089110848067,-1.39674251673169
"ABCC6P1",-0.273771631706774,-1.82739910409141,-2.99154679673558,-1.39674251673169
"ABCC8",-1.33820888159384,-0.88407510485039,-1.15791693003156,1.27034640103147
"ABCC9",4.43295735464819,2.65883418286436,3.45407068577346,4.66937629634064
"ABCD1",4.34376600272332,4.87562155483534,3.49590302995396,3.46596575967965
"ABCD2",2.2850489917486,2.64690286956838,3.20447066971391,0.39100496054316
"ABCD3",5.74694180870268,5.8852800244437,6.17818334291379,5.02501089401409
"ABCD4",5.43596274280425,5.7537836694321,5.87157435544368,5.2113172425528
"ABCE1",6.76685679922319,7.45713478915188,6.51469635719029,7.41728528372384
"ABCF1",5.34887412769524,5.46872567309252,5.10025195935339,6.12207343653009
"ABCF2",3.95447674154113,4.08557703555645,3.75211835346677,4.68370854539068
"ABCF3",5.0717633275879,6.12776831991493,5.26898621552703,5.67540182485218
"ABCG1",4.190198956955,5.10877594563084,4.48784107382833,4.40103615925473
"ABCG2",1.08548109603551,0.708494357288831,2.11011405152919,1.66646037621002
"ABCG4",-1.15371371480717,-1.02966978837871,0.363410062131923,1.36824435489303
"ABCG8",-0.0968614115448922,-2.49210214931233,-0.963970582837477,2.03768759726981
"ABHD1",0.450704963448255,-1.02966978837871,1.13043798904874,0.191485713713025
"ABHD10",4.1987021706662,3.98016289041087,4.93064892453197,4.63537006303952
"ABHD11",4.8709382751715,4.33646690979517,4.35776090835678,3.33891105546832
"ABHD12",4.7972639268007,5.49558548263121,5.40034617177945,5.02501089401409
"ABHD12B",0.450704963448255,-2.49210214931233,1.13043798904874,1.05204016374085
"ABHD13",4.9410323762267,4.40182125029143,5.58416710654617,4.66937629634064
"ABHD14A",1.74977296464678,0.155713703604448,0.849873137879971,1.70444346638055
"ABHD14B",5.05078102708706,4.71347713006808,5.42220726761385,3.78238886304668
"ABHD15",4.48602566101849,3.75413430982864,4.39803104416621,4.70728369285639
"ABHD16A",3.33735099075799,3.2381718702251,3.40221617250622,2.38038514537369
"ABHD17A",5.68625512742384,5.88146645379905,5.43301483490204,5.28523789286687
"ABHD17B",4.1944568285215,3.9464892052555,4.5606076468471,3.23893094033832
"ABHD17C",6.50329768670178,5.40993205201152,6.54091048595813,5.25035668346425
"ABHD18",5.41968811354816,5.37419418380132,5.33961107282046,4.70259938207505
"ABHD2",7.72356527099255,7.9243386985192,7.99637202229746,9.15386534586002
"ABHD3",5.19162601116015,5.75239233858305,5.65234309964663,4.98313385413185
"ABHD4",6.152406399481,4.8883456696541,5.48587060349611,5.57133135043724
"ABHD5",5.87978234617672,6.49856172229278,5.140370277942,5.27265117824973
"ABHD6",3.10378743298669,4.80490212151962,2.31095180135007,3.23893094033832
"ABHD8",1.77273520553525,3.18965089275594,2.56788057238299,3.06005682248654
"ABI1",6.70328942766175,6.3371611570445,6.82231965720797,7.35297575449072
"ABI2",6.52374571135298,6.99557990545079,7.55089224883969,7.03486977269463
"ABI3",3.39768246779721,4.27190048084929,4.24453171407714,2.5977920056993
"ABI3BP",5.06247551451188,3.00569434992423,6.24839219503732,3.52021502419824
"ABITRAM",4.45796567388464,4.52752446716697,4.05605226555414,5.11589423996725
"ABL1",6.59472588989192,6.87354185617678,6.42551235000558,6.89405355789653
"ABL2",6.86961354222448,6.62101753418694,6.7949329790194,7.5977747216509
"ABLIM1",6.17950860441464,8.66655624017542,9.06919767656441,9.00320771798307
"ABLIM2",5.75417098382299,5.1452791296332,3.95169456038049,4.27418240697716
"ABLIM3",5.21905328250752,1.27159642651301,3.64464527937233,4.91996621744593
"ABO",4.70775777488056,3.85610844115396,5.08662738451968,8.02810635262901
"ABR",7.4364162355147,7.20282108994647,7.07987004754529,6.40903129246121
"ABRA",0.450704963448255,-2.99154679673557,-2.99154679673558,-0.0401235156135465
"ABRACL",2.11578334366039,2.61050520992653,2.19383288798901,3.4548667492114
"ABRAXAS1",4.92061643171916,3.79795240229033,4.44149556909025,3.44368168887447
"ABRAXAS2",4.71666643801335,4.62501600958233,4.47952460317304,5.17457867053122
"ABT1",4.32057914767831,4.39113239121241,4.6298795806878,3.90162806510518
"ABTB1",4.03265620921852,4.50456770618459,5.32111324189572,5.72012300342352
"ABTB2",3.42692773061207,4.53401700102375,3.30202026946322,3.32678594302897
"ACAA1",4.01350491888798,4.55651350069256,4.11629884710332,3.52021502419824
"ACAA2",3.87712412391136,2.50870116437161,3.03322022724428,2.82166917709829
"ACACA",7.83650957010282,7.67767041279499,7.0358830960304,8.40706958051047
"ACACB",5.15495432536316,5.37780807250976,5.89989580103789,4.68370854539068
"ACAD10",5.40873546332428,4.78326470045758,6.01657704467793,5.34055745796703
"ACAD11",2.37782860642475,2.4954552981726,3.45407068577346,3.3746866943857
"ACAD8",4.49985361392016,4.3803637473948,5.49415067727462,5.70614971700324
"ACAD9",4.94861448031283,6.00928484604989,5.5166788507008,5.76574672039014
"ACADL",0.332045873902132,-2.49210214931233,-2.99154679673558,0.39100496054316
"ACADM",4.49295620468763,4.16719983312192,3.53655650681594,4.14892975559289
"ACADS",1.96443930236355,1.67557822700597,2.06635940819634,2.92179832308957
"ACADSB",4.98839282938785,4.20430850964057,5.61296629364733,5.24392303141396
"ACADVL",7.78661708478351,7.20993444058021,7.70597050196849,6.3814533640112
"ACAN",0.612186412644319,-0.630707005779911,0.686063609168726,2.57746765716676
"ACAP1",4.27707715255972,4.68458860366483,5.70857443743773,3.00023797440808
"ACAP2",7.01932960614615,8.21160166136086,8.43552979372109,7.89483158237771
"ACAP3",6.85758171339824,6.38911744072345,5.82965836369647,6.05014714278621
