"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"AADAT",0.78585932272579,2.48825706624666,1.87915672399168,-0.970603348775192,-0.0333297185343529,2.73141841021956,2.81551873277795,2.55390109723358,0.976333433564884,1.50894021021877,0.158258458507549,-2.6704431892332,0.23183022493608,2.99314738111155,0.973074305021833,2.24667785785397,1.7931723304132,3.6247745087839
"AAGAB",5.96812599742902,6.28391461457688,5.85070809591696,5.61183710123404,5.71101132857741,6.39706026620058,5.8466868992478,6.2204934505992,6.48132964362231,6.25836835084257,6.39964692845696,4.96817367419146,4.97686120861495,6.5076667714396,5.97737366052224,5.07323077013093,6.37617102911823,4.98383604047445
"AAK1",5.75100649127765,5.61050542779539,5.92270279984868,6.05333480855201,5.55349147962693,5.835951172157,4.71326475273929,5.50512786686072,5.03462916451244,6.03826229268319,5.80425055731134,6.17299008184603,6.17971732623083,5.34048160384971,5.17318764497658,5.51517131036515,5.69984338954078,5.48421837044356
"AAMP",6.93552736978543,6.23750243711043,6.49447063047684,6.34576236162716,5.83881405317591,6.30999982115911,6.95068371085193,6.44786011600878,7.23134850849092,7.040633930545,6.77301878906144,6.89850000840342,7.02132613852873,7.22813445443579,7.06666246289875,6.06395704482884,7.20164665769737,6.74294647096106
"AARS",6.47924593518504,7.82953554534649,5.86262973037262,6.73182826742791,6.55214518722617,7.31026788983565,6.7854444069392,7.19803977078755,6.57187727183751,7.19133838434435,7.10005303653948,6.01489654348682,6.54028476434335,7.08131108543259,6.6500614098186,6.83019298885362,6.25880901372908,7.67914639094454
"AARS2",5.43843841100167,4.9348718863835,5.31679909122652,5.15307635672336,4.65904575352402,4.05718490436889,5.00981817782414,4.61883850630754,4.4510009125972,4.62579924576549,5.36515831868184,5.48131490980821,4.94630543910856,5.59235123016147,5.65981085378465,5.27005871353766,5.71752486039914,5.45759919326849
"AARSD1",4.91475511061556,4.60088292707941,4.67351574114078,3.9790983736833,4.49627033060399,4.40746743004092,4.86989015485464,4.31667396915357,3.75223331530947,3.90035137862019,4.27095530385671,4.2929613867664,4.65184520413499,5.22697663694099,4.7022176148265,4.26601973919276,5.04220549157778,5.33133325746256
"AASDH",3.58496642725913,3.80875542418394,3.44465203435107,3.78981301696201,3.77898609580924,3.54986839977409,3.34600250403461,3.08102043304695,3.90823747656577,3.98292511577172,3.45242987575155,3.64005605267914,3.5474875121038,3.32691104790665,3.52040209973414,3.78795388952737,3.33280437832224,3.91135702587425
"AASDHPPT",5.50728563980461,4.70688553699977,5.26384229389688,5.1935234111637,5.16423726547165,5.19430681195172,4.97021558693571,5.24528458376537,5.3111434197145,5.43977837632,4.19861225452045,4.45395206478811,4.87103149813586,3.94378796236204,5.47899731283663,5.5236527902536,5.32915406218686,6.69816879401916
"AASS",5.18860067750034,6.4810510358909,4.87267316778178,4.72359419268623,5.15989261356516,2.98652341960209,5.61660893476144,5.20878705899744,3.35004769032977,4.64940061947842,5.90530618450492,2.49906916422603,5.40531384619995,4.15433232321352,5.11411940067911,4.93858431245965,4.07774597941147,4.65236587842551
"AATF",5.64205863078398,5.73265833085974,5.73729551389599,5.26485372781655,5.56995842879852,6.51728686317034,5.57715468095744,5.55637930866211,5.6478711401732,6.01119217883511,5.7912868537411,5.80035716323025,5.81772657176115,5.83536317502368,5.55330108069957,5.72462474823073,5.371651245662,6.1947757292482
"AATK",1.65357014192213,-0.0207618222354524,1.5395937443973,1.50730603132704,0.437811274669421,0.0102856542697069,0.589380259023359,0.334414358024802,-1.01292606090695,-0.0397584835710519,1.29215133875445,0.358415079960095,2.16159192751378,0.729629528911667,2.06909350211397,1.53207677469609,2.35282190478798,0.741369844359586
"ABAT",2.15729770365055,4.568439245092,4.0606733678498,3.05217963167664,4.05880228280236,5.15287028470818,4.42688578601006,3.7258921206586,4.34812204092764,2.27298481102614,4.59819288883389,1.18801513412357,2.92767912435461,2.83627226808226,3.54616826327481,3.42115251751373,2.06586272141078,4.38738533614768
"ABCA1",5.6194032777582,5.4745459698453,6.14289903873409,6.35024176698019,5.41997785554127,3.80376311157061,5.29490556421214,6.18335512438317,4.15845736948217,7.0096020828462,5.61039472482842,4.67698294976646,5.27920467309457,4.3411037959742,5.37500842047474,5.42183501356924,4.83710702173985,3.51610326697615
"ABCA10",1.96249496927218,0.609120074014233,1.23172304961397,3.20508261098874,-0.202010837290501,2.44537971053915,1.01149386036255,1.12221911856437,-0.522309504118542,1.06814281451972,0.0846057949320645,1.10422008305584,2.36009299066539,-0.412172153099108,1.52248042714292,2.12932047067799,-0.0261509764538407,0.719130243517358
