"","all_genes_used"
"3635","KIFC1"
"3636","HHIP"
"3637","ZNF701"
"3638","PYY2"
"3639","HAS1"
"3640","REV3L"
"3641","MAMDC2"
"3642","DDC"
"3643","RABGAP1"
"3644","CENPJ"
"3645","VAMP4"
"3646","ETV5"
"3647","SERPINB9"
"3648","FAM63A"
"3649","RGS8"
"3650","CXCR2"
"3651","TRMT2B"
"3652","TNPO3"
"3653","GSR"
"3654","LRRN4CL"
"3655","SLC6A4"
"3656","TATDN2"
"3657","CROCC"
"3658","SH3TC1"
"3659","NOS2"
"3660","NR4A3"
"3661","KANK1"
"3662","SEC24A"
"3663","MIR205"
"3664","MEAF6"
"3665","OVCH2"
"3666","MAD1L1"
"3667","NT5M"
"3668","C11orf1"
"3669","NECAP2"
"3670","NME7"
"3671","NOA1"
"3672","PTBP2"
"3673","PPM1G"
"3674","MORF4L2"
"3675","AMIGO2"
"3676","MCM8"
"3677","NAT14"
"3678","PLEKHJ1"
"3679","AQP6"
"3680","FLJ32224"
"3681","NRIP1"
"3682","ACP2"
"3683","FAM162B"
"3684","LZTS2"
"3685","CEACAM1"
"3686","ZNF440"
"3687","CYP2E1"
"3688","AFF4"
"3689","AGAP9"
"3690","ACAP3"
"3691","USP51"
"3692","MYO7A"
"3693","COPS7B"
"3694","TRPM5"
"3695","LGALS9C"
"3696","PAPL"
"3697","C5orf42"
"3698","SPSB3"
"3699","RDH11"
"3700","STOML1"
"3701","GPR161"
"3702","ZNF268"
"3703","ZNF721"
"3704","HOXC10"
"3705","SIN3B"
"3706","MTERFD2"
"3707","GMPPB"
"3708","IGSF3"
"3709","NKX6-3"
"3710","DTX1"
"3711","NIPSNAP3A"
"3712","SLC19A1"
"3713","P2RX7"
"3714","CCDC106"
"3715","BCCIP"
"3716","FRMPD2"
"3717","SLC48A1"
"3718","TMPRSS6"
"3719","STX6"
"3720","EPHA4"
"3721","FCRL1"
"3722","GHRL"
"3723","METTL2A"
"3724","DDX11"
"3725","TSPAN32"
"3726","ZNF211"
"3727","SEL1L"
"3728","BAG6"
"3729","SLC35G3"
"3730","C3orf43"
"3731","PLEKHG3"
"3732","SLMAP"
"3733","WFDC12"
"3734","SREBF2"
"3735","CHRNA10"
"3736","ZNF833P"
"3737","RALGAPA1"
"3738","GAPT"
"3739","DIO3"
"3740","KCNK5"
"3741","ZNF649"
"3742","PTOV1"
"3743","CTAG2"
"3744","C1orf226"
"3745","MSS51"
"3746","FAM107B"
"3747","GTPBP1"
"3748","LRRC58"
"3749","MYO15A"
"3750","BTN2A1"
"3751","LOC100130093"
"3752","GOLM1"
"3753","ZNF23"
"3754","CAMK2A"
"3755","NSUN7"
"3756","GOLGA6L9"
"3757","CXCR2P1"
"3758","C16orf42"
"3759","NDRG1"
"3760","SPNS3"
"3761","NTN3"
"3762","HAUS3"
"3763","IL27"
"3764","ZNF813"
"3765","CRLF1"
"3766","MPHOSPH10"
"3767","LOC150197"
"3768","GZMH"
"3769","UNG"
"3770","PGRMC2"
"3771","WBP11"
"3772","UBA52"
"3773","LIPT1"
"3774","TRPV1"
"3775","TWIST2"
"3776","NEO1"
"3777","DLX2"
"3778","LIG1"
"3779","C18orf54"
"3780","GPD1"
"3781","CRISP2"
"3782","ALOXE3"
"3783","MESP2"
"3784","PRPF19"
"3785","SLITRK1"
"3786","PLIN1"
"3787","INO80D"
"3788","LOC644656"
"3789","RUSC2"
"3790","PROX1-AS1"
"3791","FBXL17"
"3792","GAL3ST1"
"3793","VPS28"
"3794","CCDC167"
"3795","VRK1"
"3796","MRPL17"
"3797","CARD18"
"3798","NKAIN2"
"3799","USP45"
"3800","LOC100507433"
"3801","MYLK2"
"3802","RNF215"
"3803","NRG4"
"3804","TMCO1"
"3805","FAM83E"
"3806","HIST2H2BC"
"3807","PEG10"
"3808","MAPK15"
"3809","AVPI1"
"3810","DEDD2"
"3811","TPH1"
"3812","AP1S1"
"3813","MS4A1"
"3814","BIVM"
"3815","NDUFB10"
"3816","ITCH"
"3817","PLN"
"3818","TBX3"
"3819","MYL3"
"3820","SCCPDH"
"3821","KBTBD2"
"3822","MRPS26"
"3823","ZC2HC1A"
"3824","SLC22A20"
"3825","TRIP6"
"3826","STEAP2"
"3827","EPOR"
"3828","ZNF638"
"3829","ZNF384"
"3830","CXCL9"
"3831","PCDHGA5"
"3832","CNNM1"
"3833","TXNDC11"
"3834","CCDC65"
"3835","ZNF219"
"3836","C5orf43"
"3837","LOC100272216"
"3838","PRKAR1A"
"3839","NT5C"
"3840","CLDN1"
"3841","CTTNBP2"
"3842","LOC284837"
"3843","C16orf3"
"3844","ZC3H18"
"3845","NAT6"
"3846","LOC100134713"
"3847","PRAME"
"3848","ZNF860"
"3849","NOL7"
"3850","ANKHD1"
"3851","KANK3"
"3852","ABHD11"
"3853","STAG1"
"3854","PDZK1"
"3855","MGAT2"
"3856","C11orf10"
"3857","CSTF1"
"3858","LOC285359"
"3859","RAB21"
"3860","SUPT6H"
"3861","UHRF1BP1L"
"3862","CTSW"
"3863","ELOF1"
"3864","TCF24"
"3865","ZCCHC17"
"3866","NAP1L2"
"3867","SPON1"
"3868","OTUB2"
"3869","GLMN"
"3870","FLJ37035"
"3871","CCDC121"
"3872","MT1F"
"3873","PFDN1"
"3874","CAPS"
"3875","CAPZA3"
"3876","ANKDD1A"
"3877","GPX4"
"3878","FAM181B"
"3879","DIABLO"
"3880","OXCT2"
"3881","MS4A2"
"3882","MTHFD1"
"3883","ZXDB"
"3884","PARP14"
"3885","LOC283481"
"3886","GUSBP3"
"3887","RNF122"
"3888","FBXL19"
"3889","CCNJL"
"3890","RASGRP1"
"3891","ABHD11-AS1"
"3892","NUDT19"
"3893","PARP12"
"3894","LILRA1"
"3895","SEC14L2"
"3896","NBLA00301"
"3897","AHCYL1"
"3898","HIST1H2BD"
"3899","PLA2G3"
"3900","THAP11"
"3901","PALMD"
"3902","NOX4"
"3903","RAC1"
"3904","ZNF556"
"3905","GRPEL2"
"3906","THSD7A"
"3907","PCBP4"
"3908","CABLES2"
"3909","BOC"
"3910","C9orf95"
"3911","GIPR"
"3912","PBX1"
"3913","SMC4"
"3914","EMBP1"
"3915","CD22"
"3916","PGBD2"
"3917","SENP3"
"3918","SOWAHD"
"3919","NPR1"
"3920","FAM104A"
"3921","CLIP4"
"3922","GPA33"
"3923","EPC2"
"3924","MYL6B"
"3925","CD2AP"
"3926","AIFM3"
"3927","DDIT3"
"3928","DBH"
"3929","PDIA6"
"3930","PAIP2"
"3931","LOC100506433"
"3932","HSP90B1"
"3933","LOC100287177"
"3934","GPR50"
"3935","THOC5"
"3936","SLC9A5"
"3937","KRTAP5-8"
"3938","SLC14A2"
"3939","SLC25A19"
"3940","TAGLN3"
"3941","HDHD1"
"3942","MUC13"
"3943","SEC61A1"
"3944","ZCCHC6"
"3945","RHOU"
"3946","DYNC1LI2"
"3947","FLVCR2"
"3948","PIPOX"
"3949","VSIG8"
"3950","MALSU1"
"3951","PAN2"
"3952","NAPSB"
"3953","ATF7IP"
"3954","SYS1"
"3955","CDK1"
"3956","LRBA"
"3957","CLU"
"3958","OSM"
"3959","C2orf71"
"3960","NKAIN4"
"3961","ACSM5"
"3962","NACC1"
"3963","SNRNP48"
"3964","RRP36"
"3965","COL4A5"
"3966","CXorf26"
"3967","WDR47"
"3968","CYP2S1"
"3969","KLF15"
"3970","TBXAS1"
"3971","BRI3BP"
"3972","DAXX"
"3973","GPN1"
"3974","OSTM1"
"3975","OSBP2"
"3976","WIPF2"
"3977","NFATC4"
"3978","CALR"
"3979","MAFF"
"3980","INHBA"
"3981","ZNF267"
"3982","CCDC154"
"3983","MEPCE"
"3984","SH3GL1P1"
"3985","LINC00574"
"3986","LOC727849"
"3987","DTWD1"
"3988","FLJ44054"
"3989","SEPT10"
"3990","GPR89A"
"3991","LOC728819"
"3992","FRAS1"
"3993","LRP1"
"3994","ZDHHC1"
"3995","CXCL2"
"3996","NAMPT"
"3997","CNTLN"
"3998","CSPP1"
"3999","FAM126B"
"4000","CENPB"
"4001","LOC643529"
"4002","TBC1D10A"
"4003","LOC728377"
"4004","ZNF331"
"4005","KBTBD4"
"4006","BBS10"
"4007","CCDC107"
"4008","KIAA1967"
"4009","ATP1A3"
"4010","ZNF330"
"4011","ALKBH7"
"4012","DTD1"
"4013","OAZ2"
"4014","MOBP"
"4015","PRC1"
"4016","LOC641518"
"4017","LOC729678"
"4018","HNRNPF"
"4019","GTF2H4"
"4020","CTDP1"
"4021","FZD8"
"4022","CD300LF"
"4023","PSMB5"
"4024","SUOX"
"4025","PAF1"
"4026","ESPN"
"4027","ADD3"
"4028","GRIK2"
"4029","PRCP"
"4030","C3orf14"
"4031","ZNF7"
"4032","CBX7"
"4033","CR1"
"4034","GZF1"
"4035","FLVCR1-AS1"
"4036","SPACA4"
"4037","PDE10A"
"4038","CREG1"
"4039","RENBP"
"4040","METTL16"
"4041","ISLR2"
"4042","UBE2E3"
"4043","ZBTB25"
"4044","LOC100129518"
"4045","WDR34"
"4046","C18orf56"
"4047","GK"
"4048","VTA1"
"4049","NS3BP"
"4050","SLC35A5"
"4051","CPNE2"
"4052","CCL3"
"4053","KIAA1429"
"4054","AUP1"
"4055","PLLP"
"4056","ZNF16"
"4057","LOC100129196"
"4058","WWC3"
"4059","SPDEF"
"4060","FAM160A2"
"4061","SLC38A1"
"4062","RHOG"
"4063","NAAA"
"4064","VSIG4"
"4065","PDK4"
"4066","CALCOCO1"
"4067","PPAN-P2RY11"
"4068","GLS2"
"4069","RAB34"
"4070","PLCH2"
"4071","CLCF1"
"4072","ANKUB1"
"4073","ADH6"
"4074","C11orf93"
"4075","FTX"
"4076","SBDSP1"
"4077","DNAJC6"
"4078","RALGDS"
"4079","UQCRHL"
"4080","SDCCAG3"
"4081","FIGN"
"4082","CLP1"
"4083","SMAD6"
"4084","UBE2Z"
"4085","APOL6"
"4086","FAM208B"
"4087","RBP1"
"4088","ZRANB2"
"4089","WDR11"
"4090","ADHFE1"
"4091","RND2"
"4092","FGFR4"
"4093","C1QTNF6"
"4094","PSME3"
"4095","TNRC18"
"4096","HSPA2"
"4097","UST"
"4098","UMODL1"
"4099","GPR25"
"4100","ANO9"
"4101","MICALL2"
"4102","SMYD4"
"4103","DLGAP5"
"4104","SAMD10"
"4105","DOC2B"
"4106","ZNF718"
"4107","LINC00476"
"4108","AK8"
"4109","NSUN3"
"4110","CAPN13"
"4111","TMLHE"
"4112","FAM153A"
"4113","ATXN1"
"4114","LOC729799"
"4115","C1QTNF9"
"4116","C2"
"4117","C8orf40"
"4118","LOC100131138"
"4119","TMEM38B"
"4120","ZC2HC1C"
"4121","TMOD1"
"4122","LIN7C"
"4123","C7orf44"
"4124","ASUN"
"4125","RNF144A"
"4126","C22orf26"
"4127","ZBED6"
"4128","MARCKSL1"
"4129","JAGN1"
"4130","ZBTB5"
"4131","ZNF404"
"4132","CHRFAM7A"
"4133","TGFBRAP1"
"4134","ABCA1"
"4135","RPL41"
"4136","SRM"
"4137","ABCB10"
"4138","MBLAC2"
"4139","SLC35A1"
"4140","FTHL17"
"4141","ZBTB20-AS1"
"4142","NBEAP1"
"4143","LOC100288428"
"4144","MYOZ3"
"4145","LANCL2"
"4146","NUDT18"
"4147","DHRS11"
"4148","P2RX5"
"4149","ITGB3BP"
"4150","C4orf22"
"4151","TSPAN6"
"4152","MRPS28"
"4153","ADRA2C"
"4154","SNORA57"
"4155","SNORA49"
"4156","GPR85"
"4157","PLOD3"
"4158","WNT8B"
"4159","MANSC1"
"4160","NRARP"
"4161","NUMA1"
"4162","PAM16"
"4163","CBX6"
"4164","FDX1L"
"4165","C17orf47"
"4166","VANGL2"
"4167","RAVER1"
"4168","TLL2"
"4169","BFAR"
"4170","ANKS6"
"4171","TNFRSF11A"
"4172","HMX3"
"4173","LOC100270804"
"4174","FBXO18"
"4175","MOSPD2"
"4176","SEC16A"
"4177","MTPAP"
"4178","MARCH8"
"4179","ZNF347"
"4180","KRT222"
"4181","APBA1"
"4182","NETO1"
"4183","TTC17"
"4184","TFPI2"
"4185","ABHD3"
"4186","PRKACA"
"4187","WNK1"
"4188","PCP4L1"
"4189","ANKRD13B"
"4190","TXNL4A"
"4191","HSD17B11"
"4192","C7orf42"
"4193","PLA2G2A"
"4194","YKT6"
"4195","GUCY1A2"
"4196","ALDH5A1"
"4197","FAM120A"
"4198","PNMA1"
"4199","HBB"
"4200","FKBP9L"
"4201","ASH1L"
"4202","WAC"
"4203","POFUT1"
"4204","CDYL2"
"4205","LPA"
"4206","CRMP1"
"4207","FAM19A3"
"4208","LRP8"
"4209","TSC22D1"
"4210","HEXB"
"4211","C22orf29"
"4212","ICA1"
"4213","AQP9"
"4214","KIAA0368"
"4215","CWF19L2"
"4216","LONP1"
"4217","BMI1"
"4218","NUP214"
"4219","TPI1"
"4220","CRIPAK"
"4221","ZNF621"
"4222","HIP1R"
"4223","WNT3A"
"4224","FRRS1"
"4225","PHLDA1"
"4226","GGTA1P"
"4227","AMZ2"
"4228","TIMM17B"
"4229","C2orf55"
"4230","ACTN1"
"4231","PHGDH"
"4232","DEAF1"
"4233","TMEM132A"
"4234","THPO"
"4235","ITSN1"
"4236","XPC"
"4237","TFAP2E"
"4238","ADIPOR2"
"4239","FAM175A"
"4240","PTCD2"
"4241","FRMD7"
"4242","KRTAP3-1"
"4243","CHD9"
"4244","PRDM4"
"4245","UTP20"
"4246","PRIC285"
"4247","SEMA3E"
"4248","SHMT2"
"4249","NR2C1"
"4250","TBX5"
"4251","FADS1"
"4252","ZDHHC4"
"4253","EIF5"
"4254","ATP5C1"
"4255","CHTF8"
"4256","TDP1"
"4257","UNC5CL"
"4258","KLK6"
"4259","CEP76"
"4260","WNT1"
"4261","ARRDC5"
"4262","CHRNA7"
"4263","KRT9"
"4264","ZDHHC20"
"4265","HAAO"
"4266","CDK2"
"4267","MYT1"
"4268","ANKRA2"
"4269","NME5"
"4270","SUN3"
"4271","RAP2C"
"4272","CORIN"
"4273","CLDN4"
"4274","ZNF814"
"4275","TMEM170A"
"4276","ITPR3"
"4277","DYRK2"
"4278","TAB2"
"4279","CHAF1B"
"4280","CEP350"
"4281","CATSPER3"
"4282","CCNJ"
"4283","FBXO9"
"4284","PCDHGB3"
"4285","JAG2"
"4286","WWP1"
"4287","MAPK8IP1"
"4288","EVI5L"
"4289","ZNF740"
"4290","OMG"
"4291","SPIN1"
"4292","SPRYD7"
"4293","GTPBP10"
"4294","UROD"
"4295","FLJ22447"
"4296","FGF13"
"4297","LOC284798"
"4298","LOC100131655"
"4299","EHD3"
"4300","LMBR1"
"4301","FBXO3"
"4302","TDP2"
"4303","KIAA1958"
"4304","TMOD2"
"4305","CEP63"
"4306","SUSD1"
"4307","NUP160"
"4308","MEF2B"
"4309","ITGAD"
"4310","ZNF74"
"4311","SLITRK6"
"4312","LOC100506013"
"4313","ETFDH"
"4314","ATAD3B"
"4315","SF3B1"
"4316","FAM172A"
"4317","TRPS1"
"4318","LSM6"
"4319","CDK20"
"4320","SLC5A1"
"4321","RPL36AL"
"4322","BST1"
"4323","LOC728323"
"4324","DNM1P35"
"4325","STIM1"
"4326","TMIE"
"4327","CTAGE5"
"4328","C2orf84"
"4329","MADCAM1"
"4330","PRICKLE1"
"4331","KERA"
"4332","FOXRED1"
"4333","ZNF76"
"4334","PTBP3"
"4335","C8orf76"
"4336","SPECC1"
"4337","LOC731424"
"4338","PEX7"
"4339","C16orf88"
"4340","TOB2"
"4341","LOC100130238"
"4342","PLEKHM3"
"4343","RAMP3"
"4344","NDFIP2"
"4345","RARG"
"4346","LOC100129250"
"4347","UROS"
"4348","ZXDC"
"4349","DNAJC2"
"4350","CATSPERB"
"4351","SMARCA5"
"4352","ALG1L2"
"4353","UBE2C"
"4354","ERI3"
"4355","LRRC25"
"4356","ITGAE"
"4357","TREML1"
"4358","IGF2"
"4359","COPS5"
"4360","MRPS31"
"4361","PRRC2C"
"4362","RG9MTD3"
"4363","DTNA"
"4364","LINC00518"
"4365","SNORA81"
"4366","ARHGAP32"
"4367","C14orf45"
"4368","POLR3GL"
"4369","NIPBL"
"4370","ATMIN"
"4371","AARS"
"4372","TMEM177"
"4373","CHAT"
"4374","TIMMDC1"
"4375","GPRC5C"
"4376","CHRNB4"
"4377","TMEM66"
"4378","AP3B2"
"4379","DAGLA"
"4380","VPS72"
"4381","ATG2B"
"4382","LOC100134368"
"4383","KRT20"
"4384","TMC8"
"4385","MAP7D3"
"4386","RHD"
"4387","TUBB3"
"4388","STIL"
"4389","NT5DC2"
"4390","CAPZA1"
"4391","MAP4K4"
"4392","TTC18"
"4393","ZNF296"
"4394","FMO3"
"4395","ADAT3"
"4396","LARP1"
"4397","LOC441177"
"4398","LOC90834"
"4399","TFE3"
"4400","CDC42EP5"
"4401","USP8"
"4402","RCCD1"
"4403","LOC440356"
"4404","IL1A"
"4405","LTBP3"
"4406","AGTR1"
"4407","TMEM218"
"4408","SEC23A"
"4409","GHRLOS2"
"4410","AMIGO3"
"4411","SOX13"
"4412","CCDC144A"
"4413","PAH"
"4414","BIN2"
"4415","C17orf90"
"4416","TOP1P1"
"4417","STK39"
"4418","LOC100128191"
"4419","RAD50"
"4420","GOLGA5"
"4421","CXXC11"
"4422","ALS2CR12"
"4423","TK1"
"4424","THAP4"
"4425","HCAR2"
"4426","MTHFSD"
"4427","HDC"
"4428","SPR"
"4429","PTGR1"
"4430","LOC399829"
"4431","EEF2"
"4432","CDH17"
"4433","C21orf56"
"4434","PPM1J"
"4435","LOC349196"
"4436","GRIA4"
"4437","PKD1L2"
"4438","PAFAH1B1"
"4439","RUNDC1"
"4440","PHF3"
"4441","RNPS1"
"4442","PLCD4"
"4443","ZNF137P"
"4444","VPS45"
"4445","POMT1"
"4446","GPR137C"
"4447","LYG1"
"4448","SPRN"
"4449","GSG2"
"4450","COPG2"
"4451","TLE6"
"4452","OPLAH"
"4453","ZNF226"
"4454","CCDC22"
"4455","ATG13"
"4456","BSND"
"4457","UGGT1"
"4458","LOC286189"
"4459","MAT2B"
"4460","CASQ1"
"4461","FNTA"
"4462","DEGS1"
"4463","RHOF"
"4464","DGCR11"
"4465","CXorf61"
"4466","RCBTB1"
"4467","LOC100130987"
"4468","STAMBPL1"
"4469","NPY6R"
"4470","SFTPB"
"4471","BCLAF1"
"4472","AKR7A2"
"4473","PPP2R4"
"4474","XBP1"
"4475","TMEM110"
"4476","SEPHS1"
"4477","SH3TC2"
"4478","CXCL13"
"4479","STAG2"
"4480","DEM1"
"4481","SMPDL3B"
"4482","ZNF761"
"4483","SYCP2"
"4484","ZNF503-AS1"
"4485","FKBP9"
"4486","UEVLD"
"4487","DYNC2LI1"
"4488","SEPSECS"
"4489","CALM3"
"4490","COBRA1"
"4491","RFTN2"
"4492","IL1RAP"
"4493","IFITM1"
"4494","CRNDE"
"4495","ZNF443"
"4496","PHB"
"4497","STRN3"
"4498","PIM3"
"4499","TMEM63B"
"4500","F2RL3"
"4501","HCG26"
"4502","SPRY2"
"4503","CYBA"
"4504","GTF2H2B"
"4505","GNB3"
"4506","HIC2"
"4507","KIAA1841"
"4508","CTIF"
"4509","TRIM47"
"4510","YPEL3"
"4511","HIST2H2AB"
"4512","IVD"
"4513","FIBIN"
"4514","FAM19A4"
"4515","CLDN3"
"4516","CRY1"
"4517","LTBR"
"4518","SNAI3"
"4519","C11orf96"
"4520","HHAT"
"4521","HM13"
"4522","SLC25A44"
"4523","MRPL36"
"4524","GEMIN6"
"4525","OSR1"
"4526","HSD17B1"
"4527","RFPL4A"
"4528","HEPHL1"
"4529","AGAP7"
"4530","KCNA7"
"4531","GET4"
"4532","RERGL"
"4533","IBTK"
"4534","SLC13A4"
"4535","FAM100A"
"4536","MAFIP"
"4537","MNAT1"
"4538","H2AFY2"
"4539","RSPH6A"
"4540","ADAL"
"4541","GOLGA2"
"4542","AQP4"
"4543","SOS2"
"4544","SGCA"
"4545","KLRC4"
"4546","C21orf91"
"4547","HERC2P4"
"4548","AP4B1"
"4549","DICER1"
"4550","APOBEC2"
"4551","RRAGA"
"4552","ZCCHC12"
"4553","PLEKHG4"
"4554","TDH"
"4555","ELOVL4"
"4556","UGT2A1"
"4557","SYCE2"
"4558","TDRG1"
"4559","TBX1"
"4560","C9orf100"
"4561","USP10"
"4562","RIMS3"
"4563","ZNF41"
"4564","MECOM"
"4565","MRPS2"
"4566","UBAP2L"
"4567","AAK1"
"4568","AMMECR1L"
"4569","SPAST"
"4570","LOC641515"
"4571","CADM3"
"4572","TRAPPC6B"
"4573","SERP2"
"4574","ZNF32"
"4575","STAT5A"
"4576","CLEC18B"
"4577","GUSBP11"
"4578","THOC2"
"4579","NR1H2"
"4580","NUP107"
"4581","PEX2"
"4582","BRD8"
"4583","B3GALNT1"
"4584","JPH1"
"4585","GMEB2"
"4586","DEFB4A"
"4587","FAM189B"
"4588","TMCO7"
"4589","BROX"
"4590","HSPB3"
"4591","TMEM70"
"4592","TUSC3"
"4593","TMEM151B"
"4594","CACNA2D4"
"4595","CCNF"
"4596","CTRL"
"4597","PKN3"
"4598","DLG5"
"4599","PIGG"
"4600","TRIM23"
"4601","SIRT5"
"4602","LRRC17"
"4603","RDH5"
"4604","CHRDL1"
"4605","SYCE1L"
"4606","ARX"
"4607","CEBPG"
"4608","IL12RB2"
"4609","MBD6"
"4610","QTRTD1"
"4611","PLXNA3"
"4612","DBF4B"
"4613","RNMTL1"
"4614","GLUD2"
"4615","SLC23A1"
"4616","EFCAB7"
"4617","RASA4P"
"4618","CDCA3"
"4619","AMOT"
"4620","CMTM1"
"4621","TEKT5"
"4622","FCER2"
"4623","TRPM1"
"4624","HTRA1"
"4625","KRT18"
"4626","CXCL16"
"4627","LEFTY1"
"4628","SLC5A2"
"4629","IRX2"
"4630","CSNK2A1"
"4631","MTIF2"
"4632","LOC100506649"
"4633","CMTM4"
"4634","GLTSCR2"
"4635","TPD52L2"
"4636","CNDP1"
"4637","FAR1"
"4638","MRPL22"
"4639","MCAT"
"4640","LDHC"
"4641","LOC401134"
"4642","ZNF160"
"4643","RNMT"
"4644","SPEF1"
"4645","FBXW7"
"4646","CELF3"
"4647","CYB5RL"
"4648","VENTX"
"4649","TMEM14B"
"4650","TMEM128"
"4651","ZNF704"
"4652","NUDT4"
"4653","OC90"
"4654","HMBOX1"
"4655","LOC100190938"
"4656","PURA"
"4657","HCLS1"
"4658","LOC170425"
"4659","DCAF13"
"4660","EPHB4"
"4661","SFMBT1"
"4662","C5orf39"
"4663","CCDC126"
"4664","GNA14"
"4665","TEAD4"
"4666","SNX17"
"4667","UBXN7"
"4668","ABCC10"
"4669","CDC20"
"4670","FNIP2"
"4671","BTD"
"4672","HESX1"
"4673","CERS5"
"4674","LRRFIP1"
"4675","PPT2"
"4676","C17orf70"
"4677","FTSJ2"
"4678","DEPDC1"
"4679","SLC16A9"
"4680","LOC389641"
"4681","ATP6V0A1"
"4682","ADAR"
"4683","C14orf182"
"4684","PEX14"
"4685","ATP9B"
"4686","EFS"
"4687","CRYBB2P1"
"4688","TMEM51"
"4689","LAMC2"
"4690","TRADD"
"4691","C14orf133"
"4692","TCL1B"
"4693","RCBTB2"
"4694","USHBP1"
"4695","NOC2L"
"4696","TTC8"
"4697","ZDHHC7"
"4698","YAP1"
"4699","NUDT10"
"4700","ZXDA"
"4701","PURG"
"4702","LMO7"
"4703","TBC1D8"
"4704","IDH3G"
"4705","EXTL1"
"4706","EMX2"
"4707","ALKBH3"
"4708","CHST8"
"4709","ASCC1"
"4710","FZR1"
"4711","MTHFD2L"
"4712","C21orf90"
"4713","ENTPD2"
"4714","SSNA1"
"4715","MED19"
"4716","ZCCHC9"
"4717","SERBP1"
"4718","SRA1"
"4719","UBAC1"
"4720","FXYD1"
"4721","ATPAF2"
"4722","HOXB6"
"4723","CAMK2D"
"4724","ZNF266"
"4725","LMO1"
"4726","NDUFAF2"
"4727","KLC4"
"4728","HLF"
"4729","LIPA"
"4730","PREPL"
"4731","KRT19"
"4732","IGSF9"
"4733","RGS13"
"4734","TEX26-AS1"
"4735","BAG2"
"4736","PNN"
"4737","GEMIN5"
"4738","AKR1D1"
"4739","KCNQ2"
"4740","XPA"
"4741","MEIS2"
"4742","RMI2"
"4743","MESDC2"
"4744","CGB5"
"4745","AHSG"
"4746","C8orf38"
"4747","DNAJC14"
"4748","LINC00330"
"4749","NNT"
"4750","IYD"
"4751","FKBP10"
"4752","ESCO2"
"4753","AAAS"
"4754","TAB1"
"4755","RERG"
"4756","BEX1"
"4757","CHML"
"4758","SNX12"
"4759","C2CD3"
"4760","LRRC15"
"4761","PIGO"
"4762","RPL32"
"4763","ANKHD1-EIF4EBP3"
"4764","GCLM"
"4765","C3orf36"
"4766","HEATR7A"
"4767","LOC339535"
"4768","HERC6"
"4769","SNX14"
"4770","FAM78B"
"4771","FOXN4"
"4772","C7orf70"
"4773","TATDN1"
"4774","LSM14B"
"4775","EXOC8"
"4776","SCN3B"
"4777","ZNF749"
"4778","PGS1"
"4779","LENG8"
"4780","CCDC115"
"4781","ATP6V1H"
"4782","MTUS2"
"4783","SRSF6"
"4784","PLEKHH1"
"4785","PYGB"
"4786","PRKCZ"
"4787","LRRC73"
"4788","DYRK3"
"4789","GPATCH8"
"4790","CTNS"
"4791","LOC100131564"
"4792","LOC100505622"
"4793","MED16"
"4794","FAM122A"
"4795","CUEDC2"
"4796","PCDHB9"
"4797","TUBGCP3"
"4798","GSTT2"
"4799","PYGO1"
"4800","TRIM78P"
"4801","ALOX15B"
"4802","IFIT3"
"4803","SMAD3"
"4804","MTSS1L"
"4805","CYP1A1"
"4806","PRRC2B"
"4807","SV2C"
"4808","TPI1P2"
"4809","LYPD6"
"4810","ASXL2"
"4811","SLC12A4"
"4812","SYVN1"
"4813","NUP85"
"4814","KIAA0895"
"4815","SULT1B1"
"4816","NOS3"
"4817","AP5B1"
"4818","IQUB"
"4819","TSIX"
"4820","PANK3"
"4821","LRFN1"
"4822","C6orf106"
"4823","HLA-DRB1"
"4824","FLJ42351"
"4825","TBX20"
"4826","KLF11"
"4827","LOC286467"
"4828","ANKRD40"
"4829","PSAT1"
"4830","PPIH"
"4831","ZNF484"
"4832","NICN1"
"4833","DLGAP4"
"4834","RPS19"
"4835","ZNF394"
"4836","STARD4"
"4837","FAM217B"
"4838","SCN2B"
"4839","POTEM"
"4840","LOC400550"
"4841","GNRHR2"
"4842","TM9SF2"
"4843","TOR1B"
"4844","LOH12CR2"
"4845","FIS1"
"4846","C14orf28"
"4847","KLHL31"
"4848","SNAI2"
"4849","FLJ37453"
"4850","MRPS25"
"4851","LINC00087"
"4852","CDK11A"
"4853","GPR146"
"4854","LRRC20"
"4855","ZNF876P"
"4856","FAM216B"
"4857","PDHA1"
"4858","ZNF681"
"4859","MDN1"
"4860","GPR107"
"4861","DEPDC7"
"4862","ST7-AS1"
"4863","S100A1"
"4864","RAB30"
"4865","ZNF559"
"4866","MORN2"
"4867","PMM1"
"4868","EI24"
"4869","TMEM56"
"4870","MTFMT"
"4871","PIN4"
"4872","ZNF703"
"4873","TM9SF4"
"4874","ZNF431"
"4875","RPL18A"
"4876","BACE2"
"4877","SNX21"
"4878","TMSB10"
"4879","ZNF233"
"4880","TMEM184C"
"4881","NPM3"
"4882","LAMC3"
"4883","ARAP2"
"4884","CASQ2"
"4885","MTIF3"
"4886","CCL11"
"4887","LOC100133161"
"4888","KPTN"
"4889","LOC723809"
"4890","COX7C"
"4891","PLA2G5"
"4892","CBWD3"
"4893","DTX3L"
"4894","ACACA"
"4895","HAT1"
"4896","MRPS23"
"4897","ZNF835"
"4898","ATF7"
"4899","PHYHIP"
"4900","LAMP1"
"4901","GPC3"
"4902","CSDA"
"4903","LOC100506930"
"4904","C2orf27A"
"4905","CYP4X1"
