"","all_genes_used"
"316","TCERG1L"
"317","C21orf49"
"318","AKAP11"
"319","GNPTAB"
"320","SLC14A1"
"321","GPC5"
"322","PSMA1"
"323","KMO"
"324","KPNA2"
"325","NAP1L3"
"326","LAT2"
"327","PCDH17"
"328","TNFRSF10B"
"329","SEMA4C"
"330","SEC11C"
"331","CASS4"
"332","FAM40A"
"333","GLIPR2"
"334","LANCL1"
"335","PDZD11"
"336","CRYBB1"
"337","LSS"
"338","TSEN54"
"339","CBFA2T2"
"340","ZNF776"
"341","ATP5S"
"342","LMAN1L"
"343","FBXO21"
"344","FYB"
"345","FAM41C"
"346","WNT16"
"347","MYO1E"
"348","LOC100128361"
"349","DNAJC5"
"350","DAP"
"351","PID1"
"352","BLMH"
"353","BTLA"
"354","ZNF706"
"355","ALS2CR11"
"356","BRIX1"
"357","TACO1"
"358","CXorf65"
"359","GPC6"
"360","SNRPD2"
"361","CKAP5"
"362","TMEM106C"
"363","FAM22A"
"364","MBOAT2"
"365","LOC400236"
"366","CTAGE7P"
"367","POLD4"
"368","ZNF652"
"369","ARHGEF10"
"370","COX6A1"
"371","SEMA5B"
"372","SFXN4"
"373","CCDC124"
"374","SOX21"
"375","GNG5"
"376","AGPS"
"377","RHOJ"
"378","TMED7-TICAM2"
"379","NEK2"
"380","ZNF600"
"381","CLEC17A"
"382","CDH13"
"383","GLCE"
"384","DOK2"
"385","SYT9"
"386","PSMB3"
"387","EBNA1BP2"
"388","SLC13A5"
"389","AMFR"
"390","FUT8"
"391","KIAA0182"
"392","ZNF93"
"393","PAQR7"
"394","GTSF1"
"395","PAK7"
"396","ZNF471"
"397","SGPL1"
"398","LOC100508120"
"399","SPATA12"
"400","EPS15"
"401","NFKBIZ"
"402","C17orf99"
"403","BACE1"
"404","NSD1"
"405","SLC19A3"
"406","BBS1"
"407","MTTP"
"408","MYBPH"
"409","ST8SIA2"
"410","PARP1"
"411","ZNF217"
"412","C7"
"413","STOML2"
"414","MKL1"
"415","MMP11"
"416","OR2W3"
"417","DLG3"
"418","OSBPL11"
"419","HBEGF"
"420","DEFB1"
"421","PPIA"
"422","PCDHGA11"
"423","LAMC1"
"424","HLA-F-AS1"
"425","DUSP9"
"426","ABCB4"
"427","CMC1"
"428","CTSL2"
"429","CDC42EP4"
"430","STAM"
"431","PDF"
"432","ABCA17P"
"433","IRF7"
"434","KIF6"
"435","HNF1A"
"436","FCRL5"
"437","KIAA0226"
"438","C14orf149"
"439","PROM1"
"440","UBL5"
"441","EGOT"
"442","DDIT4L"
"443","C9orf139"
"444","C8orf85"
"445","SLC5A4"
"446","C15orf42"
"447","LINGO1"
"448","KANSL3"
"449","ATF6B"
"450","CCZ1"
"451","SWSAP1"
"452","SCN1B"
"453","SH3RF2"
"454","ISL2"
"455","SETD3"
"456","THBS1"
"457","DUSP26"
"458","NLRC4"
"459","CHST10"
"460","EXOC3L4"
"461","AGPAT6"
"462","C1orf38"
"463","VAMP3"
"464","MANF"
"465","TNFRSF11B"
"466","MGST3"
"467","PHF2"
"468","NDUFA2"
"469","U2SURP"
"470","GABRB2"
"471","PRKCDBP"
"472","DNAI2"
"473","RAB10"
"474","B4GALT3"
"475","ZBP1"
"476","PCBP3"
"477","LOC100288748"
"478","PWWP2A"
"479","DSCR9"
"480","TMEM175"
"481","ZNF486"
"482","ZC3H6"
"483","ATG9B"
"484","ARL9"
"485","SDR16C5"
"486","DZANK1"
"487","ELOVL1"
"488","DDAH2"
"489","NKD1"
"490","ICT1"
"491","ZNF552"
"492","LILRB2"
"493","CAMK1D"
"494","C5orf49"
"495","T"
"496","ADAM10"
"497","PTGS1"
"498","KRR1"
"499","TRNP1"
"500","LRRC55"
"501","C19orf44"
"502","NCKIPSD"
"503","SLAMF9"
"504","OTX1"
"505","IRF2BP2"
"506","SH3BGRL"
"507","AGBL3"
"508","C10orf71"
"509","AP1G1"
"510","RPL8"
"511","HIBCH"
"512","TCP10L"
"513","PRRG4"
"514","KIRREL3"
"515","CLTA"
"516","ATP8A2"
"517","LINGO4"
"518","FEZ2"
"519","ACER3"
"520","PROX2"
"521","USE1"
"522","CDIPT"
"523","VEZT"
"524","PNLIPRP3"
"525","HIST1H2BF"
"526","APOBEC3H"
"527","HFE"
"528","VPS29"
"529","OLFML3"
"530","MAGOH"
"531","HLA-DRA"
"532","LDB2"
"533","IDO2"
"534","RBM19"
"535","MRPL12"
"536","NDUFA12"
"537","KRT71"
"538","TMEM99"
"539","LOC100652768"
"540","STAT5B"
"541","SLCO1B3"
"542","HPS5"
"543","LOC100507600"
"544","ZSCAN12"
"545","C15orf41"
"546","GBGT1"
"547","C2orf81"
"548","ST6GALNAC5"
"549","RPS27L"
"550","TMEM109"
"551","LOC400657"
"552","KAZN"
"553","ANO3"
"554","KCNIP1"
"555","WIBG"
"556","TREML2"
"557","KRTDAP"
"558","IL17RE"
"559","LINC00487"
"560","TXK"
"561","ZMYM4"
"562","ENDOU"
"563","UNQ6494"
"564","CALHM1"
"565","URB1"
"566","NRIP3"
"567","DACT1"
"568","PMM2"
"569","ALOX12"
"570","SNORA53"
"571","ING1"
"572","CNN3"
"573","C15orf29"
"574","PAX6"
"575","AQP1"
"576","IGFBP3"
"577","MFAP3L"
"578","MEOX2"
"579","ZNF746"
"580","SLC25A26"
"581","MRPS24"
"582","HSD11B1"
"583","CDC42EP1"
"584","LAGE3"
"585","STK32B"
"586","IL1R1"
"587","MTMR2"
"588","NPHP4"
"589","MYL9"
"590","FCGR2B"
"591","PINX1"
"592","GTF3C3"
"593","ZNF767"
"594","PICALM"
"595","TTC32"
"596","NKPD1"
"597","TRDN"
"598","MYEOV2"
"599","TMEM59"
"600","ICAM3"
"601","NCOA1"
"602","PTPRB"
"603","IMPDH2"
"604","GPLD1"
"605","ZBTB8OS"
"606","NANS"
"607","PIGN"
"608","PVR"
"609","FCRL3"
"610","ATP1A4"
"611","TRIM66"
"612","BTBD10"
"613","PFKFB1"
"614","SIAH1"
"615","CPLX2"
"616","LOC729950"
"617","C1orf127"
"618","JAG1"
"619","LINC00242"
"620","B3GAT3"
"621","OAF"
"622","TCN1"
"623","JAK1"
"624","CBR3-AS1"
"625","TARS2"
"626","WDR55"
"627","HNRNPA0"
"628","CDCA8"
"629","TOP2B"
"630","RGS16"
"631","KLK11"
"632","GALNT7"
"633","NRK"
"634","C12orf75"
"635","LOC388553"
"636","IZUMO1"
"637","POU3F1"
"638","SETD6"
"639","C22orf28"
"640","MZB1"
"641","CARS2"
"642","BFSP1"
"643","ASB2"
"644","LRRIQ3"
"645","CLIC5"
"646","FAM59B"
"647","RAPGEF4"
"648","GINS2"
"649","SSX2IP"
"650","ZNF705D"
"651","FADS6"
"652","NMRAL1"
"653","C6orf164"
"654","NHSL1"
"655","ETNK1"
"656","PDE2A"
"657","RDH14"
"658","LOC100131366"
"659","CHRDL2"
"660","LAG3"
"661","FZD9"
"662","FAM163A"
"663","NCR1"
"664","MRPL27"
"665","C11orf30"
"666","CFL1P1"
"667","BLOC1S2"
"668","FAM26F"
"669","PSEN1"
"670","PRF1"
"671","LOC100506451"
"672","LOC643401"
"673","KIAA0753"
"674","DNAJB13"
"675","GNG11"
"676","C9orf66"
"677","ACAT2"
"678","LOC284576"
"679","MMP7"
"680","LOC100130301"
"681","RDH16"
"682","RCHY1"
"683","LIN28B"
"684","TMEM93"
"685","ACAN"
"686","BTK"
"687","PXDNL"
"688","HOXC5"
"689","DAPK3"
"690","MEMO1"
"691","STON1"
"692","HES1"
"693","FAM13B"
"694","LOC389765"
"695","ADAMTS14"
"696","SDHB"
"697","LRRC16B"
"698","DBR1"
"699","TMEM186"
"700","VASP"
"701","LINC00426"
"702","HLA-C"
"703","GJC2"
"704","TNFAIP6"
"705","FOXQ1"
"706","IL36G"
"707","LRRC32"
"708","LOC100507050"
"709","MED23"
"710","PDLIM1"
"711","LOC100505702"
"712","HECW1"
"713","PLEKHG2"
"714","PKM2"
"715","RBM12B"
"716","IPCEF1"
"717","PPP2R2B"
"718","GFRA2"
"719","SSU72"
"720","FAM195B"
"721","CELSR3"
"722","PARVG"
"723","PDGFRA"
"724","NFKBIA"
"725","ZNF501"
"726","ZNF620"
"727","PDE1A"
"728","COG4"
"729","SNRPD1"
"730","TXNDC5"
"731","POLR2J"
"732","IL18RAP"
"733","ZNF257"
"734","ARID2"
"735","LDOC1"
"736","SERPINH1"
"737","SLC15A2"
"738","FUT5"
"739","MDM1"
"740","REEP3"
"741","CCR3"
"742","TSR2"
"743","KDM5B"
"744","MAF1"
"745","GOLPH3L"
"746","MCCC1"
"747","MRPS7"
"748","FLJ46906"
"749","DNM3OS"
"750","COMP"
"751","DMKN"
"752","PPP1R2"
