"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9","symbol"
"2636",2220,308,1867,1700,2230,791,636,570,675,1641,1041,1113,1183,901,692,2117,366,1604,"C9orf91"
"2637",56,48,113,65,110,148,71,103,112,221,83,68,48,74,23,78,67,179,"C9orf93"
"2638",964,514,1615,1326,891,1953,1261,950,1044,1314,675,396,573,553,431,598,1330,385,"C9orf95"
"2639",9,4,8,2,19,2,3,3,3,28,6,11,19,4,10,13,12,9,"C9orf96"
"2640",0,0,0,1,1,0,0,1,0,4,0,0,0,0,1,1,0,0,"CA1"
"2641",2,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"CA10"
"2642",171,262,552,212,345,407,399,338,548,853,382,637,121,552,353,615,1173,220,"CA11"
"2643",1691,6152,2459,267,275,119,12468,12044,4502,2061,2992,32,711,3231,2437,124,2464,846,"CA12"
"2644",153,52,128,341,176,483,486,389,204,398,124,77,63,121,701,98,519,234,"CA13"
"2645",1,3,4,3,6,6,4,4,1,3,5,4,4,2,1,5,12,3,"CA14"
"2646",418,442,296,308,304,349,21551,1483,2217,20473,737,128,324,3118,364,196,6870,971,"CA2"
"2647",180,7,18,57,23,32,73,42,14,77,19,12,5,16,134,11,79,76,"CA3"
"2648",0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,1,1,"CA4"
"2649",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"CA5A"
"2650",324,70,385,348,321,200,208,188,166,671,148,270,213,90,99,204,63,615,"CA5B"
"2651",228,77,192,164,159,337,173,168,103,865,217,513,154,207,201,135,195,229,"CA5BP1"
"2652",2,1,4,0,3,0,14,1,0,2,0,0,3,0,7,0,0,11,"CA6"
"2653",1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,"CA7"
"2654",12,0,8,22,6,3,0,23,11,1,4,0,3,6,5,0,2,2,"CA8"
"2655",474,322,61,92,722,143,2713,210,190,1006,111,260,347,1067,151,207,679,263,"CA9"
"2656",3447,793,4065,5055,3305,3477,3940,4053,4915,9977,3004,2147,2324,2008,1876,2274,3154,3931,"CAB39"
"2657",271,57,276,536,186,365,177,320,317,247,146,97,130,70,203,178,150,188,"CAB39L"
"2658",3536,536,2512,2286,3116,1606,1802,1298,602,2626,2564,2246,3552,1801,1882,3528,1058,2604,"CABIN1"
"2659",524,79,362,757,2405,547,178,135,70,1622,184,313,110,172,108,240,31,1381,"CABLES1"
"2660",687,264,813,303,763,1118,701,439,638,1472,1401,1131,516,754,473,600,689,522,"CABLES2"
"2661",13,3,8,12,9,6,2,2,0,5,3,3,6,5,1,6,4,1,"CABP1"
"2662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CABP2"
"2663",27,4,46,28,17,22,9,12,2,25,31,29,45,14,44,28,27,3,"CABP4"
"2664",0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"CABP5"
"2665",14,5,4,132,11,16,14,3,4,22,9,11,22,9,16,8,9,5,"CABP7"
"2666",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CABS1"
"2667",121,20,43,164,550,236,48,55,98,287,60,176,55,124,27,81,44,1097,"CABYR"
"2668",363,234,442,634,500,93,1170,290,66,1554,324,259,147,133,197,30,87,1588,"CACHD1"
"2669",53,6,79,67,15,38,40,28,21,156,36,15,19,61,35,26,269,19,"CACNA1A"
"2670",12,19,379,23,95,27,314,136,16,177,148,480,4,145,171,59,27,393,"CACNA1B"
"2671",381,22,216,196,117,95,37,231,27,109,111,61,115,31,124,91,142,165,"CACNA1C"
"2672",9,66,23,36,54,14,24,56,152,132,506,267,234,33,151,118,90,173,"CACNA1D"
"2673",19,3,24,6,4,3,1,0,0,4,8,2,5,2,15,1,3,70,"CACNA1E"
"2674",124,5,112,26,133,14,11,2,5,22,70,58,62,33,79,194,63,6,"CACNA1F"
"2675",27,1,65,23,37,5,14,64,0,10,6,104,87,0,3,27,19,21,"CACNA1G"
"2676",363,14,102,198,93,50,17,120,30,52,116,86,112,38,79,112,73,176,"CACNA1H"
"2677",22,10,99,98,35,36,72,7,20,38,39,1,22,6,113,13,346,1,"CACNA1I"
"2678",59,0,0,1,0,0,1,0,0,0,0,0,0,0,20,0,1,0,"CACNA1S"
"2679",532,68,214,384,553,254,4,387,14,28,27,224,75,13,10,635,2,41,"CACNA2D1"
"2680",36,8,47,52,190,22,21,17,6,28,33,43,65,11,46,243,28,56,"CACNA2D2"
"2681",64,149,104,210,51,574,1103,272,428,764,400,105,107,125,398,470,125,179,"CACNA2D3"
"2682",109,26,161,144,94,119,50,33,29,108,110,77,128,76,70,125,118,36,"CACNA2D4"
"2683",464,76,317,216,403,113,138,123,49,98,239,480,381,250,422,374,220,316,"CACNB1"
"2684",63,6,49,105,31,63,16,21,20,36,67,50,40,40,47,29,15,143,"CACNB2"
"2685",1026,306,336,900,636,1344,720,1076,400,832,815,1391,654,1483,904,472,1822,785,"CACNB3"
"2686",117,43,154,101,124,30,138,130,23,89,23,21,55,28,26,81,100,26,"CACNB4"
"2687",22,0,1,2,1,0,0,0,0,1,0,3,1,0,4,3,0,0,"CACNG1"
"2688",0,0,1,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,"CACNG2"
"2689",0,0,4,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,"CACNG3"
"2690",24,4,29,359,30,19,4,16,0,6,2,47,252,6,2,213,0,5,"CACNG4"
"2691",1,0,0,5,10,0,0,0,0,0,0,7,9,0,0,5,0,0,"CACNG5"
"2692",22,0,1,5,0,0,1,0,1,3,7,0,1,0,6,2,1,0,"CACNG6"
"2693",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"CACNG7"
"2694",8,0,1,2,1,3,0,5,1,2,0,3,5,2,3,0,2,0,"CACNG8"
"2695",3548,1999,4501,2851,3626,7896,4601,4876,5932,14401,4120,2880,3105,2745,3138,2115,2136,4439,"CACYBP"
"2696",3698,973,1927,1875,2147,2391,1047,1358,950,4624,4548,2505,2293,2868,2426,3275,3392,7047,"CAD"
"2697",1651,108,568,802,2793,186,508,487,153,672,252,52,215,354,887,1058,166,17038,"CADM1"
"2698",2,0,3,3,1,0,0,0,0,5,15,0,47,0,2,0,2,2,"CADM2"
"2699",163,5,992,282,2,165,1,2,0,99,69,5,27,3,112,3,7,1,"CADM3"
"2700",912,1209,868,1684,1274,3166,2158,1475,1903,2420,829,1000,279,975,1203,1146,1270,4599,"CADM4"
"2701",8,0,4,20,22,16,0,4,1,9,5,1,4,0,4,35,9,4,"CADPS"
"2702",2490,198,926,1463,2110,515,346,587,117,603,849,711,780,299,149,1605,541,1882,"CADPS2"
"2703",17,13,9,27,1,27,32,20,5,46,15,4,0,6,16,4,15,9,"CAGE1"
"2704",61,8,24,31,72,20,21,6,13,22,24,88,30,20,44,39,51,29,"CAHM"
"2705",141,5,18,66,23,38,75,18219,1158,813,71,19,4,22,936,12,13,5,"CALB1"
"2706",9,14,10,11,38,21,3,867,46,11,3,4,3,3,140,4,16,0,"CALB2"
"2707",0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,"CALCA"
"2708",0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"CALCB"
"2709",2796,1084,2621,3134,2923,2127,1717,1695,1238,2588,2283,3295,1436,1487,1404,3658,800,2555,"CALCOCO1"
"2710",4849,1291,5174,2775,3048,4297,3199,2972,3117,5453,2260,1684,2175,2658,1492,3252,2345,3598,"CALCOCO2"
"2711",2,0,3,1,3,0,0,2,4,6,1,0,0,0,3,2,5,0,"CALCR"
"2712",970,266,660,1132,402,366,257,1253,909,756,537,90,289,61,220,187,185,376,"CALCRL"
"2713",9906,732,4625,8796,9026,2039,1467,7903,1024,5214,1012,2820,1843,304,742,5853,1735,14361,"CALD1"
"2714",1,2,0,6,8,489,4,2,211,6,2,3,6,1,3,5,2,11,"CALHM1"
"2715",724,67,654,694,897,627,151,215,603,358,346,596,574,347,203,542,193,1373,"CALHM2"
"2716",0,0,0,1,3,102,3,0,45,0,0,1,1,11,3,3,2,4,"CALHM3"
"2717",8652,5633,10742,9737,6627,12446,15773,17274,10987,26241,14739,3119,5040,7359,10207,6654,7015,8344,"CALM1"
"2718",12671,6665,16578,15264,17230,16330,19965,11066,16208,29180,11607,11671,11818,8469,9615,10113,9594,29052,"CALM2"
"2719",8414,2358,7948,6463,7395,8663,3765,4881,4698,18209,8820,8096,6456,3845,6926,6017,3214,7756,"CALM3"
"2720",8807,9450,11799,10235,1827,11235,34881,41312,8888,31415,20867,8694,7877,28943,17125,6158,13072,1287,"CALML3"
"2721",788,352,1374,1052,1477,994,1220,942,630,1372,1212,827,559,466,650,376,714,387,"CALML4"
"2722",5374,3757,3380,6935,3205,11999,14525,4306,28411,7234,6102,6348,3950,18215,17610,5950,7538,1316,"CALML5"
"2723",23,4,29,8,20,12,12,4,12,6,31,71,46,20,63,11,25,9,"CALML6"
"2724",3,0,1,147,6,1,2,2,0,3132,14,3,1,32,119,5,0,2,"CALN1"
"2725",30285,15581,42235,23242,18045,35221,30481,32187,24284,55842,46108,29007,16064,18749,21241,20510,17757,36046,"CALR"
"2726",0,0,1,2,3,0,0,1,0,1,0,3,1,1,1,1,0,1,"CALR3"
"2727",6996,1855,3671,5998,6394,3006,3099,6087,3182,7049,3935,3699,4178,2117,1891,4309,2143,20382,"CALU"
"2728",4,0,4,6,1,7,0,1,1,2,3,2,2,3,10,5,3,0,"CALY"
"2729",461,78,898,338,239,186,217,171,111,312,294,324,489,139,245,255,306,227,"CAMK1"
"2730",775,70,265,626,621,35,140,236,25,430,39,472,132,57,162,299,49,225,"CAMK1D"
"2731",37,2,16,37,64,7,5,9,0,16,10,29,20,4,8,21,25,7,"CAMK1G"
"2732",61,8,20,9,30,6,0,32,1,2,1,3,25,5,5,29,14,13,"CAMK2A"
"2733",25,28,124,61,8,28,51,78,18,1,9,8,20,28,27,4,32,23,"CAMK2B"
"2734",1983,635,1943,1718,1343,3179,1715,1881,2452,4933,1187,1200,907,1119,903,1064,992,2239,"CAMK2D"
"2735",1022,542,1404,1345,1978,2958,1391,1344,1328,2793,1959,1222,1338,1649,1164,1290,2051,942,"CAMK2G"
"2736",336,16,289,559,87,343,213,263,574,183,93,46,82,323,294,65,560,192,"CAMK2N1"
"2737",51,126,45,31,8,463,54,136,39,200,295,186,142,160,98,15,32,14,"CAMK2N2"
"2738",112,30,131,191,143,19,39,101,43,154,37,19,126,14,13,74,52,19,"CAMK4"
"2739",505,254,523,226,225,774,310,373,334,325,132,950,1191,419,217,966,1194,127,"CAMKK1"
"2740",2832,665,2496,2492,4281,2759,1036,1509,1117,3901,2010,2903,1840,1748,1216,3132,1422,2606,"CAMKK2"
"2741",323,66,241,258,223,197,341,138,233,243,179,159,160,92,91,176,263,291,"CAMKMT"
"2742",12,1,4,14,8,2,1,3,4,3,5,9,4,8,2,8,0,7,"CAMKV"
"2743",1143,550,1520,1454,2237,1688,1598,1118,1642,1997,908,1398,840,688,702,1645,624,1588,"CAMLG"
"2744",4,10,11,21,1,54,99,1,50,42,5,2,3,47,7,1,27,1,"CAMP"
"2745",2144,1108,2011,2634,2114,5068,3797,2364,3298,6010,3621,1928,1720,4089,1421,1919,3042,1974,"CAMSAP1"
"2746",2379,765,1799,1809,2808,2179,2356,3348,1508,4519,1689,1071,1351,814,885,1832,1160,4153,"CAMSAP2"
"2747",175,490,432,786,286,1480,773,1009,3815,3844,3244,517,95,917,1432,247,1855,825,"CAMSAP3"
"2748",1379,623,2157,1496,1783,3325,2516,1319,2147,2723,1148,1166,1330,1005,820,1357,1532,1202,"CAMTA1"
"2749",1965,456,1654,1173,1174,1165,925,999,522,1637,2185,1463,1304,1792,1408,1518,1307,1332,"CAMTA2"
"2750",6448,2529,5249,5687,6550,5550,4441,5786,5288,12513,4256,4947,2922,2501,2449,6603,2590,8270,"CAND1"
"2751",69,132,410,24,274,22,108,28,9,37,35,203,54,176,31,34,14,308,"CAND2"
"2752",3676,656,1836,1573,3264,1989,1328,1321,1322,3117,1939,2003,1467,1273,992,1895,957,2814,"CANT1"
"2753",20040,9751,24285,14205,20985,30663,18945,16221,13350,37293,15089,12050,11696,5641,9652,27756,9304,32546,"CANX"
"2754",10200,4996,13871,11140,9919,14108,9470,12999,16897,27811,11697,6062,6433,4944,8014,8101,7934,11157,"CAP1"
"2755",176,40,202,277,194,121,50,251,25,74,12,87,128,13,52,98,6,644,"CAP2"
"2756",12123,2597,11352,5949,5362,5690,4921,8041,4257,8239,6604,4878,6474,5446,3658,5813,11274,2756,"CAPG"
"2757",12447,5128,8788,8496,7773,17053,8461,13071,8685,21562,19653,9626,4001,9641,10454,7438,12716,5011,"CAPN1"
"2758",984,75,748,655,387,442,549,406,546,651,993,906,480,727,706,493,912,748,"CAPN10"
"2759",26,1,19,21,5,5,2,3,2,12,5,8,6,4,9,11,9,5,"CAPN11"
"2760",215,53,203,169,269,269,295,100,360,216,128,479,640,162,184,603,856,180,"CAPN12"
"2761",174,174,44,58,5,13,31,2,35,134,57,7,7,63,305,0,5,38,"CAPN13"
"2762",532,195,230,317,52,60,1497,956,4760,2461,2121,23,84,2875,3365,49,13371,52,"CAPN14"
