"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9","symbol"
"1",23,4,34,19,23,42,12,6,22,17,28,34,19,21,14,13,22,38,"1/2-SBSRNA4"
"2",157,8,187,239,218,82,82,104,66,93,71,209,183,17,106,70,80,79,"A1BG"
"3",58,3,47,48,21,21,10,8,3,22,28,50,67,9,22,20,24,18,"A1BG-AS1"
"4",1,0,1,7,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"A1CF"
"5",300,60,309,267,982,291,260,104,86,126,238,350,137,110,164,296,107,117,"A2LD1"
"6",10446,610,8612,8556,3820,2265,634,2822,2396,8300,3640,1274,5021,989,2135,3901,1353,5730,"A2M"
"7",4161,2219,963,1959,451,8889,11666,34323,17494,30640,3778,4966,703,4855,8997,1648,7644,146,"A2ML1"
"8",1,0,3,1,2,2,0,0,0,7,1,0,0,0,7,1,0,11,"A2MP1"
"9",1707,1013,2576,1112,449,3005,2025,1224,3441,1509,2923,1727,1513,1894,2836,1669,920,130,"A4GALT"
"10",1,0,1,0,0,0,0,0,0,2,5,1,4,2,0,2,4,6,"A4GNT"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AA06"
"12",1,1,3,23,1,0,0,0,0,2,5,8,13,2,0,2,0,0,"AAA1"
"13",2025,450,1677,1324,1647,1424,1297,697,494,1070,1631,2515,1306,1311,1068,1917,1125,1214,"AAAS"
"14",2030,963,1389,3619,1240,2142,1167,1915,1626,2635,1607,5955,1980,1665,1047,2032,1255,639,"AACS"
"15",588,0,65,146,416,17,38,0,10,22,7,214,367,25,0,5,2,855,"AACSP1"
"16",8,1,52,30,4,94,14,52,6,28,19,12,4,1,61,1,0,0,"AADAC"
"17",1,0,42,10,2,29,5,3,4,25,0,0,1,0,3,0,1,1,"AADACL2"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AADACL3"
"19",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"AADACL4"
"20",62,72,136,16,34,292,232,184,57,171,38,3,27,183,46,139,85,480,"AADAT"
"21",2331,1010,2167,1738,1941,3737,1911,2359,2669,4696,3038,972,762,2106,1522,997,2072,1235,"AAGAB"
"22",2005,633,2278,2361,1740,2532,870,1436,978,4031,2010,2243,1756,937,871,1355,1296,1748,"AAK1"
"23",4560,978,3387,2892,2121,3518,4110,2762,4490,8079,3936,3710,3148,3471,3240,1983,3673,4186,"AAMP"
"24",4,1,2,8,12,9,4,7,1,3,25,6,6,34,15,3,32,2,"AANAT"
"25",3323,2950,2185,3780,3479,7040,3665,4647,2842,8969,4938,2010,2255,3135,2427,3374,1910,8012,"AARS"
"26",1614,396,1496,1264,935,736,1069,776,652,1512,1482,1388,746,1116,1221,1143,1312,1716,"AARS2"
"27",1122,314,957,559,835,939,970,629,401,913,693,608,608,866,628,569,821,1572,"AARSD1"
"28",445,181,407,490,507,517,336,266,447,967,392,386,282,231,276,408,250,586,"AASDH"
"29",1693,338,1442,1300,1328,1622,1040,1199,1185,2661,659,680,708,355,1077,1363,1002,4058,"AASDHPPT"
"30",1357,1158,1099,938,1324,349,1629,1169,303,1537,2156,174,1026,411,836,908,420,981,"AASS"
"31",1859,689,2003,1366,1760,4062,1585,1488,1497,3956,1992,1732,1366,1321,1134,1567,1032,2862,"AATF"
"32",115,12,107,99,48,42,48,38,13,56,86,38,107,37,100,84,126,63,"AATK"
"33",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"AATK-AS1"
"34",164,307,625,293,616,1576,713,417,607,293,870,69,183,164,281,316,103,816,"ABAT"
"35",1830,576,2654,2901,1586,617,1303,2299,532,7907,1757,794,940,468,1002,1270,712,445,"ABCA1"
"36",143,19,86,326,30,239,65,67,19,125,36,65,123,16,68,128,23,62,"ABCA10"
"37",218,53,220,251,387,276,198,120,190,353,205,139,216,81,186,113,261,356,"ABCA11P"
"38",295,151,105,248,35,916,593,377,1110,2152,208,201,63,305,366,19,453,67,"ABCA12"
"39",2187,1209,3045,5754,74,3477,1227,6368,182,5733,6425,4923,3642,2340,2139,147,866,234,"ABCA13"
"40",583,67,139,302,402,167,42,92,216,87,152,876,550,120,112,1063,89,142,"ABCA17P"
"41",2823,404,2554,1562,1166,726,1668,916,1951,1002,2224,4137,5262,3356,1116,1381,8934,2177,"ABCA2"
"42",9076,82,2017,6946,6768,1166,62,330,26,496,471,6719,9307,1652,679,28391,1459,1103,"ABCA3"
"43",16,6,10,57,9,5,1,14,8,5,8,26,7,3,1856,8,13,7,"ABCA4"
"44",1441,337,1508,1252,1159,4428,1568,1456,772,1903,846,1708,1148,1325,914,1345,869,1965,"ABCA5"
"45",331,6,132,250,31,81,4,62,33,92,30,20,61,16,82,30,31,70,"ABCA6"
"46",3247,279,2703,1942,1000,2247,1615,1108,684,2194,5291,2202,2146,1590,5056,2129,6754,570,"ABCA7"
"47",153,17,91,466,2,35,0,50,1,10,10,5,32,8,63,2,12,106,"ABCA8"
"48",357,11,74,202,22,45,6,34,15,69,50,15,78,27,53,21,38,21,"ABCA9"
"49",121,14,315,280,74,77,9,69,43,225,84,70,119,35,76,37,23,26,"ABCB1"
"50",818,323,1330,985,1448,1403,1161,1143,803,5608,1097,775,986,537,673,876,884,1295,"ABCB10"
"51",0,0,3,4,1,0,9,2,1,2,0,0,0,3,1,2,0,1,"ABCB11"
"52",52,6,204,94,49,73,5,23,4,46,29,9,39,8,104,19,4,14,"ABCB4"
"53",4,1,0,2,0,1,8,1,1,0,0,6,4,0,1,2,1,0,"ABCB5"
"54",1441,368,944,942,554,903,1556,1103,982,1218,1602,1144,1726,1156,801,465,2212,1587,"ABCB6"
"55",793,262,851,754,913,556,548,417,546,1028,613,916,402,310,459,495,292,810,"ABCB7"
"56",1425,191,961,818,711,1385,699,733,957,1149,1386,884,1016,1214,901,782,2168,1094,"ABCB8"
"57",231,120,189,221,279,482,84,165,242,177,233,511,224,226,217,531,126,127,"ABCB9"
"58",9171,1409,3498,7839,10717,1906,1167,2330,918,2759,1954,4692,3610,927,1770,7726,2298,9881,"ABCC1"
"59",1701,280,1264,1318,693,509,627,471,396,1470,1350,1336,800,792,606,1238,1008,693,"ABCC10"
"60",7,1,25,6,17,17,11,21,1,14,20,0,8,6,9,2,15,5,"ABCC11"
"61",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ABCC12"
"62",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,"ABCC13"
"63",25,3,35,41,39,20,16,8,8,37,34,22,27,4,13,32,20,28,"ABCC2"
"64",402,124,1147,336,82,231,1409,240,73,196,282,115,422,195,374,784,234,39,"ABCC3"
"65",1602,99,1439,1904,3945,204,491,427,112,471,204,1353,844,115,267,3374,278,1424,"ABCC4"
"66",5705,7634,5187,3897,1652,5902,4945,8701,2369,16516,10275,7453,3633,7539,6385,3496,4318,1212,"ABCC5"
"67",12,6,84,13,13,3,2,10,1,7,7,10,14,4,13,3,5,4,"ABCC6"
"68",0,0,13,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,"ABCC6P1"
"69",0,7,2,0,0,2,0,0,0,0,0,0,0,1,1,4,1,0,"ABCC6P2"
"70",0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,"ABCC8"
"71",882,426,485,1363,738,618,685,761,276,1169,570,733,403,488,408,537,352,718,"ABCC9"
"72",667,110,917,458,322,949,457,305,510,448,773,621,563,640,388,492,1409,191,"ABCD1"
"73",56,12,179,185,178,77,9,25,10,154,67,23,26,10,25,66,10,5,"ABCD2"
"74",1699,854,1838,2039,3332,2928,1698,1642,2153,5787,2183,1234,1391,498,2573,1819,1327,3592,"ABCD3"
"75",809,305,1240,684,603,1160,851,534,514,1089,1222,852,500,934,724,789,601,786,"ABCD4"
"76",3833,1671,3638,3135,8015,5126,5041,3323,4197,10851,2850,2510,2602,2410,2199,2962,2103,6671,"ABCE1"
"77",4037,1162,2860,3270,3340,5272,2920,2242,2251,7037,4430,2389,1505,2335,2061,1887,1855,5452,"ABCF1"
"78",2537,490,1886,2085,1940,2319,2044,1628,1973,4313,3121,1809,1589,1740,1574,2084,1985,2674,"ABCF2"
"79",2431,1689,2586,1778,1276,5057,2344,1728,2327,4792,4304,2437,1502,3124,2559,1655,1347,1404,"ABCF3"
"80",1326,85,1364,2295,1021,698,499,1859,365,901,386,766,671,148,695,1040,608,501,"ABCG1"
"81",95,56,220,203,62,34,28,52,26,94,15,17,135,9,44,59,8,50,"ABCG2"
"82",26,3,6,5,7,3,1,39,7,2,3,4,12,2,18,4,4,10,"ABCG4"
"83",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,"ABCG5"
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"ABCG8"
"85",6,5,7,2,1,2,3,0,1,4,7,2,3,9,6,6,5,7,"ABHD1"
"86",1282,892,1406,1319,1532,1646,871,1097,1685,2728,1591,1977,1629,1055,890,890,484,1744,"ABHD10"
"87",749,373,966,1588,446,1699,1652,865,1746,1406,1252,1351,1026,1246,1493,1157,1990,517,"ABHD11"
"88",5,2,9,23,0,33,34,20,45,8,8,2,18,20,8,4,55,1,"ABHD11-AS1"
"89",2497,701,3131,1708,1531,4347,2135,1670,2423,3593,2638,2685,1655,1429,1594,2867,1589,1121,"ABHD12"
"90",1,4,2,6,1,183,0,10,11,1,2,1,0,2,9,0,0,3,"ABHD12B"
"91",964,165,1502,1082,2390,949,1413,1169,803,1020,659,751,463,339,378,819,389,1232,"ABHD13"
"92",130,74,248,219,113,236,182,94,262,152,245,161,267,127,173,167,113,135,"ABHD14A"
"93",0,0,0,0,3,0,1,0,1,0,2,1,1,0,1,3,0,0,"ABHD14A-ACY1"
"94",1161,647,1770,1245,1280,4320,1858,881,1657,2041,2621,2180,1660,2651,2765,1437,1713,1405,"ABHD14B"
"95",708,202,1022,612,463,1266,335,431,461,1126,665,564,453,755,506,648,734,427,"ABHD15"
"96",3009,584,2632,2060,1715,2617,1232,1153,952,1922,2249,1156,963,1424,1295,1087,1179,2116,"ABHD16A"
"97",146,139,223,162,87,282,258,89,143,353,483,318,140,292,272,156,310,79,"ABHD16B"
"98",3200,1135,4550,4396,4248,4441,1660,4798,2537,14229,7453,3657,2926,2960,6190,4139,1525,6624,"ABHD2"
"99",1491,624,1726,1716,1504,4370,1447,1095,1748,4933,1421,1106,976,804,806,928,809,1184,"ABHD3"
"100",1822,786,1715,1641,1164,1659,1144,1485,904,2000,1285,1159,1841,1747,933,895,2957,926,"ABHD4"
"101",724,775,611,1606,1038,5265,1517,3625,6937,5389,2110,537,761,1466,1345,749,791,828,"ABHD5"
"102",176,180,430,255,362,492,457,481,421,975,438,113,176,751,153,239,216,159,"ABHD6"
"103",655,271,684,511,792,1014,423,256,626,872,626,791,342,557,420,654,215,950,"ABHD8"
"104",3382,1660,4071,4138,3291,11349,9328,5150,6703,13082,3989,2810,1881,3383,2403,2776,2944,2729,"ABI1"
"105",1770,396,1760,2093,2269,2189,977,1233,1089,1660,939,1297,1748,1003,512,963,865,7281,"ABI2"
"106",1090,86,2062,903,441,361,138,178,131,585,573,490,957,210,485,695,259,103,"ABI3"
"107",1104,37,2798,1863,226,850,17,230,74,1740,408,84,171,52,516,2613,28,387,"ABI3BP"
"108",3201,762,2999,3289,2368,2660,1501,1639,1753,4096,2173,2351,1202,1559,1429,2903,1626,2988,"ABL1"
"109",998,317,1003,1280,1357,1316,560,1478,274,1460,603,741,773,796,340,753,454,1344,"ABL2"
"110",3063,5976,3757,7380,2325,18352,9844,12445,7211,19888,6457,2454,1481,5057,4971,1919,2502,555,"ABLIM1"
"111",821,57,192,1059,613,293,323,582,295,516,1042,397,491,534,427,427,1609,100,"ABLIM2"
"112",160,93,286,184,26,82,157,726,367,126,643,81,117,584,762,66,106,120,"ABLIM3"
"113",10,237,149,37,4,263,152,340,152,637,289,5,4,263,257,2,15,171,"ABO"
"114",61,17,153,399,138,106,80,26,11,96,66,25,168,7,30,228,18,21,"ABP1"
"115",6631,909,4559,3149,3354,5212,3456,3968,2445,9853,4533,3367,4067,2751,3238,3864,3433,4350,"ABR"
"116",33,3,2,2,2,1,0,0,0,4,3,3,0,0,5,1,3,2,"ABRA"
"117",1603,796,1636,1434,1524,3338,1725,1588,2346,3267,1636,1394,526,1147,1254,564,905,1403,"ABT1"
"118",852,683,1042,977,690,580,987,447,1079,1047,1376,2164,936,1157,960,786,433,684,"ABTB1"
"119",1040,9,245,854,484,41,170,132,45,293,103,230,115,74,129,497,236,11355,"ABTB2"
"120",1523,316,1981,1764,1289,1534,1844,1827,1654,1808,2101,1346,1374,1256,2025,1376,1641,1216,"ACAA1"
"121",607,566,848,663,818,366,76,362,160,548,261,138,238,78,186,432,577,813,"ACAA2"
"122",3107,1330,2052,2026,2182,4515,1474,2655,1666,5230,3481,2489,1292,2481,1556,2913,2344,3645,"ACACA"
"123",742,201,675,819,250,277,252,320,90,207,505,759,619,160,294,1001,284,393,"ACACB"
"124",880,240,817,820,941,786,769,612,438,962,1045,1222,923,793,841,1098,493,1044,"ACAD10"
"125",86,14,43,70,62,63,24,64,16,44,101,132,97,42,32,126,26,76,"ACAD11"
"126",876,161,655,724,842,596,376,419,361,728,630,301,503,328,585,959,350,1197,"ACAD8"
"127",2123,1704,1487,1377,967,2794,2443,2170,2176,4512,3718,3060,1496,2693,1739,1155,979,1098,"ACAD9"
"128",8,0,3,7,0,0,4,6,4,0,0,1,1,3,0,0,1,1,"ACADL"
"129",2242,1611,2069,1967,2600,4475,2226,1578,4586,6744,2286,1107,1157,784,1337,1236,1546,4981,"ACADM"
"130",819,213,793,503,346,1204,427,409,745,1092,1050,1335,711,583,595,696,535,190,"ACADS"
"131",544,221,805,1335,1243,1670,658,574,1542,2873,697,561,575,616,558,1386,693,924,"ACADSB"
"132",13537,3561,8501,4274,6344,7933,5780,9449,4895,8663,11098,10851,13654,5359,9253,11715,7870,7877,"ACADVL"
"133",49,10,14,29,137,2,14,50,6,10,7,19,53,0,2,41,7,471,"ACAN"
"134",1462,108,3128,2175,944,947,304,345,150,1153,1945,769,1267,492,2525,1252,428,75,"ACAP1"
"135",2878,3035,7057,6443,4807,12154,4311,6213,4560,15782,4437,3838,3755,2653,3480,3106,1102,2629,"ACAP2"
"136",2689,1083,1990,1613,1975,4055,1746,2341,2324,2241,4850,3480,3494,4009,6097,2154,6959,1076,"ACAP3"
"137",1013,210,901,836,614,368,172,551,426,1218,508,461,577,219,571,1331,456,1622,"ACAT1"
"138",2413,1680,1415,1691,2748,3193,3761,2041,2912,3769,1699,1257,1396,1228,1622,1238,783,2399,"ACAT2"
"139",2322,1086,2237,2438,2404,2975,2588,5217,1947,8209,2906,1495,1250,1385,2041,1980,1494,3608,"ACBD3"
"140",197,91,381,326,176,139,194,89,69,205,281,485,216,361,253,278,258,217,"ACBD4"
"141",1190,460,1287,1110,1302,2638,1217,934,2190,5654,1531,631,754,662,705,1044,1345,1068,"ACBD5"
"142",1107,554,1133,1078,1496,1616,1252,1257,1418,2368,1321,1338,1129,894,896,1112,807,1494,"ACBD6"
"143",170,134,475,513,294,49,85,42,76,37,290,715,588,206,80,259,25,290,"ACBD7"
"144",1,0,4,1,4,4,0,0,3,4,5,0,2,0,2,0,0,1,"ACCN1"
"145",33,154,104,110,176,8,99,145,7,119,62,239,39,227,113,51,67,139,"ACCN2"
"146",91,4,43,47,72,98,36,13,24,35,71,93,127,166,125,52,187,46,"ACCN3"
"147",3,0,2,2,3,3,2,4,2,2,10,4,10,1,4,1,10,1,"ACCN4"
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"ACCN5"
"149",227,43,597,360,218,396,293,116,53,117,439,294,233,191,285,315,250,281,"ACCS"
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACCSL"
"151",596,211,724,428,432,833,594,369,531,944,954,570,488,558,530,485,440,697,"ACD"
"152",786,61,625,490,294,220,137,280,185,878,769,104,322,92,332,189,415,454,"ACE"
"153",33,66,182,77,19,68,44,121,88,211,299,17,22,82,52,74,248,6,"ACE2"
"154",3,0,3,4,4,4,0,8,18,3,4,0,2,0,5,2,0,1,"ACER1"
"155",46,55,98,147,61,114,49,158,59,249,78,53,53,116,31,72,32,115,"ACER2"
"156",809,231,879,620,633,278,1048,564,180,509,302,262,539,216,324,700,228,3165,"ACER3"
"157",163,11,372,173,32,65,19,25,29,118,110,110,526,63,171,241,157,38,"ACHE"
"158",8552,2090,7036,5694,5501,6960,6505,4397,3058,11265,9119,6232,5127,5582,5869,5457,5782,5865,"ACIN1"
"159",3851,1551,3477,2847,4820,9835,2969,3495,3432,8080,5043,2134,2326,4591,2738,3695,3352,7463,"ACLY"
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"ACMSD"
"161",532,290,552,533,712,1176,632,559,1162,975,635,491,500,373,403,302,497,535,"ACN9"
"162",1383,487,1099,1009,757,1094,1108,845,889,2264,868,548,491,844,478,739,770,738,"ACO1"
"163",3879,889,1820,2314,1681,2908,1218,1801,1302,4334,2547,1550,1934,1266,1599,2655,705,1981,"ACO2"
"164",92,23,102,95,59,66,21,39,57,114,111,82,32,71,64,162,81,154,"ACOT1"
"165",321,284,179,104,243,228,446,247,137,495,931,304,183,254,551,185,343,44,"ACOT11"
"166",1,1,3,4,2,0,1,0,0,0,4,1,0,0,1,0,0,1,"ACOT12"
"167",917,466,1506,933,1260,2615,1088,842,1461,1440,844,545,584,679,547,461,631,1027,"ACOT13"
"168",433,91,357,279,254,498,126,147,236,325,221,320,272,263,171,494,229,511,"ACOT2"
"169",136,55,248,75,68,133,60,41,128,230,183,185,82,129,102,185,59,90,"ACOT4"
"170",2,1,2,2,1,1,1,1,0,2,0,1,0,2,0,1,0,0,"ACOT6"
"171",1330,760,2644,1157,948,7266,1320,1904,3745,3397,1301,1290,1994,1528,1864,1259,1319,1333,"ACOT7"
"172",560,197,532,426,560,719,412,330,715,790,717,860,354,450,354,423,349,313,"ACOT8"
"173",1036,403,1499,763,583,946,744,635,539,866,843,1185,846,463,605,632,430,820,"ACOT9"
"174",2710,725,2082,1676,2317,3747,2477,2090,1865,2631,1333,1109,1088,1832,1871,1461,1112,3728,"ACOX1"
"175",77,1,98,43,13,30,14,50,10,63,31,14,17,16,109,9,25,33,"ACOX2"
"176",794,212,689,622,290,1038,1155,714,2001,1490,720,422,503,555,817,924,1750,274,"ACOX3"
"177",23,3,13,98,28,7,0,6,4,41,30,12,19,5,8,82,12,0,"ACOXL"
"178",2576,1301,3264,2836,3575,3817,3751,2231,3827,6623,2605,2541,2489,2001,2077,1887,2157,5142,"ACP1"
"179",3337,505,3010,1594,1370,2267,1561,1194,642,3579,2345,990,826,649,1430,1450,984,1036,"ACP2"
"180",4140,650,5286,1725,933,1231,878,2053,1298,3244,3318,1124,2479,983,1831,1255,1429,519,"ACP5"
"181",250,92,415,328,411,476,241,99,370,798,395,262,185,198,474,261,219,564,"ACP6"
"182",1159,440,1432,3106,1690,1876,589,253,335,902,898,2382,1129,921,396,2259,261,1522,"ACPL2"
"183",100,677,272,287,109,850,578,1259,214,1221,574,337,36,144,562,63,91,21,"ACPP"
"184",0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,"ACPT"
"185",1,0,11,6,7,2,2,3,1,0,0,0,11,4,4,2,7,38,"ACR"
"186",44,4,45,24,15,30,18,23,7,39,32,21,30,50,46,26,22,24,"ACRBP"
"187",116,11,141,103,64,62,24,17,5,51,73,170,89,89,60,65,28,74,"ACRC"
"188",12,0,6,34,10,0,0,2,1,3,0,7,14,3,1,3,0,65,"ACRV1"
"189",4,4,8,10,18,29,6,10,206,6,6,14,3,9,6,3,3,13,"ACSBG1"
"190",1,0,4,2,4,4,3,3,1,3,4,5,1,2,4,2,3,3,"ACSBG2"
"191",494,118,802,345,473,461,207,142,135,342,391,553,701,259,177,675,206,594,"ACSF2"
"192",520,239,646,548,351,1014,548,475,482,777,790,417,346,753,678,373,390,402,"ACSF3"
"193",2520,987,1852,2683,1825,4613,1420,2799,3845,5250,3166,1319,1596,1491,3367,2363,3572,844,"ACSL1"
"194",2035,803,1966,2477,1313,3876,2913,3199,3037,5477,2239,1619,1122,1618,1796,1037,2219,3687,"ACSL3"
"195",2195,549,3707,2166,2133,1047,3905,1451,1857,3039,1354,1034,1414,570,579,1368,704,4662,"ACSL4"
"196",1286,173,2955,1707,3029,455,287,520,464,777,1749,279,393,766,458,1698,158,1531,"ACSL5"
"197",144,47,102,176,229,61,16,266,42,85,42,7,121,122,23,558,199,360,"ACSL6"
"198",23,9,14,11,17,12,2,28,6,8,7,11,9,10,8,39,26,22,"ACSM1"
"199",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACSM2A"
"200",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ACSM2B"
"201",51,24,141,49,67,25,16,51,41,57,52,59,9,14,26,121,16,333,"ACSM3"
"202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACSM4"
"203",32,0,20,16,10,7,1,8,4,21,12,0,6,3,9,7,6,0,"ACSM5"
"204",3699,417,2766,4303,4381,2464,500,1077,231,2388,2101,6157,2436,1297,1224,3122,417,7585,"ACSS1"
"205",1121,806,1253,888,848,2881,1867,1359,1560,1943,3533,941,721,1368,1202,1265,2573,1445,"ACSS2"
"206",57,1,41,53,14,9,2,23,5,26,16,5,16,1,14,7,8,16,"ACSS3"
"207",1343,5,8,11,3,7,11,1,3,13,21,13,31,9,849,8,13,1,"ACTA1"
"208",3368,133,1400,2571,3090,1302,414,2211,588,2206,491,845,1025,242,567,959,518,3865,"ACTA2"
"209",161794,66588,225942,154929,119173,209829,222928,205863,122889,212763,196754,138830,145382,117618,139856,118769,141416,131392,"ACTB"
"210",1,0,0,1,2,0,3,2,1,3,0,0,1,0,0,0,0,6,"ACTBL2"
"211",1283,0,12,11,7,3,2,1,7,2,13,8,10,1,111,4,7,1,"ACTC1"
"212",63465,57228,86614,65267,78724,153609,175941,146195,144417,182659,102470,103522,68249,77540,101863,65097,84612,193592,"ACTG1"
"213",97,10,43,104,141,61,25,70,21,73,16,37,22,10,10,21,16,610,"ACTG2"
"214",79,24,152,79,58,286,90,17,159,299,228,126,98,172,126,107,168,28,"ACTL10"
"215",2497,3831,4051,2777,4382,12358,6108,4525,6542,11019,4241,4184,2916,3306,2886,2018,1305,3849,"ACTL6A"
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ACTL6B"
"217",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"ACTL7A"
"218",0,0,0,1,0,8,4,1,0,1,0,1,1,0,0,0,0,0,"ACTL7B"
"219",0,3,8,0,0,1616,10,53,42,8,1,4,0,28,19,0,539,1,"ACTL8"
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACTL9"
"221",5614,1592,4390,2446,2361,2063,2691,6304,1136,4390,2686,2768,3905,2362,1645,2669,3042,20390,"ACTN1"
"222",620,0,20,41,14,11,3,2,1,12,9,18,11,2,253,52,1,9,"ACTN2"
"223",19,3,8,8,7,5,1,0,0,7,2,4,5,5,1,4,2,1,"ACTN3"
"224",15328,5386,9007,9726,11898,23445,11753,14350,14502,32166,16056,16372,9260,9336,11038,15298,16431,27302,"ACTN4"
"225",2002,666,2120,1463,2709,2561,2094,2321,2582,3556,1476,1579,1418,1093,992,1315,867,2085,"ACTR10"
"226",3883,1504,3904,4613,4408,4887,3020,3401,4249,6177,3773,2923,3322,2691,2105,4736,2226,3529,"ACTR1A"
"227",3104,1047,3111,2710,1860,2485,2250,1587,1809,3398,3011,3474,2348,2158,1948,1808,2764,1453,"ACTR1B"
"228",13225,5107,18203,13037,15923,13892,12226,13469,11738,28920,8184,5400,7103,4858,6037,8950,10832,17168,"ACTR2"
"229",13094,5663,15288,10602,7385,13086,11492,12114,11980,23267,8847,5703,6382,4720,6851,6711,6858,12145,"ACTR3"
"230",138,48,220,704,347,253,168,124,151,261,362,203,258,173,159,182,241,230,"ACTR3B"
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACTR3BP2"
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACTR3BP5"
"233",224,18,121,116,66,67,45,56,27,140,49,66,50,36,53,90,99,56,"ACTR3C"
"234",564,163,433,404,376,659,529,281,545,1288,586,521,398,394,324,514,373,410,"ACTR5"
"235",1109,479,1173,1450,1597,1622,1760,1156,2770,2819,815,1183,553,784,507,1092,526,1204,"ACTR6"
"236",510,264,540,476,719,1096,711,449,1251,1326,1213,490,470,480,635,717,400,976,"ACTR8"
"237",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"ACTRT1"
"238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACTRT2"
"239",1430,446,1032,1400,681,1208,747,1496,502,1489,580,496,391,511,257,588,488,1663,"ACVR1"
"240",1782,984,1904,1484,3745,5094,2007,1765,1354,3672,1592,2224,889,1502,902,1543,877,2528,"ACVR1B"
"241",124,86,107,723,85,53,62,965,210,455,384,247,276,169,40,196,147,37,"ACVR1C"
"242",575,449,751,976,512,1006,1075,604,1283,565,762,515,415,283,625,455,468,3017,"ACVR2A"
"243",230,212,614,788,1130,771,324,429,377,1171,619,926,561,338,293,465,206,1062,"ACVR2B"
"244",821,57,919,740,254,360,74,297,113,517,303,151,335,104,282,255,149,387,"ACVRL1"
"245",40,34,25,26,50,111,54,35,161,73,291,56,43,122,141,54,80,42,"ACY1"
"246",55,10,149,86,37,57,7,10,2,14,130,31,52,13,122,79,21,26,"ACY3"
"247",367,258,423,238,527,1052,663,433,640,979,547,782,403,364,318,536,264,334,"ACYP1"
"248",250,133,450,297,278,153,278,305,336,316,181,126,177,45,167,199,221,202,"ACYP2"
"249",892,678,1341,848,512,157,575,349,73,1038,649,357,143,326,379,534,233,231,"ADA"
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ADAD1"
"251",17,81,25,10,16,81,73,25,43,44,52,26,19,124,92,1,60,8,"ADAD2"
"252",268,170,263,293,292,448,235,188,249,556,370,159,127,172,160,97,247,396,"ADAL"
"253",125,47,206,262,448,150,216,115,79,169,151,571,303,237,142,229,117,152,"ADAM1"
"254",1708,940,2165,2144,1971,2510,1821,1868,1745,6726,2291,1341,540,1258,1183,1107,1634,1275,"ADAM10"
"255",34,6,46,7,24,35,14,9,17,10,57,69,91,28,35,18,38,65,"ADAM11"
"256",1237,45,298,229,1403,146,51,1623,53,279,111,88,215,25,79,448,81,966,"ADAM12"
"257",3732,1715,3841,2088,3535,9564,3382,4864,9105,6372,9982,3217,3473,9048,6752,1881,7531,2722,"ADAM15"
"258",1575,750,1148,1006,1248,1595,1545,1887,985,4561,1428,732,753,818,530,964,1354,3685,"ADAM17"
"259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ADAM18"
"260",4004,236,3440,4064,1357,713,346,733,70,1968,1205,6505,2782,580,1382,6672,315,409,"ADAM19"
"261",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ADAM2"
"262",3,4,3,6,2,1,10,3,1,5,10,2,2,10,4,5,3,0,"ADAM20"
"263",2,1,5,2,0,2,3,3,13,17,20,3,2,2,4,2,7,14,"ADAM21"
"264",0,0,0,1,0,1,0,0,2,2,1,0,0,0,0,0,2,1,"ADAM21P1"
