"symbol","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"A1BG",157,8,187,239,218,82,82,104,66,93,71,209,183,17,106,70,80,79
"A1BG-AS1",58,3,47,48,21,21,10,8,3,22,28,50,67,9,22,20,24,18
"A1CF",1,0,1,7,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"A2M",10446,610,8612,8556,3820,2265,634,2822,2396,8300,3640,1274,5021,989,2135,3901,1353,5730
"A2ML1",4161,2219,963,1959,451,8889,11666,34323,17494,30640,3778,4966,703,4855,8997,1648,7644,146
"A2MP1",1,0,3,1,2,2,0,0,0,7,1,0,0,0,7,1,0,11
"A4GALT",1707,1013,2576,1112,449,3005,2025,1224,3441,1509,2923,1727,1513,1894,2836,1669,920,130
"A4GNT",1,0,1,0,0,0,0,0,0,2,5,1,4,2,0,2,4,6
"AAAS",2025,450,1677,1324,1647,1424,1297,697,494,1070,1631,2515,1306,1311,1068,1917,1125,1214
"AACS",2030,963,1389,3619,1240,2142,1167,1915,1626,2635,1607,5955,1980,1665,1047,2032,1255,639
"AACSP1",588,0,65,146,416,17,38,0,10,22,7,214,367,25,0,5,2,855
"AADAC",8,1,52,30,4,94,14,52,6,28,19,12,4,1,61,1,0,0
"AADACL2",1,0,42,10,2,29,5,3,4,25,0,0,1,0,3,0,1,1
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AADAT",62,72,136,16,34,292,232,184,57,171,38,3,27,183,46,139,85,480
"AAGAB",2331,1010,2167,1738,1941,3737,1911,2359,2669,4696,3038,972,762,2106,1522,997,2072,1235
"AAK1",2005,633,2278,2361,1740,2532,870,1436,978,4031,2010,2243,1756,937,871,1355,1296,1748
"AAMDC",336,152,371,354,198,294,328,125,195,270,245,314,168,216,174,168,71,244
"AAMP",4560,978,3387,2892,2121,3518,4110,2762,4490,8079,3936,3710,3148,3471,3240,1983,3673,4186
"AANAT",4,1,2,8,12,9,4,7,1,3,25,6,6,34,15,3,32,2
"AAR2",1398,506,1623,1325,1849,1806,1039,938,1786,2086,2334,1878,1149,987,967,1651,1068,1489
"AARD",6,0,14,3,12,2,0,1,2,1,0,6,1,0,6,91,0,0
"AARS1",3323,2950,2185,3780,3479,7040,3665,4647,2842,8969,4938,2010,2255,3135,2427,3374,1910,8012
"AARS2",1614,396,1496,1264,935,736,1069,776,652,1512,1482,1388,746,1116,1221,1143,1312,1716
"AARSD1",1122,314,957,559,835,939,970,629,401,913,693,608,608,866,628,569,821,1572
"AASDH",445,181,407,490,507,517,336,266,447,967,392,386,282,231,276,408,250,586
"AASDHPPT",1693,338,1442,1300,1328,1622,1040,1199,1185,2661,659,680,708,355,1077,1363,1002,4058
"AASS",1357,1158,1099,938,1324,349,1629,1169,303,1537,2156,174,1026,411,836,908,420,981
"AATF",1859,689,2003,1366,1760,4062,1585,1488,1497,3956,1992,1732,1366,1321,1134,1567,1032,2862
"AATK",115,12,107,99,48,42,48,38,13,56,86,38,107,37,100,84,126,63
"ABAT",164,307,625,293,616,1576,713,417,607,293,870,69,183,164,281,316,103,816
"ABCA1",1830,576,2654,2901,1586,617,1303,2299,532,7907,1757,794,940,468,1002,1270,712,445
"ABCA10",143,19,86,326,30,239,65,67,19,125,36,65,123,16,68,128,23,62
"ABCA11P",218,53,220,251,387,276,198,120,190,353,205,139,216,81,186,113,261,356
"ABCA12",295,151,105,248,35,916,593,377,1110,2152,208,201,63,305,366,19,453,67
"ABCA13",2187,1209,3045,5754,74,3477,1227,6368,182,5733,6425,4923,3642,2340,2139,147,866,234
"ABCA17P",583,67,139,302,402,167,42,92,216,87,152,876,550,120,112,1063,89,142
"ABCA2",2823,404,2554,1562,1166,726,1668,916,1951,1002,2224,4137,5262,3356,1116,1381,8934,2177
"ABCA3",9076,82,2017,6946,6768,1166,62,330,26,496,471,6719,9307,1652,679,28391,1459,1103
"ABCA4",16,6,10,57,9,5,1,14,8,5,8,26,7,3,1856,8,13,7
"ABCA5",1441,337,1508,1252,1159,4428,1568,1456,772,1903,846,1708,1148,1325,914,1345,869,1965
"ABCA6",331,6,132,250,31,81,4,62,33,92,30,20,61,16,82,30,31,70
"ABCA7",3247,279,2703,1942,1000,2247,1615,1108,684,2194,5291,2202,2146,1590,5056,2129,6754,570
"ABCA8",153,17,91,466,2,35,0,50,1,10,10,5,32,8,63,2,12,106
"ABCA9",357,11,74,202,22,45,6,34,15,69,50,15,78,27,53,21,38,21
"ABCB1",121,14,315,280,74,77,9,69,43,225,84,70,119,35,76,37,23,26
"ABCB10",818,323,1330,985,1448,1403,1161,1143,803,5608,1097,775,986,537,673,876,884,1295
"ABCB11",0,0,3,4,1,0,9,2,1,2,0,0,0,3,1,2,0,1
"ABCB4",52,6,204,94,49,73,5,23,4,46,29,9,39,8,104,19,4,14
"ABCB5",4,1,0,2,0,1,8,1,1,0,0,6,4,0,1,2,1,0
"ABCB6",1441,368,944,942,554,903,1556,1103,982,1218,1602,1144,1726,1156,801,465,2212,1587
"ABCB7",793,262,851,754,913,556,548,417,546,1028,613,916,402,310,459,495,292,810
"ABCB8",1425,191,961,818,711,1385,699,733,957,1149,1386,884,1016,1214,901,782,2168,1094
"ABCB9",231,120,189,221,279,482,84,165,242,177,233,511,224,226,217,531,126,127
"ABCC1",9171,1409,3498,7839,10717,1906,1167,2330,918,2759,1954,4692,3610,927,1770,7726,2298,9881
"ABCC10",1701,280,1264,1318,693,509,627,471,396,1470,1350,1336,800,792,606,1238,1008,693
"ABCC11",7,1,25,6,17,17,11,21,1,14,20,0,8,6,9,2,15,5
"ABCC12",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABCC13",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1
"ABCC2",25,3,35,41,39,20,16,8,8,37,34,22,27,4,13,32,20,28
"ABCC3",402,124,1147,336,82,231,1409,240,73,196,282,115,422,195,374,784,234,39
"ABCC4",1602,99,1439,1904,3945,204,491,427,112,471,204,1353,844,115,267,3374,278,1424
"ABCC5",5705,7634,5187,3897,1652,5902,4945,8701,2369,16516,10275,7453,3633,7539,6385,3496,4318,1212
"ABCC6",12,6,84,13,13,3,2,10,1,7,7,10,14,4,13,3,5,4
"ABCC6P1",0,0,13,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0
"ABCC6P2",0,7,2,0,0,2,0,0,0,0,0,0,0,1,1,4,1,0
"ABCC8",0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0
"ABCC9",882,426,485,1363,738,618,685,761,276,1169,570,733,403,488,408,537,352,718
"ABCD1",667,110,917,458,322,949,457,305,510,448,773,621,563,640,388,492,1409,191
"ABCD2",56,12,179,185,178,77,9,25,10,154,67,23,26,10,25,66,10,5
"ABCD3",1699,854,1838,2039,3332,2928,1698,1642,2153,5787,2183,1234,1391,498,2573,1819,1327,3592
"ABCD4",809,305,1240,684,603,1160,851,534,514,1089,1222,852,500,934,724,789,601,786
"ABCE1",3833,1671,3638,3135,8015,5126,5041,3323,4197,10851,2850,2510,2602,2410,2199,2962,2103,6671
"ABCF1",4037,1162,2860,3270,3340,5272,2920,2242,2251,7037,4430,2389,1505,2335,2061,1887,1855,5452
"ABCF2",2537,490,1886,2085,1940,2319,2044,1628,1973,4313,3121,1809,1589,1740,1574,2084,1985,2674
"ABCF3",2431,1689,2586,1778,1276,5057,2344,1728,2327,4792,4304,2437,1502,3124,2559,1655,1347,1404
"ABCG1",1326,85,1364,2295,1021,698,499,1859,365,901,386,766,671,148,695,1040,608,501
"ABCG2",95,56,220,203,62,34,28,52,26,94,15,17,135,9,44,59,8,50
"ABCG4",26,3,6,5,7,3,1,39,7,2,3,4,12,2,18,4,4,10
"ABCG5",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ABHD1",6,5,7,2,1,2,3,0,1,4,7,2,3,9,6,6,5,7
"ABHD10",1282,892,1406,1319,1532,1646,871,1097,1685,2728,1591,1977,1629,1055,890,890,484,1744
"ABHD11",749,373,966,1588,446,1699,1652,865,1746,1406,1252,1351,1026,1246,1493,1157,1990,517
"ABHD11-AS1",5,2,9,23,0,33,34,20,45,8,8,2,18,20,8,4,55,1
"ABHD12",2497,701,3131,1708,1531,4347,2135,1670,2423,3593,2638,2685,1655,1429,1594,2867,1589,1121
"ABHD12B",1,4,2,6,1,183,0,10,11,1,2,1,0,2,9,0,0,3
"ABHD13",964,165,1502,1082,2390,949,1413,1169,803,1020,659,751,463,339,378,819,389,1232
"ABHD14A",130,74,248,219,113,236,182,94,262,152,245,161,267,127,173,167,113,135
"ABHD14A-ACY1",0,0,0,0,3,0,1,0,1,0,2,1,1,0,1,3,0,0
"ABHD14B",1161,647,1770,1245,1280,4320,1858,881,1657,2041,2621,2180,1660,2651,2765,1437,1713,1405
"ABHD15",708,202,1022,612,463,1266,335,431,461,1126,665,564,453,755,506,648,734,427
"ABHD16A",3009,584,2632,2060,1715,2617,1232,1153,952,1922,2249,1156,963,1424,1295,1087,1179,2116
"ABHD16B",146,139,223,162,87,282,258,89,143,353,483,318,140,292,272,156,310,79
"ABHD17A",2543,646,2556,2025,2014,2377,1720,1854,2360,3331,2813,2749,2008,1529,2790,2119,2329,1146
"ABHD17B",804,393,845,961,702,1955,838,957,1678,2497,738,764,328,434,588,366,444,512
"ABHD17C",3349,1868,3364,3197,3931,2184,8222,1901,1873,7867,3747,3719,716,1996,3849,1214,2213,779
"ABHD18",175,34,128,109,195,213,151,107,145,279,137,75,97,89,73,119,174,143
"ABHD2",3200,1135,4550,4396,4248,4441,1660,4798,2537,14229,7453,3657,2926,2960,6190,4139,1525,6624
"ABHD3",1491,624,1726,1716,1504,4370,1447,1095,1748,4933,1421,1106,976,804,806,928,809,1184
"ABHD4",1822,786,1715,1641,1164,1659,1144,1485,904,2000,1285,1159,1841,1747,933,895,2957,926
"ABHD5",724,775,611,1606,1038,5265,1517,3625,6937,5389,2110,537,761,1466,1345,749,791,828
"ABHD6",176,180,430,255,362,492,457,481,421,975,438,113,176,751,153,239,216,159
"ABHD8",655,271,684,511,792,1014,423,256,626,872,626,791,342,557,420,654,215,950
"ABI1",3382,1660,4071,4138,3291,11349,9328,5150,6703,13082,3989,2810,1881,3383,2403,2776,2944,2729
"ABI2",1770,396,1760,2093,2269,2189,977,1233,1089,1660,939,1297,1748,1003,512,963,865,7281
"ABI3",1090,86,2062,903,441,361,138,178,131,585,573,490,957,210,485,695,259,103
"ABI3BP",1104,37,2798,1863,226,850,17,230,74,1740,408,84,171,52,516,2613,28,387
"ABITRAM",576,522,814,705,941,1339,1443,968,1127,1782,1066,613,555,809,458,485,541,988
"ABL1",3201,762,2999,3289,2368,2660,1501,1639,1753,4096,2173,2351,1202,1559,1429,2903,1626,2988
"ABL2",998,317,1003,1280,1357,1316,560,1478,274,1460,603,741,773,796,340,753,454,1344
"ABLIM1",3063,5976,3757,7380,2325,18352,9844,12445,7211,19888,6457,2454,1481,5057,4971,1919,2502,555
"ABLIM2",821,57,192,1059,613,293,323,582,295,516,1042,397,491,534,427,427,1609,100
"ABLIM3",160,93,286,184,26,82,157,726,367,126,643,81,117,584,762,66,106,120
"ABO",10,237,149,37,4,263,152,340,152,637,289,5,4,263,257,2,15,171
"ABR",6631,909,4559,3149,3354,5212,3456,3968,2445,9853,4533,3367,4067,2751,3238,3864,3433,4350
"ABRA",33,3,2,2,2,1,0,0,0,4,3,3,0,0,5,1,3,2
"ABRACL",3535,975,2444,2228,3156,1906,3702,1770,1873,5504,1743,1679,1730,862,1015,3145,1927,2290
"ABRAXAS1",188,91,289,278,482,364,201,148,233,709,165,187,180,130,91,270,161,540
"ABRAXAS2",1020,430,1079,975,1530,1297,1132,893,1016,1918,840,747,679,665,535,715,511,1251
"ABT1",1603,796,1636,1434,1524,3338,1725,1588,2346,3267,1636,1394,526,1147,1254,564,905,1403
"ABTB1",852,683,1042,977,690,580,987,447,1079,1047,1376,2164,936,1157,960,786,433,684
"ABTB2",1040,9,245,854,484,41,170,132,45,293,103,230,115,74,129,497,236,11355
"ACAA1",1523,316,1981,1764,1289,1534,1844,1827,1654,1808,2101,1346,1374,1256,2025,1376,1641,1216
"ACAA2",607,566,848,663,818,366,76,362,160,548,261,138,238,78,186,432,577,813
"ACACA",3107,1330,2052,2026,2182,4515,1474,2655,1666,5230,3481,2489,1292,2481,1556,2913,2344,3645
"ACACB",742,201,675,819,250,277,252,320,90,207,505,759,619,160,294,1001,284,393
"ACAD10",880,240,817,820,941,786,769,612,438,962,1045,1222,923,793,841,1098,493,1044
"ACAD11",86,14,43,70,62,63,24,64,16,44,101,132,97,42,32,126,26,76
"ACAD8",876,161,655,724,842,596,376,419,361,728,630,301,503,328,585,959,350,1197
"ACAD9",2123,1704,1487,1377,967,2794,2443,2170,2176,4512,3718,3060,1496,2693,1739,1155,979,1098
"ACADL",8,0,3,7,0,0,4,6,4,0,0,1,1,3,0,0,1,1
"ACADM",2242,1611,2069,1967,2600,4475,2226,1578,4586,6744,2286,1107,1157,784,1337,1236,1546,4981
"ACADS",819,213,793,503,346,1204,427,409,745,1092,1050,1335,711,583,595,696,535,190
"ACADSB",544,221,805,1335,1243,1670,658,574,1542,2873,697,561,575,616,558,1386,693,924
"ACADVL",13537,3561,8501,4274,6344,7933,5780,9449,4895,8663,11098,10851,13654,5359,9253,11715,7870,7877
"ACAN",49,10,14,29,137,2,14,50,6,10,7,19,53,0,2,41,7,471
"ACAP1",1462,108,3128,2175,944,947,304,345,150,1153,1945,769,1267,492,2525,1252,428,75
"ACAP2",2878,3035,7057,6443,4807,12154,4311,6213,4560,15782,4437,3838,3755,2653,3480,3106,1102,2629
"ACAP3",2689,1083,1990,1613,1975,4055,1746,2341,2324,2241,4850,3480,3494,4009,6097,2154,6959,1076
"ACAT1",1013,210,901,836,614,368,172,551,426,1218,508,461,577,219,571,1331,456,1622
"ACAT2",2413,1680,1415,1691,2748,3193,3761,2041,2912,3769,1699,1257,1396,1228,1622,1238,783,2399
"ACBD3",2322,1086,2237,2438,2404,2975,2588,5217,1947,8209,2906,1495,1250,1385,2041,1980,1494,3608
"ACBD4",197,91,381,326,176,139,194,89,69,205,281,485,216,361,253,278,258,217
"ACBD5",1190,460,1287,1110,1302,2638,1217,934,2190,5654,1531,631,754,662,705,1044,1345,1068
"ACBD6",1107,554,1133,1078,1496,1616,1252,1257,1418,2368,1321,1338,1129,894,896,1112,807,1494
"ACBD7",170,134,475,513,294,49,85,42,76,37,290,715,588,206,80,259,25,290
"ACCS",227,43,597,360,218,396,293,116,53,117,439,294,233,191,285,315,250,281
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",596,211,724,428,432,833,594,369,531,944,954,570,488,558,530,485,440,697
"ACE",786,61,625,490,294,220,137,280,185,878,769,104,322,92,332,189,415,454
"ACE2",33,66,182,77,19,68,44,121,88,211,299,17,22,82,52,74,248,6
"ACER1",3,0,3,4,4,4,0,8,18,3,4,0,2,0,5,2,0,1
"ACER2",46,55,98,147,61,114,49,158,59,249,78,53,53,116,31,72,32,115
"ACER3",809,231,879,620,633,278,1048,564,180,509,302,262,539,216,324,700,228,3165
"ACHE",163,11,372,173,32,65,19,25,29,118,110,110,526,63,171,241,157,38
"ACIN1",8552,2090,7036,5694,5501,6960,6505,4397,3058,11265,9119,6232,5127,5582,5869,5457,5782,5865
"ACKR1",473,17,1001,1382,59,432,3,80,112,116,110,33,148,120,686,34,38,3
"ACKR2",19,5,23,84,3,484,15,54,14,21,29,14,7,4,82,2,31,5
"ACKR3",40430,2212,1408,6505,1186,128,2340,5798,141,660,1927,4725,800,362,1904,2237,2899,1600
"ACKR4",220,20,225,130,67,36,198,118,54,59,47,24,34,30,17,22,481,429
"ACLY",3851,1551,3477,2847,4820,9835,2969,3495,3432,8080,5043,2134,2326,4591,2738,3695,3352,7463
"ACMSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACO1",1383,487,1099,1009,757,1094,1108,845,889,2264,868,548,491,844,478,739,770,738
"ACO2",3879,889,1820,2314,1681,2908,1218,1801,1302,4334,2547,1550,1934,1266,1599,2655,705,1981
"ACOT1",92,23,102,95,59,66,21,39,57,114,111,82,32,71,64,162,81,154
"ACOT11",321,284,179,104,243,228,446,247,137,495,931,304,183,254,551,185,343,44
"ACOT12",1,1,3,4,2,0,1,0,0,0,4,1,0,0,1,0,0,1
"ACOT13",917,466,1506,933,1260,2615,1088,842,1461,1440,844,545,584,679,547,461,631,1027
"ACOT2",433,91,357,279,254,498,126,147,236,325,221,320,272,263,171,494,229,511
"ACOT4",136,55,248,75,68,133,60,41,128,230,183,185,82,129,102,185,59,90
"ACOT6",2,1,2,2,1,1,1,1,0,2,0,1,0,2,0,1,0,0
"ACOT7",1330,760,2644,1157,948,7266,1320,1904,3745,3397,1301,1290,1994,1528,1864,1259,1319,1333
"ACOT8",560,197,532,426,560,719,412,330,715,790,717,860,354,450,354,423,349,313
"ACOT9",1036,403,1499,763,583,946,744,635,539,866,843,1185,846,463,605,632,430,820
"ACOX1",2710,725,2082,1676,2317,3747,2477,2090,1865,2631,1333,1109,1088,1832,1871,1461,1112,3728
"ACOX2",77,1,98,43,13,30,14,50,10,63,31,14,17,16,109,9,25,33
"ACOX3",794,212,689,622,290,1038,1155,714,2001,1490,720,422,503,555,817,924,1750,274
"ACOXL",23,3,13,98,28,7,0,6,4,41,30,12,19,5,8,82,12,0
"ACP1",2576,1301,3264,2836,3575,3817,3751,2231,3827,6623,2605,2541,2489,2001,2077,1887,2157,5142
"ACP2",3337,505,3010,1594,1370,2267,1561,1194,642,3579,2345,990,826,649,1430,1450,984,1036
"ACP3",100,677,272,287,109,850,578,1259,214,1221,574,337,36,144,562,63,91,21
"ACP4",0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2
"ACP5",4140,650,5286,1725,933,1231,878,2053,1298,3244,3318,1124,2479,983,1831,1255,1429,519
"ACP6",250,92,415,328,411,476,241,99,370,798,395,262,185,198,474,261,219,564
"ACP7",8,13,6,3,0,0,5,80,7,2,1,8,1,7,16,5,25,9
"ACR",1,0,11,6,7,2,2,3,1,0,0,0,11,4,4,2,7,38
"ACRBP",44,4,45,24,15,30,18,23,7,39,32,21,30,50,46,26,22,24
"ACRV1",12,0,6,34,10,0,0,2,1,3,0,7,14,3,1,3,0,65
"ACSBG1",4,4,8,10,18,29,6,10,206,6,6,14,3,9,6,3,3,13
"ACSBG2",1,0,4,2,4,4,3,3,1,3,4,5,1,2,4,2,3,3
"ACSF2",494,118,802,345,473,461,207,142,135,342,391,553,701,259,177,675,206,594
"ACSF3",520,239,646,548,351,1014,548,475,482,777,790,417,346,753,678,373,390,402
"ACSL1",2520,987,1852,2683,1825,4613,1420,2799,3845,5250,3166,1319,1596,1491,3367,2363,3572,844
"ACSL3",2035,803,1966,2477,1313,3876,2913,3199,3037,5477,2239,1619,1122,1618,1796,1037,2219,3687
"ACSL4",2195,549,3707,2166,2133,1047,3905,1451,1857,3039,1354,1034,1414,570,579,1368,704,4662
"ACSL5",1286,173,2955,1707,3029,455,287,520,464,777,1749,279,393,766,458,1698,158,1531
"ACSL6",144,47,102,176,229,61,16,266,42,85,42,7,121,122,23,558,199,360
"ACSM1",23,9,14,11,17,12,2,28,6,8,7,11,9,10,8,39,26,22
"ACSM2A",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACSM3",51,24,141,49,67,25,16,51,41,57,52,59,9,14,26,121,16,333
"ACSM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM5",32,0,20,16,10,7,1,8,4,21,12,0,6,3,9,7,6,0
"ACSM6",0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"ACSS1",3699,417,2766,4303,4381,2464,500,1077,231,2388,2101,6157,2436,1297,1224,3122,417,7585
"ACSS2",1121,806,1253,888,848,2881,1867,1359,1560,1943,3533,941,721,1368,1202,1265,2573,1445
"ACSS3",57,1,41,53,14,9,2,23,5,26,16,5,16,1,14,7,8,16
"ACTA1",1343,5,8,11,3,7,11,1,3,13,21,13,31,9,849,8,13,1
"ACTA2",3368,133,1400,2571,3090,1302,414,2211,588,2206,491,845,1025,242,567,959,518,3865
"ACTB",161794,66588,225942,154929,119173,209829,222928,205863,122889,212763,196754,138830,145382,117618,139856,118769,141416,131392
"ACTBL2",1,0,0,1,2,0,3,2,1,3,0,0,1,0,0,0,0,6
"ACTC1",1283,0,12,11,7,3,2,1,7,2,13,8,10,1,111,4,7,1
"ACTG1",63465,57228,86614,65267,78724,153609,175941,146195,144417,182659,102470,103522,68249,77540,101863,65097,84612,193592
"ACTG2",97,10,43,104,141,61,25,70,21,73,16,37,22,10,10,21,16,610
"ACTL10",79,24,152,79,58,286,90,17,159,299,228,126,98,172,126,107,168,28
"ACTL6A",2497,3831,4051,2777,4382,12358,6108,4525,6542,11019,4241,4184,2916,3306,2886,2018,1305,3849
"ACTL6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACTL7A",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACTL7B",0,0,0,1,0,8,4,1,0,1,0,1,1,0,0,0,0,0
"ACTL8",0,3,8,0,0,1616,10,53,42,8,1,4,0,28,19,0,539,1
"ACTL9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN1",5614,1592,4390,2446,2361,2063,2691,6304,1136,4390,2686,2768,3905,2362,1645,2669,3042,20390
"ACTN2",620,0,20,41,14,11,3,2,1,12,9,18,11,2,253,52,1,9
"ACTN3",19,3,8,8,7,5,1,0,0,7,2,4,5,5,1,4,2,1
"ACTN4",15328,5386,9007,9726,11898,23445,11753,14350,14502,32166,16056,16372,9260,9336,11038,15298,16431,27302
"ACTR10",2002,666,2120,1463,2709,2561,2094,2321,2582,3556,1476,1579,1418,1093,992,1315,867,2085
"ACTR1A",3883,1504,3904,4613,4408,4887,3020,3401,4249,6177,3773,2923,3322,2691,2105,4736,2226,3529
"ACTR1B",3104,1047,3111,2710,1860,2485,2250,1587,1809,3398,3011,3474,2348,2158,1948,1808,2764,1453
"ACTR2",13225,5107,18203,13037,15923,13892,12226,13469,11738,28920,8184,5400,7103,4858,6037,8950,10832,17168
"ACTR3",13094,5663,15288,10602,7385,13086,11492,12114,11980,23267,8847,5703,6382,4720,6851,6711,6858,12145
"ACTR3B",138,48,220,704,347,253,168,124,151,261,362,203,258,173,159,182,241,230
"ACTR3BP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3C",224,18,121,116,66,67,45,56,27,140,49,66,50,36,53,90,99,56
"ACTR5",564,163,433,404,376,659,529,281,545,1288,586,521,398,394,324,514,373,410
"ACTR6",1109,479,1173,1450,1597,1622,1760,1156,2770,2819,815,1183,553,784,507,1092,526,1204
"ACTR8",510,264,540,476,719,1096,711,449,1251,1326,1213,490,470,480,635,717,400,976
"ACTRT1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",144,121,119,177,92,72,42,124,50,243,130,181,77,47,63,148,62,80
"ACVR1",1430,446,1032,1400,681,1208,747,1496,502,1489,580,496,391,511,257,588,488,1663
"ACVR1B",1782,984,1904,1484,3745,5094,2007,1765,1354,3672,1592,2224,889,1502,902,1543,877,2528
"ACVR1C",124,86,107,723,85,53,62,965,210,455,384,247,276,169,40,196,147,37
"ACVR2A",575,449,751,976,512,1006,1075,604,1283,565,762,515,415,283,625,455,468,3017
"ACVR2B",230,212,614,788,1130,771,324,429,377,1171,619,926,561,338,293,465,206,1062
"ACVRL1",821,57,919,740,254,360,74,297,113,517,303,151,335,104,282,255,149,387
"ACY1",40,34,25,26,50,111,54,35,161,73,291,56,43,122,141,54,80,42
"ACY3",55,10,149,86,37,57,7,10,2,14,130,31,52,13,122,79,21,26
"ACYP1",367,258,423,238,527,1052,663,433,640,979,547,782,403,364,318,536,264,334
"ACYP2",250,133,450,297,278,153,278,305,336,316,181,126,177,45,167,199,221,202
"ADA",892,678,1341,848,512,157,575,349,73,1038,649,357,143,326,379,534,233,231
"ADA2",2567,107,4942,5195,1593,981,175,923,619,3429,2321,538,1755,629,932,2901,612,107
"ADAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAD2",17,81,25,10,16,81,73,25,43,44,52,26,19,124,92,1,60,8
"ADAL",268,170,263,293,292,448,235,188,249,556,370,159,127,172,160,97,247,396
"ADAM10",1708,940,2165,2144,1971,2510,1821,1868,1745,6726,2291,1341,540,1258,1183,1107,1634,1275
"ADAM11",34,6,46,7,24,35,14,9,17,10,57,69,91,28,35,18,38,65
"ADAM12",1237,45,298,229,1403,146,51,1623,53,279,111,88,215,25,79,448,81,966
"ADAM15",3732,1715,3841,2088,3535,9564,3382,4864,9105,6372,9982,3217,3473,9048,6752,1881,7531,2722
"ADAM17",1575,750,1148,1006,1248,1595,1545,1887,985,4561,1428,732,753,818,530,964,1354,3685
"ADAM18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM19",4004,236,3440,4064,1357,713,346,733,70,1968,1205,6505,2782,580,1382,6672,315,409
"ADAM1A",125,47,206,262,448,150,216,115,79,169,151,571,303,237,142,229,117,152
"ADAM2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM20",3,4,3,6,2,1,10,3,1,5,10,2,2,10,4,5,3,0
"ADAM20P1",32,3,21,51,16,7,35,26,2,58,49,47,17,30,30,20,35,14
"ADAM21",2,1,5,2,0,2,3,3,13,17,20,3,2,2,4,2,7,14
"ADAM21P1",0,0,0,1,0,1,0,0,2,2,1,0,0,0,0,0,2,1
"ADAM22",269,49,782,195,1010,268,62,110,86,90,61,339,735,24,92,1058,15,348
"ADAM23",2454,221,811,3725,497,10,121,582,50,1440,404,1856,196,396,187,722,554,194
"ADAM28",2414,313,991,1511,309,289,494,680,69,936,1196,417,386,116,1769,431,141,966
"ADAM29",0,0,1,5,3,1,0,0,0,1,2,0,2,0,2,3,0,0
"ADAM30",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"ADAM32",45,5,51,16,27,1,16,5,2,9,29,86,27,8,42,16,10,93
"ADAM33",429,33,146,333,64,56,34,371,37,23,132,60,94,62,233,44,279,208
"ADAM3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ADAM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM7",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0
"ADAM8",4307,125,1966,2275,1350,1122,2007,545,527,2356,1371,2366,4262,1556,1223,2700,4674,461
"ADAM9",8120,1984,2179,2601,4327,5903,3543,5043,5150,4850,5080,4462,3413,1194,3511,4449,1901,4882
"ADAMDEC1",1751,62,2708,867,407,317,109,339,313,1653,468,84,1016,99,310,1018,59,17
"ADAMTS1",1094,492,557,3933,649,280,524,2417,366,1112,621,345,439,89,596,429,330,2622
