"symbol","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"CDNF",40,9,40,52,40,19,10,22,17,44,35,14,36,10,25,24,17,17
"CDO1",68,0,52,144,155,44,0,15,8,16,13,2,9,1,10,2,1,666
"CDON",1045,48,576,1357,767,123,168,81,30,236,95,335,795,39,114,992,64,925
"CDPF1",273,88,315,202,320,352,142,90,133,360,269,276,233,239,319,202,292,183
"CDR1",6,2,0,1,3,0,0,4,0,3,2,0,1,0,0,1,1,6
"CDR2",902,186,1062,938,992,3296,1277,664,1718,3215,715,514,375,724,355,1114,990,699
"CDR2L",419,150,159,253,284,2166,871,370,458,1226,459,352,198,1737,290,300,1484,741
"CDRT1",65,10,18,36,4,203,26,41,16,15,27,17,32,52,156,16,99,19
"CDRT15",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CDRT15L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT15P1",34,6,42,22,52,33,35,19,21,56,35,61,57,30,72,19,30,24
"CDRT15P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT4",0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,3
"CDRT7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDS1",1023,835,1037,924,756,2837,1602,2213,2383,2337,1453,979,705,1209,926,839,1582,756
"CDS2",2049,766,2268,2245,2092,2881,1572,1665,1651,3345,2325,1858,1224,1320,910,2099,1287,1705
"CDSN",17,6,11,19,8,6,17,19,12,2,12,21,5,34,17,13,125,11
"CDT1",1069,743,1191,655,1413,3046,2438,853,1570,3553,2464,1517,1216,1475,1645,801,1104,2809
"CDV3",5413,5230,7288,9691,6958,9235,5783,7151,4823,19063,8215,6220,4380,4726,5057,6106,2048,5863
"CDX1",111,0,99,8,23,40,5,12,3,41,23,13,17,12,25,18,16,12
"CDX2",0,0,23,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
"CDX4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CDY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDYL",1109,611,869,1330,1451,2132,1412,1209,1262,1871,933,759,408,687,815,1066,711,1584
"CDYL2",130,17,48,82,33,14,14,95,2,75,27,36,43,15,21,79,2,21
"CEACAM1",2089,1407,1790,2524,270,2403,1302,5238,1304,1540,2555,252,283,741,1906,1051,680,911
"CEACAM16",0,0,3,1,0,23,0,0,1,0,1,1,12,2,13,1,0,0
"CEACAM18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM19",439,140,137,313,229,812,492,1137,171,116,43,426,164,221,250,189,636,110
"CEACAM20",1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0
"CEACAM21",57,15,118,131,48,48,8,11,26,50,94,33,67,16,131,31,27,7
"CEACAM22P",2,0,3,2,1,3,2,0,0,5,1,1,3,1,1,2,3,2
"CEACAM3",54,2,37,23,7,11,7,2,6,7,14,5,21,4,23,7,9,0
"CEACAM4",48,6,77,25,7,14,8,6,8,24,20,15,39,4,40,8,16,3
"CEACAM5",1701,2747,4784,2690,18,25844,1204,10714,10875,3862,3163,35,157,1316,13808,11,2545,35
"CEACAM6",1339,1115,1985,2141,15,27106,977,15428,13169,5014,1626,25,95,1458,6509,10,3323,20
"CEACAM7",118,853,473,1777,0,13,249,1283,958,484,204,5,20,104,1532,0,58,5
"CEACAM8",0,1,5,0,1,3,3,0,0,2,2,8,7,2,1,1,1,6
"CEBPA",2085,568,1910,1029,1760,3439,1639,803,2070,5573,1040,2864,1379,1475,1908,1704,2070,738
"CEBPB",6312,855,3536,2926,5220,873,5073,6760,2161,4129,2436,2399,3014,1091,2526,3732,2561,7885
"CEBPD",12732,1472,4323,10764,3251,6438,7189,7886,6392,7224,6925,12576,3668,2912,7124,8023,3862,1073
"CEBPE",5,3,4,9,3,0,1,2,2,2,3,0,3,2,4,0,5,2
"CEBPG",3083,1679,2901,2416,5756,5665,4881,3761,4896,8893,2219,3495,2476,1874,2421,3423,2687,4316
"CEBPZ",2422,1048,2478,1970,2942,3763,3249,1974,2815,5689,2181,1575,1465,1497,1101,1472,2198,3712
"CECR2",12,169,23,27,516,61,142,112,3,1253,15,10,77,289,51,201,20,629
"CECR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CECR7",115,16,51,96,94,86,113,34,127,102,175,254,96,64,42,194,60,670
"CEL",98,500,554,250,29,624,204,429,841,159,641,677,142,633,501,72,785,61
"CELA1",3,1,6,4,0,6,2,0,0,2,0,0,1,0,1,0,0,0
"CELA2A",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
