"","x"
"1361","UNC5CL"
"1362","QSOX1"
"1363","ZNF670"
"1364","PCMT1"
"1365","CEBPD"
"1366","ARHGAP24"
"1367","LOC400027"
"1368","KLRF2"
"1369","B4GALNT3"
"1370","LNPEP"
"1371","PAQR3"
"1372","SLC44A2"
"1373","ZNF433"
"1374","RPL15"
"1375","COX6A2"
"1376","LRRC56"
"1377","RAB3B"
"1378","ELAVL1"
"1379","LCTL"
"1380","PDCD11"
"1381","SLC16A5"
"1382","COMMD3"
"1383","NARS"
"1384","RAD54L2"
"1385","ZNF285"
"1386","FBXO25"
"1387","ACCN2"
"1388","HSPD1"
"1389","STRAP"
"1390","KIAA0895"
"1391","ZNF789"
"1392","ZNF321P"
"1393","RUNDC3A"
"1394","C20orf4"
"1395","NDC80"
"1396","FBXL16"
"1397","BACE2"
"1398","HNRNPAB"
"1399","ARL6"
"1400","HTR2C"
"1401","FAM184A"
"1402","ABLIM2"
"1403","ACP1"
"1404","ACVR1"
"1405","MAFA"
"1406","C6orf62"
"1407","LOC146880"
"1408","TDRD5"
"1409","ORMDL1"
"1410","CAND1"
"1411","EMILIN3"
"1412","SPRN"
"1413","DPP8"
"1414","H1F0"
"1415","CYB561D2"
"1416","DMP1"
"1417","C11orf96"
"1418","SCAF4"
"1419","ATE1"
"1420","USP35"
"1421","C22orf39"
"1422","XPO5"
"1423","DCUN1D4"
"1424","TGM4"
"1425","SARS"
"1426","ZNF493"
"1427","SLC16A2"
"1428","GPM6B"
"1429","NUDCD3"
"1430","ELF2"
"1431","TIGD5"
"1432","PSRC1"
"1433","RPL19"
"1434","SHROOM2"
"1435","C20orf195"
"1436","TOMM20"
"1437","GOLGA7"
"1438","DNASE1L3"
"1439","CNPPD1"
"1440","KCNC3"
"1441","PUS7L"
"1442","PKN2"
"1443","ZNF274"
"1444","MARK4"
"1445","FCN1"
"1446","MAGI1"
"1447","NCAPG"
"1448","LOC100288428"
"1449","CCDC23"
"1450","PDSS2"
"1451","ZDHHC7"
"1452","ITGAX"
"1453","SNHG1"
"1454","FBXO33"
"1455","POLR1A"
"1456","RNASEK-C17ORF49"
"1457","CHRD"
"1458","LOC100288198"
"1459","CYSTM1"
"1460","PELO"
"1461","MT1L"
"1462","FSIP1"
"1463","PSMC3IP"
"1464","POMZP3"
"1465","NXF3"
"1466","FCRL5"
"1467","NPRL3"
"1468","TRIM63"
"1469","SYTL2"
"1470","APOOL"
"1471","LOC400550"
"1472","NOS3"
"1473","CCNDBP1"
"1474","OR7E12P"
"1475","DHX35"
"1476","E2F7"
"1477","IL1RL1"
"1478","NDUFAF4"
"1479","EPCAM"
"1480","TNNI1"
"1481","DNLZ"
"1482","ADPGK"
"1483","PPT2-EGFL8"
"1484","IDUA"
"1485","GRM5"
"1486","ALDH16A1"
"1487","SCO2"
"1488","RFK"
"1489","ANAPC4"
"1490","RPS16P5"
"1491","LOC100505679"
"1492","FLJ14186"
"1493","CALML4"
"1494","NUP188"
"1495","TOP1"
"1496","LOC283788"
"1497","DTX2P1-UPK3BP1-PMS2P11"
"1498","LOC389791"
"1499","PPIEL"
"1500","PIN4"
"1501","MMP24"
"1502","SMYD5"
"1503","CDCA2"
"1504","MDFIC"
"1505","CLDND2"
"1506","LOC401109"
"1507","WNT4"
"1508","NAA25"
"1509","CNPY3"
"1510","HCN3"
"1511","SPDEF"
"1512","MPL"
"1513","HOXC10"
"1514","CASZ1"
"1515","C12orf4"
"1516","TNNC2"
"1517","SPPL3"
"1518","TSC22D4"
"1519","DMBT1"
"1520","YPEL3"
"1521","ARHGAP17"
"1522","LOC100133612"
"1523","LOC100506368"
"1524","LENG1"
"1525","NLRP11"
"1526","CCL18"
"1527","CAMKMT"
"1528","PRRT2"
"1529","SWT1"
"1530","SYNGR3"
"1531","MAMSTR"
"1532","AMIGO2"
"1533","ELK4"
"1534","KIAA0556"
"1535","RTF1"
"1536","C19orf48"
"1537","CCDC42B"
"1538","GOLIM4"
"1539","HOXC11"
"1540","DYRK3"
"1541","ZNF430"
"1542","HIPK1"
"1543","CABLES2"
"1544","SLC12A4"
"1545","TNN"
"1546","CBX6"
"1547","OLA1"
"1548","CLMN"
"1549","PPP6R1"
"1550","FBXL5"
"1551","UNC119"
"1552","DHX15"
"1553","BNIP3L"
"1554","UFL1"
"1555","RALBP1"
"1556","MYF6"
"1557","FNIP2"
"1558","SGK3"
"1559","RPS23"
"1560","RG9MTD2"
"1561","LOC100131193"
"1562","METTL17"
"1563","IGF2-AS1"
"1564","ABCC12"
"1565","UBA2"
"1566","ARMCX5"
"1567","DPEP2"
"1568","CFLAR"
"1569","C4orf26"
"1570","PFKL"
"1571","ASB14"
"1572","TTC13"
"1573","FNIP1"
"1574","TEKT4P2"
"1575","KCNIP2"
"1576","RNF25"
"1577","PLEK2"
"1578","MAP2K2"
"1579","GOLT1B"
"1580","SLCO1B7"
"1581","DOC2GP"
"1582","MED26"
"1583","PMPCB"
"1584","MBNL3"
"1585","NOL10"
"1586","KRAS"
"1587","LOC285441"
"1588","C18orf21"
"1589","LOC100288432"
"1590","LINC00263"
"1591","SENP3-EIF4A1"
"1592","LOC100288637"
"1593","ZNF585B"
"1594","LINC00312"
"1595","DSG2"
"1596","LOC387647"
"1597","SEMA6C"
"1598","CMAS"
"1599","PIGK"
"1600","FCGR3B"
"1601","PCYOX1L"
"1602","TMBIM4"
"1603","RCBTB1"
"1604","IMMP1L"
"1605","PSMA4"
"1606","RNF144B"
"1607","LGR4"
"1608","TOE1"
"1609","MMACHC"
"1610","SSFA2"
"1611","LAMB4"
"1612","EFTUD1"
"1613","CLEC4D"
"1614","BUB1"
"1615","MYL3"
"1616","LRRFIP2"
"1617","TSC22D1-AS1"
"1618","ZNF91"
"1619","CHST1"
"1620","LURAP1"
"1621","HIF1A"
"1622","MSH3"
"1623","TOR1B"
"1624","MGC23284"
"1625","FUS"
"1626","FAM211B"
"1627","IFI6"
"1628","FMR1"
"1629","NCAPH"
"1630","C9orf3"
"1631","DMTF1"
"1632","C20orf152"
"1633","MORC2"
"1634","GOSR1"
"1635","MBOAT1"
"1636","LOC399708"
"1637","BRP44L"
"1638","NR2F1"
"1639","KLHL28"
"1640","C3orf35"
"1641","SNX4"
"1642","NPY5R"
"1643","PLIN4"
"1644","MTIF3"
"1645","ERC2"
"1646","SH3PXD2A"
"1647","DRAP1"
"1648","DNAJC28"
"1649","GSTM3"
"1650","PRRT1"
"1651","PACS2"
"1652","ACE"
"1653","TTK"
"1654","CAD"
"1655","STK11IP"
"1656","ZDHHC22"
"1657","HSD17B7P2"
"1658","RFTN2"
"1659","CLLU1OS"
"1660","CALML6"
"1661","ARNTL"
"1662","RPL36A"
"1663","GTF2H3"
"1664","TMEM105"
"1665","LOC440173"
"1666","SH3D21"
"1667","NUSAP1"
"1668","SALL4"
"1669","GPR180"
"1670","ZNF662"
"1671","HOXD8"
"1672","SLC2A3"
"1673","UNC93B1"
"1674","LONRF3"
"1675","TBR1"
"1676","KCTD18"
"1677","CYP7B1"
"1678","MTHFD1L"
"1679","MS4A4A"
"1680","CDK5"
"1681","STAT6"
"1682","PPP2R2C"
"1683","PRKAG1"
"1684","TDRD7"
"1685","SPRY1"
"1686","TMED1"
"1687","LOC541471"
"1688","IRF7"
"1689","OSBPL9"
"1690","GBP7"
"1691","ATP2A1"
"1692","UGT8"
"1693","ACTBL2"
"1694","SLC9B1"
"1695","TCAP"
"1696","OGDHL"
"1697","ACBD6"
"1698","RBBP4"
"1699","NUDT9"
"1700","C1orf96"
"1701","MUSTN1"
"1702","GDF11"
"1703","RABL2B"
"1704","ABCB11"
"1705","PLA2G15"
"1706","GMPPA"
"1707","ISG15"
"1708","PPBP"
"1709","DDX47"
"1710","GHR"
"1711","LIN52"
"1712","WDR90"
"1713","SPAG9"
"1714","FBXO4"
"1715","SAR1A"
"1716","ATP6V1E1"
"1717","PDE11A"
"1718","LRRC40"
"1719","SHMT2"
"1720","C8orf51"
"1721","LSM14A"
"1722","PEX16"
"1723","CRYBB3"
"1724","HBA2"
"1725","ZNF215"
"1726","DYRK2"
"1727","OOEP"
"1728","LOC283335"
"1729","POFUT2"
"1730","TH"
"1731","CPSF3"
"1732","AARS2"
"1733","S100PBP"
"1734","DDX58"
"1735","NF2"
"1736","KRT18"
"1737","MYO15B"
"1738","ZGPAT"
"1739","PSORS1C1"
"1740","TUBB8"
"1741","RPL31"
"1742","PPIF"
"1743","PHAX"
"1744","COX18"
"1745","OXGR1"
"1746","MCM7"
"1747","HP1BP3"
"1748","LOC100630923"
"1749","SERINC4"
"1750","LINGO2"
"1751","PHTF2"
"1752","C6orf89"
"1753","PCNP"
"1754","MYL4"
"1755","FCGR1C"
"1756","M1"
"1757","SEP15"
"1758","METTL24"
"1759","ZGLP1"
"1760","PCDH7"
"1761","LOC100506054"
"1762","SRCAP"
"1763","CEACAM21"
"1764","RRAGC"
"1765","OGFR"
"1766","ATP13A1"
"1767","PROSER1"
"1768","IKBKAP"
"1769","TSPAN7"
"1770","GTF2F2"
"1771","RAB31"
"1772","LOC654342"
"1773","SPDYE7P"
"1774","TSG101"
"1775","CHCHD3"
"1776","NSUN2"
"1777","N6AMT1"
"1778","EGLN3"
"1779","SLC9A6"
"1780","MRPL18"
"1781","ZNF829"
"1782","ITGB4"
"1783","KIF18B"
"1784","LRRC15"
"1785","NEFL"
"1786","TFIP11"
"1787","AGER"
"1788","SRF"
"1789","ASCC3"
"1790","CARD9"
"1791","TONSL"
"1792","APBB3"
"1793","URI1"
"1794","KRTAP4-1"
"1795","SUV420H1"
"1796","ARMC5"
"1797","SULT1C2"
"1798","LOC100506462"
"1799","LOC158257"
"1800","C20orf72"
"1801","NCAPG2"
"1802","MARS2"
"1803","POMT1"
"1804","ANGEL2"
"1805","TRIM65"
"1806","LOC645212"
"1807","LOC100133669"
"1808","POLR2J2"
"1809","LOC100131564"
"1810","C14orf118"
"1811","C6orf52"
"1812","C9orf93"
"1813","LOC100133315"
"1814","LOC170425"
"1815","OR2B6"
"1816","SPESP1"
"1817","LMCD1"
"1818","ETF1"
"1819","PSMF1"
"1820","HRH1"
"1821","RPS19"
"1822","GTPBP3"
"1823","MRPL45"
"1824","SORCS3"
"1825","PLAC4"
"1826","SPDYE8P"
"1827","OASL"
"1828","IL24"
"1829","C4orf38"
"1830","TMEM53"
"1831","SEMA7A"
"1832","RANGAP1"
"1833","CCDC18"
"1834","PCSK1N"
"1835","AGBL1"
"1836","KRT1"
"1837","C19orf51"
"1838","THAP6"
"1839","ZNF668"
"1840","KDM3A"
"1841","HEATR1"
"1842","SNORA67"
"1843","MTM1"
"1844","CCDC101"
"1845","CLCN7"
"1846","RBM48"
"1847","RNASET2"
"1848","HINT3"
"1849","POLR1B"
"1850","HOXD-AS2"
"1851","DCTN4"
"1852","LOC728228"
"1853","EPM2AIP1"
"1854","SDHD"
"1855","GRAPL"
"1856","CLCNKA"
"1857","IFT20"
"1858","QPCTL"
"1859","FAM183A"
"1860","LOC155060"
"1861","PHEX"
"1862","LINC00319"
"1863","ZMAT3"
"1864","STOML3"
"1865","ZNF485"
"1866","NUDT16P1"
"1867","CENPI"
"1868","FAM200B"
"1869","LILRP2"
"1870","NR3C1"
"1871","KCTD21"
"1872","C5orf39"
"1873","NDUFA3"
"1874","KHK"
"1875","ATP2C1"
"1876","LOC100287722"
"1877","MLH1"
"1878","NVL"
"1879","ZNF143"
"1880","NUPL2"
"1881","GSR"
"1882","RNPEPL1"
"1883","GALNTL2"
"1884","FAM161B"
"1885","ATP1A1"
"1886","LOC100630918"
"1887","INTS1"
"1888","TMEM132D"
"1889","COQ7"
"1890","LRRC14"
"1891","NR1H2"
"1892","JPH3"
"1893","CDCA3"
"1894","IARS"
"1895","LOC401463"
"1896","EIF4EBP2"
"1897","SLC35B3"
"1898","UPK3BL"
"1899","ALDH3A2"
"1900","GFI1"
"1901","HMSD"
"1902","KCNRG"
"1903","LOC100289019"
"1904","SMPDL3A"
"1905","EXO1"
"1906","NDNL2"
"1907","GPR37L1"
"1908","LASP1"
"1909","LOC100288842"
"1910","C19orf25"
"1911","C11orf21"
"1912","PBXIP1"
"1913","GMEB1"
"1914","C9orf53"
"1915","OSGEP"
"1916","RAD50"
"1917","IFRD1"
"1918","HDC"
"1919","C1GALT1C1"
"1920","SSB"
"1921","FCRL3"
"1922","LPHN2"
"1923","PLCH2"
"1924","ZC3H14"
"1925","FLVCR1"
"1926","FBXL19-AS1"
"1927","TIMM9"
"1928","TAS2R14"
"1929","ZNF717"
"1930","WDR38"
"1931","RPA4"
"1932","MICU1"
"1933","NRGN"
"1934","FAM116A"
"1935","PLXNB2"
"1936","SLC26A9"
"1937","ROS1"
"1938","WDR24"
"1939","VWA5B2"
"1940","TP53BP2"
"1941","WASH7P"
"1942","MBIP"
"1943","LOC100286793"
"1944","MAP2K5"
"1945","LOC646762"
"1946","DPP7"
"1947","ILDR1"
"1948","WDR66"
"1949","BRF1"
"1950","BTBD2"
"1951","LINGO4"
"1952","RNFT2"
"1953","ARFIP2"
"1954","PDE3B"
"1955","QSER1"
"1956","OSBPL8"
"1957","SUGT1"
"1958","HLA-E"
"1959","RFX7"
"1960","SYNJ1"
"1961","SOCS3"
"1962","FTCD"
"1963","SLC25A38"
"1964","FTL"
"1965","APOO"
"1966","PUM1"
"1967","HEXA"
"1968","ZNF595"
"1969","ERGIC1"
"1970","USP15"
"1971","SNHG12"
"1972","RIBC1"
"1973","NUP210"
"1974","RHBDL1"
"1975","TLE3"
"1976","KIAA1432"
"1977","MYNN"
"1978","NUP54"
"1979","GLOD4"
"1980","TMED2"
"1981","EEF1D"
"1982","SNRPB2"
"1983","LOC100507537"
"1984","DHX9"
"1985","INPP5A"
"1986","HAR1B"
"1987","DNM2"
"1988","GPAM"
"1989","ANKHD1-EIF4EBP3"
"1990","PRR11"
"1991","PSMD14"
"1992","JUN"
"1993","IRF9"
"1994","TMEM215"
"1995","GBP1"
"1996","TRIM37"
"1997","TXLNG"
"1998","VPREB3"
"1999","COLEC11"
"2000","C19orf55"
"2001","ZNF544"
"2002","PCDHGA5"
"2003","SYN3"
"2004","SLC39A6"
"2005","OSBPL7"
"2006","GAB1"
"2007","APOE"
"2008","TPTE2P3"
"2009","PTGR1"
"2010","P2RY6"
"2011","IPO4"
"2012","MYH16"
"2013","CTXN3"
"2014","TASP1"
"2015","PLRG1"
"2016","SLC15A3"
"2017","LOC100505761"
"2018","NUP88"
"2019","ABCB5"
"2020","FTSJ3"
"2021","TGM7"
"2022","CNOT8"
"2023","LINC00174"
"2024","MAN1B1"
"2025","MED10"
"2026","ATP10D"
"2027","SRRM5"
"2028","PM20D1"
"2029","ELFN1"
"2030","KISS1"
"2031","NAB1"
"2032","C7orf49"
"2033","DTX2"
"2034","NAA10"
"2035","MAX"
"2036","PNPT1"
"2037","MLF2"
"2038","LOC148413"
"2039","SLC25A36"
"2040","NSL1"
"2041","SPATA25"
"2042","PROCA1"
"2043","GRPR"
"2044","ABHD1"
"2045","C22orf32"
"2046","C9orf125"
"2047","ESYT3"
"2048","PRDM6"
"2049","SNX13"
"2050","GALC"
"2051","SH3GLB2"
"2052","ATP6V1H"
"2053","SP3"
"2054","COMT"
"2055","BTRC"
"2056","UFM1"
"2057","PADI4"
"2058","SZT2"
"2059","FIZ1"
"2060","C15orf56"
"2061","TSPAN19"
"2062","PAK1"
"2063","HBP1"
"2064","MCM9"
"2065","LTK"
"2066","LOC100505738"
"2067","MYH10"
"2068","GSTO1"
"2069","EFCAB2"
"2070","ZNF567"
"2071","STATH"
"2072","ZSCAN16"
"2073","MYO3B"
"2074","VWA3B"
"2075","HSPA9"
"2076","DPCD"
"2077","SLC34A2"
"2078","LOC100130776"
"2079","ZP3"
"2080","SRP54"
"2081","PUS10"
"2082","IPO9"
"2083","GMEB2"
"2084","NELL1"
"2085","SIK1"
"2086","HSD17B3"
"2087","TNNC1"
"2088","ATG10"
"2089","HCAR3"
"2090","FAM173B"
"2091","TTC38"
"2092","DHX34"
"2093","TCHHL1"
"2094","GAPDH"
"2095","APC"
"2096","ID3"
"2097","CCNT1"
"2098","ZNF474"
"2099","ZSWIM6"
"2100","AP2A1"
"2101","PPYR1"
"2102","CBLN1"
"2103","CEP44"
"2104","ME2"
"2105","PAEP"
"2106","C22orf25"
"2107","S100A1"
"2108","XRCC5"
"2109","SOD2"
"2110","DNAJB9"
"2111","KCNS1"
"2112","LGALS3"
"2113","COX7A1"
"2114","OTUD6B"
"2115","PIH1D2"
"2116","SLC2A10"
"2117","PRDM5"
"2118","CCDC48"
"2119","ZNF317"
"2120","SETD2"
"2121","SUPT4H1"
"2122","ZNF684"
"2123","ARFGEF1"
"2124","IGLON5"
"2125","SFTA1P"
"2126","LRRC70"
"2127","ZNF267"
"2128","GFPT1"
"2129","C9orf156"
"2130","DIAPH2"
"2131","TSPAN6"
"2132","DAGLB"
"2133","GRAMD4"
"2134","CXorf40B"
"2135","AKR1D1"
"2136","TSHZ2"
"2137","FAXC"
"2138","EXOC8"
"2139","FMN1"
"2140","SCGB3A2"
"2141","POM121"
"2142","RNF115"
"2143","CA14"
"2144","LRFN3"
"2145","HOMER3"
"2146","CEP72"
"2147","LBX2"
"2148","LOC550643"
"2149","SAA2"
"2150","UBL7"
"2151","VPS53"
"2152","MRPL50"
"2153","PDE1C"
"2154","SGPP2"
"2155","CCDC86"
"2156","ZNF576"
"2157","FURIN"
"2158","ENTPD6"
"2159","GGH"
"2160","HBA1"
"2161","EMD"
"2162","LOC283693"
"2163","CA5BP1"
"2164","LOC389634"
"2165","ACCN3"
"2166","IFNGR2"
"2167","ZRANB2-AS2"
"2168","CS"
"2169","KCNMB3"
"2170","ZNF644"
"2171","CLTC"
"2172","SLFN5"
"2173","ANKRD31"
"2174","CAPN3"
"2175","PCSK6"
"2176","UHRF2"
"2177","MRPL45P2"
"2178","DYNC1I2"
"2179","ZCCHC8"
"2180","TMEM139"
"2181","PPAPDC3"
"2182","GPR98"
"2183","ALX1"
"2184","HFE2"
"2185","ILKAP"
"2186","FABP3"
"2187","SLIT1"
"2188","LOC100130872"
"2189","PSMA2"
"2190","LMO3"
"2191","LRRC47"
"2192","PTPLB"
"2193","CASKIN2"
"2194","STC1"
"2195","PDZK1"
"2196","HTR3A"
"2197","LCE2B"
"2198","BCR"
"2199","LRRC36"
"2200","HP"
"2201","KCTD13"
"2202","INPP5F"
"2203","TRIAP1"
"2204","DUSP18"
"2205","SLC6A7"
"2206","EXOSC9"
"2207","TXNRD3"
"2208","LOC100129148"
"2209","GJC3"
"2210","ABHD2"
"2211","RPL18A"
"2212","LOC541473"
"2213","FLJ41484"
"2214","NSUN5P2"
"2215","DUSP19"
"2216","KAT8"
"2217","PTCHD2"
"2218","RBBP7"
"2219","ENOSF1"
"2220","ALG8"
"2221","PTPN9"
"2222","KRBOX1"
"2223","LYRM5"
"2224","TRIM35"
"2225","PARK7"
"2226","PSD3"
"2227","LOC100507472"
"2228","OPN3"
"2229","CRKL"
"2230","COMMD6"
"2231","TECRL"
"2232","SLC5A5"
"2233","CMAHP"
"2234","AFTPH"
"2235","DIABLO"
"2236","SLC35A2"
"2237","PLAGL1"
"2238","RNF31"
"2239","PTPRA"
"2240","EMX2OS"
"2241","SLC30A2"
"2242","TFF3"
"2243","CTDNEP1"
"2244","ACP2"
"2245","ANKRD36B"
"2246","TRIP13"
"2247","C6orf99"
"2248","TTI1"
"2249","YIPF6"
"2250","FIP1L1"
"2251","EYA2"
"2252","HDAC5"
"2253","MRPS14"
"2254","TMEM200B"
"2255","ZC3HAV1"
"2256","FAM153A"
"2257","GMPR2"
"2258","LOC284998"
"2259","SEMA4G"
"2260","LCE3A"
"2261","CYLD"
"2262","SLC27A3"
"2263","RPL23A"
"2264","YARS2"
"2265","WIZ"
"2266","MKI67"
"2267","RTEL1"
"2268","C9orf123"
"2269","RSPH1"
"2270","BIRC7"
"2271","IMPACT"
"2272","CENPM"
"2273","ALG5"
"2274","ZFP57"
"2275","RBM44"
"2276","AHCY"
"2277","PFN4"
"2278","SEPT9"
"2279","FAM173A"
"2280","ARHGEF26-AS1"
"2281","NPAS4"
"2282","RPLP0"
"2283","LOC100132526"
"2284","KIAA1704"
"2285","TSPAN14"
"2286","LOC339240"
"2287","B4GALT1"
"2288","CHIC1"
"2289","C11orf88"
"2290","TCERG1"
"2291","ERICH1"
"2292","ZNF837"
"2293","NEK4"
"2294","RCOR3"
"2295","RXRA"
"2296","ZFP36L1"
"2297","IFNK"
"2298","TRAPPC12"
"2299","PTPRF"
"2300","ZDHHC23"
"2301","FNDC5"
"2302","ZNF263"
"2303","POLRMT"
"2304","ERP29"
"2305","NADKD1"
"2306","KCTD1"
"2307","FLJ42709"
"2308","DDX43"
"2309","UBE2L3"
"2310","CAPN7"
"2311","RPS13"
"2312","SCAND2"
"2313","NAPG"
"2314","RBM14-RBM4"
"2315","EIF3H"
"2316","NAA30"
"2317","RASSF1"
"2318","TRMT5"
"2319","STAG1"
"2320","TIMP4"
"2321","ECT2L"
"2322","CTNNBL1"
"2323","HPS4"
"2324","TARS"
"2325","LYSMD1"
"2326","CATSPERG"
"2327","LOC654433"
"2328","EPHA6"
"2329","SLC9B2"
"2330","CDK11B"
"2331","AGA"
"2332","RTKN"
"2333","GCNT3"
"2334","PLEKHG2"
"2335","TRAPPC2P1"
"2336","MRC2"
"2337","C4orf32"
"2338","LOC728537"
"2339","NOL9"
"2340","SEC24C"
"2341","SEC23IP"
"2342","ANKMY1"
"2343","AZGP1P1"
"2344","TARDBP"
"2345","ITPKA"
"2346","DKFZP564C196"
"2347","ABCF2"
"2348","NARG2"
"2349","ANKRD24"
"2350","BEX5"
"2351","SAYSD1"
"2352","KCNG1"
"2353","CNOT7"
"2354","ST3GAL1"
"2355","HNRNPD"
"2356","MBNL1"
"2357","BEND4"
"2358","PRSS30P"
"2359","ARVCF"
"2360","DNASE1L2"
"2361","UCN3"
"2362","PXMP2"
"2363","STMN1"
"2364","ANKRD45"
"2365","PARP12"
"2366","DSN1"
"2367","COBL"
"2368","CACNA1B"
"2369","CACNG8"
"2370","CHPF"
"2371","WDR46"
"2372","ORM1"
"2373","STXBP5L"
"2374","DYNLRB1"
"2375","DUSP1"
"2376","SPDYE3"
"2377","ZDHHC21"
"2378","TMEM192"
"2379","C12orf66"
"2380","FAM166A"
"2381","HNRNPH3"
"2382","EPB49"
"2383","NPTX2"
"2384","TMSB4X"
"2385","CYP26A1"
"2386","TFAP4"
"2387","SERTAD3"
"2388","LOC338758"
"2389","CNGA3"
"2390","GPR137B"
"2391","CES5A"
"2392","ATAD2B"
"2393","CDC25A"
"2394","WASF1"
"2395","LOC285629"
"2396","INA"
"2397","TUBB1"
"2398","ARL6IP6"
"2399","COBRA1"
"2400","FAM21B"
"2401","MAD1L1"
"2402","P4HA3"
"2403","SENP8"
"2404","ANKRD36BP1"
"2405","C9orf114"
"2406","NPPA-AS1"
"2407","C13orf15"
"2408","LAMA5"
"2409","SMOX"
"2410","MATL2963"
"2411","POM121C"
"2412","CASC5"
"2413","ZHX1-C8ORF76"
"2414","C11orf80"
"2415","DTX1"
"2416","KEAP1"
"2417","LRRC46"
"2418","FAM86EP"
"2419","LOC100652768"
"2420","YWHAE"
"2421","GLRA3"
"2422","RPL13A"
"2423","C19orf54"
"2424","RPL32P3"
"2425","H2AFV"
"2426","ZNRF2P1"
"2427","LOC100287616"
"2428","RGS10"
"2429","PCNXL3"
"2430","C14orf21"
"2431","MRPL23"
"2432","RBCK1"
"2433","EIF3A"
"2434","ATG4A"
"2435","MITD1"
"2436","UBXN11"
"2437","KRCC1"
"2438","STK40"
"2439","ATP5A1"
"2440","PRDX2"
"2441","PSMC2"
"2442","ANKRD20A9P"
"2443","POU6F2"
"2444","CNTN1"
"2445","UBN1"
"2446","SLFN14"
"2447","ARRDC2"
"2448","GNA13"
"2449","MBD1"
"2450","ZNF622"
"2451","TMEM126B"
"2452","SCFD1"
"2453","TMEM191A"
"2454","RGNEF"
"2455","SRSF1"
"2456","CNOT3"
"2457","FAM86HP"
"2458","GIGYF1"
"2459","AGTR1"
"2460","PFDN5"
"2461","RNF175"
"2462","LARS2"
"2463","TAF10"
"2464","DHRS7"
"2465","NKRF"
"2466","NBL1"
"2467","EIF1"
"2468","MED9"
"2469","SYVN1"
"2470","IGFBP2"
"2471","THRAP3"
"2472","C1QTNF3"
"2473","SREK1IP1"
"2474","MRPL15"
"2475","ZER1"
"2476","HERC4"
"2477","TIAL1"
"2478","RB1"
"2479","NGLY1"
"2480","TST"
"2481","CTBP1"
"2482","PCDHA10"
"2483","KRT33A"
"2484","HIST1H2AK"
"2485","FAM98B"
"2486","CTNNA1"
"2487","C14orf93"
"2488","MCMBP"
"2489","INTS9"
"2490","CYB5A"
"2491","ARHGAP4"
"2492","ABR"
"2493","PIP5KL1"
"2494","ERGIC3"
"2495","KIAA0825"
"2496","ERBB2"
"2497","SEPP1"
"2498","SYCP2"
"2499","INTS8"
"2500","C16orf59"
"2501","CFB"
"2502","HIATL2"
"2503","KIAA0391"
"2504","C17orf56"
"2505","MRVI1-AS1"
"2506","FER"
"2507","SARNP"
"2508","KLF9"
"2509","C10orf11"
"2510","ARHGEF26"
"2511","SNORA25"
"2512","LRRC10B"
"2513","EPS15L1"
"2514","NPIPL3"
"2515","PPP1R1A"
"2516","GABARAPL1"
"2517","LRRC23"
"2518","ELAC2"
"2519","NMNAT1"
"2520","TOMM34"
"2521","CBX1"
"2522","ZNF839"
"2523","MAEA"
"2524","PSMB10"
"2525","C1QTNF9B"
"2526","PRKX"
"2527","USP12"
"2528","SNORA70"
"2529","C10orf35"
"2530","RNF213"
"2531","CFH"
"2532","ZNF808"
"2533","CA3"
"2534","ESF1"
"2535","HECTD1"
"2536","SOAT2"
"2537","LOC100132832"
"2538","PSAPL1"
"2539","OR13A1"
"2540","POLR1E"
"2541","SLC10A5"
"2542","OSCP1"
"2543","C10orf46"
"2544","ANKRD32"
"2545","ZCCHC4"
"2546","DVL2"
"2547","MAPK9"
"2548","FOXN2"
"2549","CBWD1"
"2550","KIAA1244"
"2551","TMEM129"
"2552","PORCN"
"2553","FOLR3"
"2554","KLHL35"
"2555","MBL1P"
"2556","ARID1A"
"2557","LOC646214"
"2558","DENND4C"
"2559","TAF4"
"2560","KRT79"
"2561","MAB21L2"
"2562","TFDP3"
"2563","MAP4K3"
"2564","ARFRP1"
"2565","SNTN"
"2566","PSORS1C3"
"2567","ANG"
"2568","U2AF1L4"
"2569","IWS1"
"2570","CCDC75"
"2571","BRD1"
"2572","LOC100507173"
"2573","PHB2"
"2574","GPR108"
"2575","SIRT6"
"2576","PLEKHG7"
"2577","HEATR5A"
"2578","AGAP3"
"2579","PTRH1"
"2580","CASQ1"
"2581","ACVR1C"
"2582","PLEKHD1"
"2583","CLSPN"
"2584","CHERP"
"2585","COL6A5"
"2586","IRX4"
"2587","EID2"
"2588","STRC"
"2589","ZNF468"
"2590","DNAJB12"
"2591","TMEM61"
"2592","LOC100505876"
"2593","SCYL3"
"2594","RHBDD3"
"2595","RECQL4"
"2596","C9orf131"
"2597","PPARG"
"2598","NAF1"
"2599","PAICS"
"2600","ZRANB1"
"2601","GOLGB1"
"2602","CHEK2"
"2603","PPT2"
"2604","LOC100507218"
"2605","ATG12"
"2606","TMEM50A"
"2607","ANO5"
"2608","LRIG1"
"2609","TXNL4A"
"2610","CDHR5"
"2611","VMAC"
"2612","KIF1B"
"2613","AIP"
"2614","MUC7"
"2615","PLEKHG6"
"2616","KIAA0513"
"2617","MAF1"
"2618","CTNND2"
"2619","ERGIC2"
"2620","ELP4"
"2621","IL17RD"
"2622","CCT4"
"2623","LOC400655"
"2624","GPR128"
"2625","ABHD10"
"2626","ONECUT2"
