"","x"
"320","TPX2"
"321","ZNF587B"
"322","CAMKK1"
"323","LINC00239"
"324","MSI2"
"325","TRIM9"
"326","EEF1B2"
"327","TSPAN12"
"328","NCF2"
"329","LOC283663"
"330","PCSK7"
"331","SEC23B"
"332","OXA1L"
"333","DCLRE1A"
"334","ARHGAP11B"
"335","HOXA7"
"336","IQGAP1"
"337","MPDU1"
"338","CMTM8"
"339","PCDHB19P"
"340","LINC00476"
"341","RTN4RL2"
"342","GTF2H4"
"343","AGBL5"
"344","CUL4A"
"345","TRIM25"
"346","HNRPDL"
"347","MLLT4"
"348","RNF6"
"349","UNC13C"
"350","ERCC4"
"351","SHD"
"352","HIF1AN"
"353","IFI27L2"
"354","USP16"
"355","METTL13"
"356","TBP"
"357","RASGRF1"
"358","NECAP1"
"359","RBM14"
"360","NEU4"
"361","XPO1"
"362","POP4"
"363","FANCG"
"364","SCLY"
"365","CGGBP1"
"366","PPP5C"
"367","ARSJ"
"368","COMMD1"
"369","UNC45B"
"370","SMAD2"
"371","TAF7L"
"372","CN5H6.4"
"373","USP24"
"374","MRPS2"
"375","C9orf37"
"376","GALNT9"
"377","KIAA0564"
"378","FKBP6"
"379","PIGQ"
"380","ERAL1"
"381","ABCA11P"
"382","EME2"
"383","NRN1"
"384","CDC23"
"385","LOC100129917"
"386","NR1H3"
"387","JKAMP"
"388","FAM208A"
"389","SPAG16"
"390","KIAA0528"
"391","EXOC3L1"
"392","TMEM8A"
"393","FBXO48"
"394","CDKAL1"
"395","SNAP29"
"396","COL24A1"
"397","WDR89"
"398","TMEM107"
"399","NEK7"
"400","CDH15"
"401","ZNF17"
"402","RRP12"
"403","CHIT1"
"404","ABHD15"
"405","UFSP2"
"406","C2orf54"
"407","TNFRSF12A"
"408","TRIM59"
"409","LRRC26"
"410","LOC80054"
"411","MYZAP"
"412","ZYX"
"413","GPR75"
"414","HCG4B"
"415","FAM185A"
"416","TSNAXIP1"
"417","ZNF764"
"418","DDRGK1"
"419","FLJ16779"
"420","NDUFA9"
"421","MDH1"
"422","MRFAP1L1"
"423","MFSD8"
"424","HPCAL1"
"425","STK36"
"426","C1orf220"
"427","PIK3C2G"
"428","ANLN"
"429","PRKG2"
"430","SNX6"
"431","REXO4"
"432","LOC283177"
"433","UHMK1"
"434","RHPN1"
"435","DMRTA1"
"436","RBM4B"
"437","STT3B"
"438","CDC42EP2"
"439","FAM120AOS"
"440","KHDC1L"
"441","CEP63"
"442","SAT2"
"443","IZUMO4"
"444","C10orf71"
"445","CDR1"
"446","SCARA3"
"447","SQSTM1"
"448","CCDC53"
"449","NOC3L"
"450","SGOL2"
"451","TSSK6"
"452","C20orf29"
"453","PEA15"
"454","PNKP"
"455","DUSP28"
"456","RPL37"
"457","LOC100288911"
"458","TELO2"
"459","PAGE2"
"460","ProSAPiP1"
"461","ACO1"
"462","SLC1A3"
"463","SEPT7"
"464","WNT5A"
"465","ANKRD22"
"466","LOC100288181"
"467","MIIP"
"468","TRPS1"
"469","CD151"
"470","PRDX4"
"471","C20orf43"
"472","TTPAL"
"473","EMX2"
"474","KRT8"
"475","ABCC11"
"476","NPHP3"
"477","LMF2"
"478","ZNF578"
"479","GPM6A"
"480","PPFIBP1"
"481","TROAP"
"482","RLTPR"
"483","TPGS1"
"484","POU5F1P3"
"485","SLC35A5"
"486","ZNF138"
"487","AGAP6"
"488","TTLL11"
"489","RNFT1"
"490","USP7"
"491","NAA40"
"492","KRT19"
"493","RPL27"
"494","CASP12"
"495","TGFB1"
"496","SKA1"
"497","LOC100506963"
"498","NARF"
"499","PRPF19"
"500","SPIN4"
"501","RNF146"
"502","LUZP2"
"503","GUSBP2"
"504","ACTR1A"
"505","LOC100129550"
"506","PCDHB4"
"507","WDR36"
"508","N6AMT2"
"509","GDNF"
"510","DGKB"
"511","C17orf53"
"512","AADAT"
"513","CNNM2"
"514","LOC391322"
"515","MT1M"
"516","NCOA2"
"517","METTL14"
"518","CRCP"
"519","AKT2"
"520","SPATA18"
"521","PSMC6"
"522","APOL2"
"523","GPR143"
"524","PSMA3"
"525","PDE4C"
"526","MYL2"
"527","LOC100506686"
"528","GUSBP11"
"529","LOC254099"
"530","ALDH7A1"
"531","SAP18"
"532","ZMAT5"
"533","PCCA"
"534","TLX1"
"535","C15orf37"
"536","TARBP2"
"537","TSPAN3"
"538","MTHFS"
"539","MSLNL"
"540","GPRIN2"
"541","CXXC1"
"542","YEATS4"
"543","SPOCK3"
"544","ZNF528"
"545","HTR7"
"546","LOC339524"
"547","CCDC36"
"548","SIGLEC1"
"549","ARAF"
"550","PET112"
"551","GNL1"
"552","SMTN"
"553","TRIM27"
"554","ZNF425"
"555","SLC35D2"
"556","TSPYL1"
"557","C6orf115"
"558","AQP7P3"
"559","DKFZP686I15217"
"560","C9orf117"
"561","ZNF107"
"562","PCDHGA6"
"563","C22orf43"
"564","ARRDC3"
"565","WDR43"
"566","SGK196"
"567","CHKB-CPT1B"
"568","RBBP6"
"569","SPC24"
"570","OAS2"
"571","TTC24"
"572","LOC441455"
"573","C12orf52"
"574","GSTA1"
"575","TREML1"
"576","LOC553103"
"577","MUC13"
"578","KLK2"
"579","PTK7"
"580","KIF20A"
"581","RPL22"
"582","TPMT"
"583","CYP2A7"
"584","FBXO39"
"585","PPME1"
"586","KRT40"
"587","PCSK9"
"588","UBTD2"
"589","PPT1"
"590","CAB39"
"591","PMS2P4"
"592","PMS2P5"
"593","GTSF1L"
"594","PIP"
"595","GADD45B"
"596","SH3BP5L"
"597","OVCH2"
"598","TLR3"
"599","CXXC5"
"600","FLJ27352"
"601","DNAJB6"
"602","TTC23"
"603","TMEM170B"
"604","RAD51AP1"
"605","THPO"
"606","MAGEA10"
"607","CST4"
"608","ARHGEF38"
"609","ITSN2"
"610","GJB4"
"611","TFB1M"
"612","CP"
"613","SWAP70"
"614","LOC100506385"
"615","LOC728978"
"616","DUSP3"
"617","VANGL1"
"618","SPIN2B"
"619","PITX3"
"620","LIPA"
"621","KIAA0141"
"622","CCL26"
"623","NUCB1"
"624","FAM86FP"
"625","USP38"
"626","DIS3"
"627","ZNF512B"
"628","XRCC6BP1"
"629","BSCL2"
"630","PPP1R12C"
"631","PCNT"
"632","U2AF2"
"633","LRCH3"
"634","XKR6"
"635","LOC147646"
"636","STRN4"
"637","CCDC34"
"638","FTO"
"639","KCNE3"
"640","PIR"
"641","TMEM125"
"642","SMC4"
"643","RASSF3"
"644","STMN2"
"645","HHATL"
"646","COPG2"
"647","C16orf90"
"648","SH2D3A"
"649","SOCS6"
"650","GREB1L"
"651","HBE1"
"652","LHX2"
"653","SKOR1"
"654","RPS25"
"655","PDIA3"
"656","NUDC"
"657","C19orf60"
"658","MAFG"
"659","LOC730227"
"660","ZW10"
"661","C3orf17"
"662","LEMD1"
"663","LRRN3"
"664","MED12L"
"665","ZDBF2"
"666","PDCL"
"667","TIAF1"
"668","FBXO6"
"669","PAAF1"
"670","FCER2"
"671","PPM1H"
"672","TMEM179B"
"673","PELI3"
"674","RIMS1"
"675","CCL22"
"676","CNOT4"
"677","RAB6B"
"678","KIR3DL2"
"679","ATL1"
"680","PPP3CA"
"681","MAPK1IP1L"
"682","LHFPL1"
"683","ATP6V0E2"
"684","CCDC136"
"685","ACSM1"
"686","ZNF83"
"687","PCDHB16"
"688","RBM18"
"689","DNASE2"
"690","SOCS7"
"691","TMF1"
"692","LRIF1"
"693","DGCR14"
"694","PIGH"
"695","LOC145783"
"696","NSUN6"
"697","EGR1"
"698","FAM127B"
"699","SERPINA3"
"700","RASL11A"
"701","PCLO"
"702","FBXO32"
"703","XRCC6"
"704","EIF4E2"
"705","RPS27A"
"706","CCL27"
"707","SEMG2"
"708","EDIL3"
"709","ZNF761"
"710","MYOT"
"711","ODF3B"
"712","MSH5-SAPCD1"
"713","FLJ37035"
"714","ITIH4"
"715","GLT25D1"
"716","LRRC37A3"
"717","HELQ"
"718","MPND"
"719","WHAMMP2"
"720","FDPSL2A"
"721","TECPR1"
"722","TMEM71"
"723","EIF3B"
"724","MAGEL2"
"725","DMRT1"
"726","IDH2"
"727","LARP4"
"728","ARHGEF1"
"729","CXCL5"
"730","UBA7"
"731","ZNF345"
"732","ZNF395"
"733","KAT5"
"734","CDC73"
"735","GAK"
"736","EPB41L3"
"737","MYO18A"
"738","NCF1B"
"739","ZFAND6"
"740","CDHR1"
"741","EIF1AY"
"742","SLC40A1"
"743","TOB2P1"
"744","OBFC1"
"745","NUP62CL"
"746","MLK7-AS1"
"747","NRBP2"
"748","BDH2"
"749","CD276"
"750","ARC"
"751","ST20"
"752","ALYREF"
"753","ADAR"
"754","ODF2"
"755","DUSP2"
"756","ACP5"
"757","DPH3"
"758","SETMAR"
"759","MGC70870"
"760","FOPNL"
"761","GOLGA2P5"
"762","SPRY2"
"763","OGFOD2"
"764","SF3B1"
"765","BIRC5"
"766","NUDT16L1"
"767","SPHK2"
"768","MGC39584"
"769","GMCL1"
"770","GNB1"
"771","LOC100288615"
"772","MESP1"
"773","UCK1"
"774","WSB1"
"775","C3orf80"
"776","TMEM14C"
"777","PTPRS"
"778","FER1L4"
"779","LUC7L2"
"780","FUBP3"
"781","PLEKHA8P1"
"782","FZD5"
"783","HSCB"
"784","TAMM41"
"785","THAP10"
"786","CENPE"
"787","NEUROD2"
"788","SMG1"
"789","SFPQ"
"790","LOC100130000"
"791","C4orf29"
"792","PTPRK"
"793","TTC9C"
"794","PRKY"
"795","GPR89B"
"796","LOC144481"
"797","KDM5D"
"798","UBE2D1"
"799","C9orf89"
"800","LINC00478"
"801","EAF2"
"802","ARPM1"
"803","CKMT2"
"804","CNTNAP3B"
"805","C14orf102"
"806","TEKT5"
"807","LOR"
"808","PCDHA6"
"809","HNRNPU"
"810","IPO13"
"811","IFI44L"
"812","LOC100129361"
"813","PPP1CC"
"814","TRIML2"
"815","WFDC3"
"816","CHEK2P2"
"817","BMP4"
"818","GRM2"
"819","PYCR2"
"820","S1PR4"
"821","LOC729683"
"822","IFT140"
"823","PPIH"
"824","GAL3ST2"
"825","NOXRED1"
"826","ADCK3"
"827","KLHL20"
"828","C17orf62"
"829","SKP2"
"830","MEST"
"831","EXD2"
"832","SMC1B"
"833","THRSP"
"834","DCTN3"
"835","FXYD5"
"836","ATG9A"
"837","SCG5"
"838","ASPSCR1"
"839","RRN3"
"840","RPS12"
"841","ALG2"
"842","CPA3"
"843","CENPQ"
"844","HLA-H"
"845","VRK3"
"846","SULT4A1"
"847","KIAA0319"
"848","TCF19"
"849","ALDH9A1"
"850","RECQL5"
"851","STAG3L4"
"852","SCN3A"
"853","ELAVL2"
"854","EFCAB1"
"855","PRINS"
"856","PCDHGA8"
"857","MTERFD2"
"858","MALT1"
"859","TSC1"
"860","PREP"
"861","E2F1"
"862","RGPD1"
"863","PSPH"
"864","LOC100506178"
"865","ABHD8"
"866","RPS8"
"867","PDIA5"
"868","ALK"
"869","RARS2"
"870","SAGE1"
"871","GLE1"
"872","LRWD1"
"873","IFNE"
"874","LOC387646"
"875","CACNG6"
"876","BMPR1B"
"877","CYP26C1"
"878","PSTK"
"879","DYNC1H1"
"880","CDH24"
"881","EPHX1"
"882","CEP250"
"883","SARS2"
"884","METTL2B"
"885","TMEM63B"
"886","CR1"
"887","ZFAND5"
"888","SRGAP2"
"889","KRT20"
"890","SIDT1"
"891","DNAJC25"
"892","C1orf51"
"893","LTV1"
"894","SF3B5"
"895","CD69"
"896","LOC100506649"
"897","TUBB"
"898","PPA1"
"899","SSTR1"
"900","MYLPF"
"901","MST1R"
"902","ADCY3"
"903","LINC00324"
"904","IFT172"
"905","SHISA4"
"906","SLC35E3"
"907","JUNB"
"908","RPL11"
"909","KIAA2026"
"910","SUMF2"
"911","ALKBH5"
"912","DDX41"
"913","LOC201651"
"914","LRRC37A2"
"915","PAM"
"916","NUDT14"
"917","MTCP1"
"918","UBA5"
"919","WBP5"
"920","TBL2"
"921","NME2"
"922","PARS2"
"923","FCRLB"
"924","AASS"
"925","DOLK"
"926","SON"
"927","FADS2"
"928","SRCRB4D"
"929","ALG1L2"
"930","TEP1"
"931","LOC145474"
"932","CEBPA"
"933","RIMS2"
"934","MAN2C1"
"935","CPA2"
"936","MNX1"
"937","PYY2"
"938","ZNF446"
"939","LPPR5"
"940","EAPP"
"941","TRIM26"
"942","B3GALT5"
"943","TSIX"
"944","DDX21"
"945","ANKRD34C"
"946","NRIP1"
"947","PAF1"
"948","RAB24"
"949","AGAP8"
"950","ESCO2"
"951","HOXD13"
"952","C8orf47"
"953","LIN9"
"954","SNHG8"
"955","ALG11"
"956","LRRC8B"
"957","LDLRAP1"
"958","INTS4"
"959","KCNIP4"
"960","LCE1B"
"961","PCDHA7"
"962","PRIMA1"
"963","LOC100507634"
"964","CCK"
