"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count","X2536.KZ.17.FS.count","X2536.KZ.18.FS.count","X2536.KZ.23.FS.count","X2536.KZ.25.FS.count","X2536.KZ.28.FS.count","X2536.KZ.33.FS.count","X2536.KZ.34.FS.count","X2536.KZ.4.FS.count","X2536.KZ.7.FS.count"
"WDR81",842,973,1071,812,267,485,857,914,1061,1061,762,1406,1240
"WDR82",2724,4057,1955,1181,2743,799,1847,2036,2872,3341,3336,2142,2930
"WDR83",20,44,9,7,15,16,21,17,40,22,50,36,21
"WDR83OS",3,4,0,4,5,7,8,2,2,0,8,11,1
"WDR86",61,25,39,65,26,34,37,87,14,8,17,40,11
"WDR86-AS1",7,8,16,4,6,12,3,3,5,6,10,6,6
"WDR87",7,12,2,41,61,123,5,2,15,21,8,36,6
"WDR88",0,2,1,6,7,2,0,2,1,3,4,6,2
"WDR89",212,240,295,190,148,92,373,323,152,327,240,209,261
"WDR90",2460,1961,663,424,1277,793,1204,649,1350,1160,2067,3261,1058
"WDR91",1927,1306,974,503,450,481,1482,727,1243,712,852,1236,1762
"WDR93",11,4,6,31,14,15,2,14,8,11,3,3,4
"WDR97",158,235,97,114,263,214,126,182,236,885,264,640,372
"WDSUB1",150,184,92,67,83,91,194,92,118,109,163,223,102
"WDTC1",1383,3105,1520,1579,898,910,1265,2245,2718,1631,2090,804,2237
"WEE1",2208,20090,2928,1330,3343,1394,4860,2315,9432,3784,9361,4593,4094
"WEE2",6,0,3,9,19,14,4,3,6,0,7,2,1
"WEE2-AS1",162,61,119,36,40,137,50,37,75,44,33,68,245
"WFDC1",26,31,29,67,80,68,16,80,24,35,30,23,28
"WFDC10A",0,0,0,2,0,5,0,0,0,0,0,0,1
"WFDC10B",2,2,0,0,0,2,0,0,1,0,0,0,0
"WFDC11",0,0,0,0,0,0,0,0,0,0,0,1,1
"WFDC12",0,8,0,33,14,4,0,10,0,0,2,9,0
"WFDC13",0,0,0,1,3,7,0,0,1,2,1,0,2
"WFDC2",103,6,541,3,119,49,8,2,36,17,8,21,351
"WFDC21P",208,25,130,8,463,13,15,11,51,104,390,6,38
"WFDC3",4,17,11,6,18,12,9,1,6,1,3,15,6
"WFDC5",24,29,237,84,196,35,61,92,35,12,94,76,61
"WFDC6",1,0,0,0,1,1,0,0,0,0,0,0,3
"WFDC8",0,0,0,4,5,4,0,0,0,2,2,0,4
"WFDC9",0,0,0,0,0,0,0,0,0,0,0,0,0
"WFIKKN1",239,117,55,37,134,82,248,19,59,82,54,277,175
"WFIKKN2",4,0,3,18,26,37,9,0,6,8,7,70,9
"WFS1",309,428,216,195,118,123,195,263,227,211,297,1049,181
"WHAMM",486,371,309,173,487,123,372,221,531,420,488,411,434
"WHRN",293,1479,664,785,444,416,1446,1114,405,1850,671,1971,1134
"WHSC1L2P",6,14,12,11,21,31,6,0,18,5,3,8,17
"WIF1",2,0,3,5,85,10,0,0,2,3,5,4,5
"WIPF1",2406,4425,6295,949,687,693,2947,1624,2733,2518,3535,991,2075
"WIPF2",1714,1961,1491,2078,1678,727,1406,3311,2071,2020,1841,2436,1459
"WIPF3",167,185,177,165,179,155,929,291,148,206,205,630,815
"WIPI1",459,474,314,484,412,116,315,869,364,421,367,2030,317
"WIPI2",1137,1444,856,838,554,490,842,1358,702,1152,1385,1601,1406
"WIZ",1505,1726,938,1274,982,469,754,1925,1434,1391,2271,2188,1389
"WLS",702,584,185,307,739,23,461,583,638,408,279,1747,380
"WNK1",8815,19275,10695,13071,7229,3069,8092,21348,10468,15798,12864,18201,9511
"WNK2",640,687,2584,446,2911,4211,1780,610,1016,1472,1432,4080,9587
"WNK3",220,642,155,48,412,279,817,46,376,539,521,104,819
"WNK4",92,128,11,11,154,29,2,30,547,507,668,31,4
"WNT1",5,8,12,2,6,10,3,3,1,2,13,28,18
"WNT10A",1878,191,206,393,52,470,64,648,30,59,59,237,692
"WNT10B",50,41,99,6,34,57,53,14,55,56,32,161,443
"WNT11",7,3,3,63,5,19,7,64,15,29,0,48,29
"WNT16",13,0,14,15,12,30,10,0,14,14,11,5,298
"WNT2",116,41,9,53,33,40,25,68,18,66,10,160,17
"WNT2B",2117,705,1026,343,1999,353,335,444,4501,4593,6389,17067,298
"WNT3",194,39,39,126,37,45,67,185,27,145,40,200,15
"WNT3A",21,46,63,24,75,47,70,9,33,6,4,13,13
"WNT4",261,292,218,198,466,419,234,321,144,264,182,85,514
"WNT5A",1454,2171,1069,2319,2526,1968,1632,4209,2572,2356,883,2822,2986
"WNT5B",74,308,85,15,42,90,92,34,39,20,58,140,94
"WNT6",19,6,2,1,14,18,1,16,3,2,5,12,30
"WNT7A",5,11,34,104,41,46,2,168,12,24,8,112,9
"WNT7B",787,445,376,522,751,395,572,701,843,556,678,1624,1106
"WNT8A",4,1,0,4,10,12,0,0,0,3,0,3,5
"WNT8B",4,0,0,4,6,9,2,0,1,17,1,137,3
"WNT9A",194,259,110,304,338,49,64,516,469,186,351,134,51
"WNT9B",3,4,4,25,26,71,13,11,6,30,5,9,3
"WRAP53",100,180,93,118,67,97,51,122,142,98,140,168,108
"WRAP73",545,773,532,292,139,399,626,420,334,550,695,427,745
"WRN",1074,1068,626,468,555,378,873,877,671,822,808,1005,1257
"WRNIP1",443,584,279,266,440,101,392,357,638,433,566,415,643
"WSB1",3317,3260,3944,3229,2760,967,3768,5807,2471,2715,2915,4004,2903
"WSB2",1153,1062,773,654,1021,419,1018,854,1403,914,1154,1342,1377
"WSCD1",39,7,58,20,18,115,242,4,24,17,5,41,103
"WSCD2",97,2,9,24,421,49,82,26,9,13,5,16,3
"WSPAR",0,0,0,3,4,1,0,0,1,0,1,0,0
"WT1",6,15,0,21,40,64,6,5,5,9,8,7,5
"WT1-AS",6,4,3,0,26,45,10,1,8,7,5,4,6
"WTAP",2309,2254,1888,2064,1628,416,2479,3334,2707,1374,2670,2477,2861
"WTAPP1",53,24,36,55,16,27,84,58,36,19,28,105,17
"WTIP",219,171,261,507,116,253,586,741,211,134,112,586,1348
"WWC1",262,279,635,755,604,192,157,1148,614,601,387,727,687
"WWC2",1127,572,368,1319,164,98,679,2255,170,282,368,541,528
"WWC2-AS1",0,0,0,2,0,2,3,2,0,0,0,0,0
"WWC2-AS2",25,4,6,9,15,22,14,18,1,0,5,10,9
"WWC3",1436,1787,1554,1118,898,582,1257,1674,2140,2210,945,1350,1405
"WWOX",288,340,286,139,227,131,437,198,627,271,217,442,261
"WWP1",1999,2073,1383,839,1557,601,857,1390,1197,981,1640,768,2411
"WWP2",845,1029,1106,757,679,286,772,1017,1590,1209,1097,1618,537
"WWTR1",859,866,638,1274,1063,278,1018,2072,2251,708,1077,504,1168
"WWTR1-AS1",14,4,5,11,28,13,1,1,19,9,12,6,16
"XAB2",455,559,275,215,217,151,273,351,461,310,705,474,365
"XAF1",6259,4034,4366,1372,1159,827,2381,2199,3776,14718,4013,3830,1050
"XAGE1A",0,0,0,0,0,0,0,0,0,0,0,0,0
"XAGE1B",0,0,0,0,0,0,0,0,0,0,0,0,0
"XAGE2",0,0,0,0,0,0,0,0,0,0,0,0,0
"XAGE3",0,0,0,0,1,0,0,0,0,0,0,0,0
"XAGE5",0,0,0,0,0,2,0,0,0,0,0,0,0
"XBP1",3823,1327,5650,998,2216,742,4924,1540,4356,2508,5030,2181,2271
"XCL1",2,2,14,44,1,4,3,48,35,15,10,18,69
"XCL2",2,14,17,4,5,3,1,0,6,12,19,0,9
"XCR1",91,164,237,10,108,98,90,4,110,176,98,53,53
"XDH",1032,323,676,459,199,44,35,705,69,442,515,154,189
"XG",362,88,72,154,321,137,201,293,56,184,189,234,279
"XIAP",1930,1519,2624,1259,1414,651,2194,2464,1709,2160,1713,1425,1611
"XIAPP1",0,0,0,0,2,1,0,0,0,0,0,1,0
"XIAPP3",0,21,1,5,17,17,23,6,5,0,9,6,0
"XIRP1",345,68,13,55,34,57,29,63,151,96,30,72,48
"XIRP2",7126,11,59,2239,68,162,508,2966,462,1519,12,192,29
"XIST",10,11,159871,40,154,117,1,10,39152,95,114266,83,19
"XK",189,96,283,706,89,34,4,1248,429,720,16,1537,9
"XKR3",0,1,0,10,1,20,1,0,4,1,4,3,1
"XKR4",49,28,303,78,93,530,1849,30,64,68,55,13,4150
"XKR5",31,11,15,29,21,94,156,69,37,6,8,4,207
"XKR6",448,559,402,21,208,114,269,25,329,269,293,324,346
"XKR7",14,2,3,17,37,74,12,10,10,10,4,5,7
"XKR8",283,155,244,92,115,132,110,122,138,200,212,94,185
"XKR9",128,266,162,134,28,47,178,242,136,93,132,41,666
"XKRX",193,56,236,72,126,64,98,158,223,32,150,121,163
"XKRY",0,0,0,0,0,0,0,0,0,0,0,0,0
"XKRY2",0,0,0,0,0,0,0,0,0,0,0,0,0
"XPA",153,187,229,93,199,62,162,156,325,120,156,288,179
"XPC",582,838,792,198,418,321,597,313,568,476,776,454,688
"XPNPEP1",1045,1009,877,638,1333,319,883,1002,1699,1429,1542,1626,982
"XPNPEP2",14,4,0,7,3,11,0,13,10,2,7,4,2
"XPNPEP3",1535,1082,1039,929,932,638,1646,1377,846,1303,1121,1422,1501
"XPO1",10707,10012,6637,5305,7315,3231,9901,9248,9893,9339,10051,12123,7987
"XPO4",2066,2483,2086,929,1060,838,2713,1406,1860,2285,1390,1913,2514
"XPO5",1364,1805,1080,1153,1443,453,1179,1800,2152,1516,2023,3592,1769
"XPO6",3260,3197,2076,814,2318,734,1391,1251,3244,2151,2649,3539,2296
"XPO7",2685,3216,1334,995,1911,762,1711,1698,2138,2265,2918,2143,3242
"XPOT",2395,2775,1273,1482,2276,860,2644,2373,2405,2383,2973,6432,4026
"XPOTP1",10,10,10,15,23,30,7,4,3,6,12,18,15
"XPR1",2683,2334,1236,3562,1553,571,2106,6443,2490,1864,1361,6054,1677
"XRCC1",195,383,196,144,136,156,234,179,284,204,460,387,372
"XRCC2",631,1041,272,514,593,411,975,737,550,690,959,1021,1729
"XRCC3",461,531,221,229,577,244,505,390,635,686,699,1013,457
"XRCC4",104,88,126,73,77,37,85,109,108,72,137,40,87
"XRCC5",3313,3156,2236,2113,2845,1032,2482,3311,2404,3014,4933,4335,2235
"XRCC6",3045,1531,787,1128,1313,513,957,1789,1832,994,1749,1863,1581
"XRCC6P2",8,8,7,3,1,4,7,7,6,1,3,10,1
"XRCC6P3",3,2,0,6,6,20,0,0,2,7,3,0,2
"XRCC6P4",0,0,0,8,14,17,0,0,3,4,2,6,2
"XRCC6P5",0,1,0,4,4,6,0,0,0,2,4,3,1
"XRN1",3808,5537,5157,2524,2784,1021,3399,4162,8191,9420,4834,3292,3803
"XRN2",881,999,858,640,676,255,916,1112,585,814,1584,1436,1290
"XRRA1",420,288,1078,1010,434,335,1064,1645,367,393,319,1073,932
"XXYLT1",294,540,266,680,1041,131,197,1011,510,661,475,646,349
"XXYLT1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0
"XXYLT1-AS2",10,18,24,0,17,10,0,1,8,13,4,13,2
"XYLB",303,407,207,157,570,339,506,247,350,594,828,310,652
"XYLT1",970,472,1078,339,760,202,812,492,1136,1185,485,927,1134
"XYLT2",497,396,330,436,240,292,477,660,401,1042,665,662,727
"YAE1",165,89,105,161,92,65,206,238,164,249,93,120,198
"YAF2",630,542,759,373,431,286,617,752,622,752,498,642,816
"YAP1",2955,1266,2279,4210,1412,551,4380,7394,1782,1984,2090,6046,2236
"YAP1P1",8,0,0,11,7,4,0,5,6,0,2,1,4
"YAP1P3",0,0,2,5,3,4,0,0,0,1,0,2,0
"YARS1",1532,2247,1041,588,1400,449,1187,1082,1933,1390,2240,1338,1636
"YARS2",166,164,209,96,147,57,178,174,226,140,207,279,270
"YBEY",150,68,100,130,117,56,126,185,176,106,77,77,155
"YBX1",3936,4307,1493,4362,3846,1042,1502,7039,3731,3295,8532,27897,3535
"YBX1P4",2,0,1,7,7,16,5,0,2,11,2,1,16
"YBX1P9",1,0,0,2,3,8,0,0,0,0,0,0,1
"YBX2",824,1553,160,328,300,672,437,551,1048,834,393,538,1380
"YBX3",4545,3160,2199,5035,3773,1321,3430,8378,5259,4464,6404,7303,3673
"YDJC",367,209,176,154,180,106,88,254,322,287,241,513,192
"YEATS2",2162,3566,1725,1922,5076,750,1989,2969,5225,4859,2875,3868,1836
"YEATS4",117,143,63,104,124,58,194,162,144,136,179,256,284
"YES1",1920,3186,897,1783,1229,497,1178,3105,1379,1593,3357,939,2923
"YIF1A",196,195,97,316,198,66,195,431,204,132,250,310,120
"YIF1B",284,361,236,142,181,120,78,204,229,153,308,526,159
"YIPF1",364,423,308,291,182,96,267,438,336,257,411,530,242
"YIPF2",246,352,241,259,161,100,168,486,273,243,418,439,249
"YIPF3",668,645,625,515,416,274,486,863,699,594,833,1320,753
"YIPF4",2118,1929,1677,1206,847,618,1677,2105,1490,1606,1326,1153,2761
"YIPF5",350,275,367,401,286,125,354,705,512,326,357,286,364
"YIPF6",1070,985,1515,875,876,436,1423,1400,1057,1231,1053,1354,1451
"YIPF7",1,0,0,2,1,1,4,0,3,0,1,0,0
"YJEFN3",152,108,171,348,109,55,285,444,179,346,78,559,155
"YJU2",95,106,112,70,63,47,56,82,115,70,184,115,108
"YKT6",1833,1605,1103,1158,1050,481,1248,1829,1447,1353,1471,2073,958
"YLPM1",4199,4817,5216,3218,3276,2052,3233,4953,4806,5639,7898,5376,3368
"YME1L1",1977,2227,1545,2044,1701,577,1673,3402,2119,1863,1911,2104,1719
"YME1L1P1",0,0,0,0,0,0,0,0,0,0,0,0,0
"YOD1",1184,1053,1025,497,1785,313,485,891,1104,1004,3025,827,1078
"YPEL1",219,492,312,157,50,225,761,140,380,340,274,227,664
"YPEL2",651,1177,1249,792,406,283,950,1082,556,1231,403,450,860
"YPEL3",1093,1042,1328,408,373,521,666,581,764,1046,906,679,1203
"YPEL4",48,105,28,27,39,50,43,23,14,59,33,27,17
"YPEL5",1476,2034,1579,1325,961,445,1315,2047,1577,1211,2053,848,1194
"YPEL5P2",0,0,0,0,1,5,0,0,0,0,0,1,0
"YRDC",136,142,81,80,168,39,53,145,101,105,226,381,125
"YRDCP1",16,6,2,3,14,15,15,10,2,23,9,27,41
"YRDCP2",1,0,0,2,0,3,0,0,1,0,0,0,0
