0	1	2
TCGA.CR.6473	KRT	10;5  
TCGA.CR.6480	KRT	15  
TCGA.CR.6481	KRT	15  
TCGA.CR.6482	IMU	15  
TCGA.CR.6487	IMU	15  
TCGA.CR.7368	KRT	15  
TCGA.CR.7369	KRT	15  
TCGA.CR.7385	KRT	15  
TCGA.CR.7404	KRT	15  
TCGA.CV.5442	KRT	15  
TCGA.CV.5443	IMU	15  
TCGA.CV.5971	KRT	9;6  
TCGA.CV.6433	IMU	15  
TCGA.CV.6939	IMU	15  
TCGA.CV.6961	KRT	1;14  
TCGA.CV.7100	KRT	15  
TCGA.CV.7406	KRT	14;1  
TCGA.DQ.7591	IMU	15  
TCGA.H7.A76A	KRT	15  
TCGA.HD.7754	KRT	15  
TCGA.HD.7832	KRT	15  
TCGA.HD.8314	KRT	15  
TCGA.HD.A634	IMU	15  
TCGA.HL.7533	KRT	15  
TCGA.IQ.A61I	IMU	15  
TCGA.KU.A6H7	KRT	15  
TCGA.MZ.A5BI	IMU	15  
TCGA.MZ.A6I9	KRT	15  
TCGA.P3.A5Q5	KRT	15  
TCGA.P3.A5QE	IMU	15  
TCGA.P3.A5QF	KRT	15  
TCGA.P3.A6SW	KRT	15  
TCGA.P3.A6T6	KRT	15  
TCGA.QK.A6IF	IMU	15  
TCGA.QK.A6V9	IMU	15  
TCGA.RS.A6TP	KRT	15  
TCGA.T2.A6X0	KRT	15  
TCGA.TN.A7HI	IMU	13;2  
TCGA.TN.A7HL	KRT	15  
TCGA.UP.A6WW	IMU	15  
UM_15910	KRT	12;3  
UM_15911	IMU	15  
UM_15912	KRT	15  
UM_15913	KRT	14;1  
UM_15914	IMU	15  
UM_15915	IMU	15  
UM_15916	KRT	15  
UM_15917	KRT	15  
UM_15918	KRT	15  
UM_15919	KRT	13;2  
UM_15920	KRT	15  
UM_15921	KRT	15  
UM_15922	IMU	15  
UM_15923	IMU	10;5  
UM_15924	KRT	15  
UM_15925	KRT	15  
UM_36302	IMU	15  
UM_36303	KRT	14;1  
UM_36304	IMU	15  
UM_36305	KRT	15  
UM_36306	IMU	15  
UM_36307	KRT	15  
UM_36308	IMU	15  
UM_36309	KRT	6;9  
UM_36310	KRT	15  
UM_36311	IMU	15  
UM_36312	KRT	14;1  
UM_36313	KRT	15  
UM_36314	KRT	15  
UM_36315	KRT	15  
UM_36316	KRT	15  
UM_36317	KRT	11;4  
UM_36318	KRT	15  
UM_36319	KRT	15  
UM_36320	KRT	15  
UM_36321	KRT	15  
X2536.KZ.1.FS.count	KRT	15  
X2536.KZ.10.FS.count	KRT	15  
X2536.KZ.14.FS.count	IMU	12;3  
X2536.KZ.16.FS.count	KRT	15  
X2536.KZ.17.FS.count	KRT	15  
X2536.KZ.18.FS.count	IMU	15  
X2536.KZ.23.FS.count	IMU	15  
X2536.KZ.25.FS.count	KRT	15  
X2536.KZ.28.FS.count	KRT	15  
X2536.KZ.33.FS.count	KRT	15  
X2536.KZ.34.FS.count	KRT	15  
X2536.KZ.4.FS.count	KRT	15  
X2536.KZ.7.FS.count	IMU	15  
X3687.SS.1.count	IMU	15  
X3687.SS.10.count	IMU	15  
X3687.SS.11.count	KRT	15  
X3687.SS.14.count	IMU	15  
X3687.SS.15.count	IMU	15  
X3687.SS.16.count	KRT	15  
X3687.SS.18.count	IMU	15  
X3687.SS.2.count	KRT	15  
X3687.SS.24.count	IMU	14;1  
