"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count"
"A1BG","-0.587948649664302","1.33245633382162"
"A1BG-AS1","2.95111045320795","2.04638597043421"
"A1CF","-0.843273399849487","-2.12180284556078"
"A2M","6.20821820081701","6.9562380243162"
"A2M-AS1","3.14836528491001","2.44122111953192"
"A2ML1","8.10626385284901","6.83725253216528"
"A4GALT","5.26025649796025","5.58427882780922"
"AAAS","5.26633672699895","5.17881134446864"
"AACS","6.49555433533406","5.84668294801837"
"AACSP1","1.1570396626385","0.512022264181021"
"AADAC","-2.99154679673557","-2.99154679673557"
"AADACL2","-1.15371371480717","-2.49210214931233"
"AADACL3","-1.33820888159384","-2.99154679673557"
"AADACP1","0.332045873902132","-0.318510420703441"
"AADAT","1.55159647173175","3.07856522625755"
"AAGAB","5.66186230233797","5.60292623973912"
"AAK1","8.15049249768307","8.68763814914325"
"AAMDC","-0.475447689469323","-0.318510420703441"
"AAMP","4.21136375258158","4.73899127840407"
"AAR2","4.63756657096612","4.25627902744283"
"AARD","-2.47641855189715","-1.19162410141983"
"AARS1","6.31179587931526","7.13343527759748"
"AARS2","5.06014418837614","4.38396223382776"
"AARSD1","3.11281387759032","2.52182652143409"
"AASDH","4.64691794632705","4.5501216450282"
"AASDHPPT","4.87889681618557","4.07671027166362"
"AASS","5.95323220344151","5.48053841877418"
"AATBC","5.52824810447667","3.67409659657159"
"AATF","4.36280771898327","4.64914102994012"
"AATK","2.37782860642475","2.86858073381135"
"ABALON","-0.273771631706774","-1.58301039927926"
"ABAT","3.82864015761193","5.12821615190064"
"ABCA1","7.0958682139794","7.97353228060114"
"ABCA10","3.22529062417858","1.41918740190666"
"ABCA11P","2.30093255607466","2.21748645763329"
"ABCA12","5.7072656860499","3.01500705555319"
"ABCA13","8.69561401751493","4.83413343489043"
"ABCA17P","0.889322605494845","5.07578189921683"
"ABCA2","7.19853661955668","7.33743149940292"
"ABCA3","6.11919704276017","5.27108961978094"
"ABCA4","0.757398902638175","-1.37408543620625"
"ABCA5","7.27138860122401","6.49773159360603"
"ABCA6","5.10380773276958","3.7373532237607"
"ABCA7","6.47469988066919","5.10442009338876"
"ABCA8","3.66031016689416","0.512022264181021"
"ABCA9","4.35522116488496","2.24939965193358"
"ABCA9-AS1","-2.47641855189715","-2.49210214931233"
"ABCB1","1.41231363824208","2.48208668943057"
"ABCB10","4.72552042745821","3.9464892052555"
"ABCB11","0.133472921871632","-1.82739910409141"
"ABCB4","0.662232284549689","0.402746918137816"
"ABCB5","0.612186412644319","-1.37408543620625"
"ABCB6","3.73236073849004","3.17310769315165"
"ABCB7","4.15567588337483","4.55651350069256"
"ABCB8","6.41938771192818","5.28847362053402"
"ABCB9","4.45796567388464","4.70774551663178"
"ABCC1","8.31179807609923","7.5124297885125"
"ABCC10","5.84905229613474","5.46872567309252"
"ABCC11","1.1570396626385","0.753698964278036"
"ABCC12","-0.475447689469323","-2.49210214931233"
"ABCC13","-0.182606520904112","-1.19162410141983"
"ABCC2","1.67860843744054","0.458418961514583"
"ABCC3","3.04840961682337","5.15584191150522"
"ABCC4","4.99573069271807","4.40182125029143"
"ABCC5","8.82276594399384","9.01264156838001"
"ABCC6","0.662232284549689","-2.12180284556078"
"ABCC6P1","-0.273771631706774","-1.82739910409141"
"ABCC8","-1.33820888159384","-0.88407510485039"
"ABCC9","4.43295735464819","2.65883418286436"
"ABCD1","4.34376600272332","4.87562155483534"
"ABCD2","2.2850489917486","2.64690286956838"
"ABCD3","5.74694180870268","5.8852800244437"
"ABCD4","5.43596274280425","5.7537836694321"
"ABCE1","6.76685679922319","7.45713478915188"
"ABCF1","5.34887412769524","5.46872567309252"
"ABCF2","3.95447674154113","4.08557703555645"
"ABCF3","5.0717633275879","6.12776831991493"
"ABCG1","4.190198956955","5.10877594563084"
"ABCG2","1.08548109603551","0.708494357288831"
"ABCG4","-1.15371371480717","-1.02966978837871"
"ABCG8","-0.0968614115448922","-2.49210214931233"
"ABHD1","0.450704963448255","-1.02966978837871"
"ABHD10","4.1987021706662","3.98016289041087"
"ABHD11","4.8709382751715","4.33646690979517"
"ABHD12","4.7972639268007","5.49558548263121"
"ABHD12B","0.450704963448255","-2.49210214931233"
"ABHD13","4.9410323762267","4.40182125029143"
"ABHD14A","1.74977296464678","0.155713703604448"
"ABHD14B","5.05078102708706","4.71347713006808"
"ABHD15","4.48602566101849","3.75413430982864"
"ABHD16A","3.33735099075799","3.2381718702251"
"ABHD17A","5.68625512742384","5.88146645379905"
"ABHD17B","4.1944568285215","3.9464892052555"
"ABHD17C","6.50329768670178","5.40993205201152"
"ABHD18","5.41968811354816","5.37419418380132"
"ABHD2","7.72356527099255","7.9243386985192"
"ABHD3","5.19162601116015","5.75239233858305"
"ABHD4","6.152406399481","4.8883456696541"
"ABHD5","5.87978234617672","6.49856172229278"
"ABHD6","3.10378743298669","4.80490212151962"
"ABHD8","1.77273520553525","3.18965089275594"
"ABI1","6.70328942766175","6.3371611570445"
"ABI2","6.52374571135298","6.99557990545079"
"ABI3","3.39768246779721","4.27190048084929"
"ABI3BP","5.06247551451188","3.00569434992423"
"ABITRAM","4.45796567388464","4.52752446716697"
"ABL1","6.59472588989192","6.87354185617678"
"ABL2","6.86961354222448","6.62101753418694"
"ABLIM1","6.17950860441464","8.66655624017542"
"ABLIM2","5.75417098382299","5.1452791296332"
"ABLIM3","5.21905328250752","1.27159642651301"
"ABO","4.70775777488056","3.85610844115396"
"ABR","7.4364162355147","7.20282108994647"
"ABRA","0.450704963448255","-2.99154679673557"
"ABRACL","2.11578334366039","2.61050520992653"
"ABRAXAS1","4.92061643171916","3.79795240229033"
"ABRAXAS2","4.71666643801335","4.62501600958233"
"ABT1","4.32057914767831","4.39113239121241"
"ABTB1","4.03265620921852","4.50456770618459"
"ABTB2","3.42692773061207","4.53401700102375"
"ACAA1","4.01350491888798","4.55651350069256"
"ACAA2","3.87712412391136","2.50870116437161"
"ACACA","7.83650957010282","7.67767041279499"
"ACACB","5.15495432536316","5.37780807250976"
"ACAD10","5.40873546332428","4.78326470045758"
"ACAD11","2.37782860642475","2.4954552981726"
"ACAD8","4.49985361392016","4.3803637473948"
"ACAD9","4.94861448031283","6.00928484604989"
"ACADL","0.332045873902132","-2.49210214931233"
"ACADM","4.49295620468763","4.16719983312192"
"ACADS","1.96443930236355","1.67557822700597"
"ACADSB","4.98839282938785","4.20430850964057"
"ACADVL","7.78661708478351","7.20993444058021"
"ACAN","0.612186412644319","-0.630707005779911"
"ACAP1","4.27707715255972","4.68458860366483"
"ACAP2","7.01932960614615","8.21160166136086"
"ACAP3","6.85758171339824","6.38911744072345"
"ACAT1","2.745944825966","2.02810464683313"
"ACAT2","3.62288898207078","4.61892118832364"
"ACBD3","6.06209070421742","5.45681540593509"
"ACBD4","2.745944825966","2.18485132648447"
"ACBD5","5.35649404365899","4.69331606192389"
"ACBD6","5.78978327330116","5.52684530084632"
"ACBD7","1.60375057186303","4.31400724582484"
"ACCS","4.52373812478147","4.68458860366483"
"ACD","3.41967180552489","4.19614423175473"
"ACE","3.81764103332952","3.45895316579991"
"ACE2","1.65408487224862","-1.37408543620625"
"ACER2","2.9711023424506","4.14191959915202"
"ACER3","5.45560782147467","5.25545933618315"
"ACHE","2.2850489917486","0.155713703604448"
"ACIN1","8.24870658770824","8.18632156366316"
"ACKR1","1.44126674878527","0.881388923330461"
"ACKR2","2.54720379075828","0.458418961514583"
"ACKR3","5.21486749244259","2.29598362461473"
"ACKR4","1.67860843744054","-0.518964912434474"
"ACLY","6.58178197539255","6.54027715283048"
"ACO1","4.85757569403336","5.18707401951059"
"ACO2","5.93043894507121","6.56664062961208"
"ACOT1","-0.709970034578899","-1.02966978837871"
"ACOT11","6.1589575130294","4.67580802791295"
"ACOT13","3.07636421812014","2.98688663233032"
"ACOT2","1.352603698253","0.960639951991889"
"ACOT4","0.889322605494845","0.155713703604448"
"ACOT7","3.75559956159845","4.77780425653465"
"ACOT8","3.92915057598233","4.62501600958233"
"ACOT9","4.26902481309206","4.31400724582484"
"ACOX1","6.64925330422146","5.82566768640207"
"ACOX2","0.846674499527131","-0.518964912434474"
"ACOX3","5.05078102708706","5.20752601321216"
"ACOXL","1.55159647173175","0.753698964278036"
"ACOXL-AS1","0.802727150262781","0.0142803182713569"
"ACP1","5.916330353489","6.19281202508278"
"ACP2","4.6685049464702","4.79141680984375"
"ACP3","3.16581776941674","2.24939965193358"
"ACP5","3.80655740693418","4.82091985026778"
"ACP6","5.85309787960749","6.97246231291071"
"ACP7","-2.47641855189715","1.89320643268359"
"ACR","-2.47641855189715","-1.02966978837871"
"ACRBP","1.55159647173175","2.09987979894226"
"ACRV1","-2.99154679673557","-2.49210214931233"
"ACSBG1","-0.0159278429998707","-1.82739910409141"
"ACSF2","2.78034265095631","3.89697820549232"
"ACSF3","5.96823007341212","6.63844601593569"
"ACSL1","6.67994470809878","6.50435928705349"
"ACSL3","6.03147734455983","5.88400995397318"
"ACSL4","5.42694395682175","5.07800513340426"
"ACSL5","3.39768246779721","4.82357226674432"
"ACSL6","4.04213735535554","-0.415258958204372"
"ACSM1","-0.273771631706774","-2.49210214931233"
"ACSM2A","-1.7978611339028","-2.12180284556078"
"ACSM2B","0.450704963448255","-1.37408543620625"
"ACSM3","3.07636421812014","1.36194983877653"
"ACSM5","0.268843770695529","1.27159642651301"
"ACSS1","4.89206426000533","4.89592661771588"
"ACSS2","5.34887412769524","4.56604849752687"
"ACSS3","2.62497473811719","0.155713703604448"
"ACTA1","4.46855222795543","-2.49210214931233"
"ACTA2","4.40383530432251","4.28735459599895"
"ACTA2-AS1","1.72643933274692","1.67557822700597"
"ACTB","11.2379077171179","11.0629560936593"
"ACTBL2","-0.99015951693748","-2.99154679673557"
"ACTC1","4.40750787147923","-2.99154679673557"
"ACTG1","10.0061200021607","9.87458764283265"
"ACTG1P14","2.53382439006548","2.23353129512337"
"ACTG1P15","0.612186412644319","-0.0620003485921189"
"ACTG1P17","1.08548109603551","1.03576327537043"
"ACTG1P24","0.392595012236496","-1.58301039927926"
"ACTG2","0.971013317850512","0.613600275755168"
"ACTL6A","4.55055913078486","6.19895369991892"
"ACTL8","0.133472921871632","-2.99154679673557"
"ACTN1","6.88154585702291","6.54510648464588"
"ACTN2","3.79538796997149","-0.415258958204372"
"ACTN3","-2.99154679673557","-1.19162410141983"
"ACTN4","8.66870481670572","8.64291082463629"
"ACTR10","4.25278403545765","4.32153271727989"
"ACTR1A","5.85981541024594","6.38193723711105"
"ACTR1B","5.48197262149166","5.16841600560321"
"ACTR2","8.13534618622496","7.77234993078818"
"ACTR3","7.96730004978075","7.93296209350125"
"ACTR3B","3.43414734512049","3.06965512941053"
"ACTR3C","4.89468338847662","4.93814874195423"
"ACTR5","2.58661324801443","3.60177116454886"
"ACTR6","3.49754783882757","4.00841339812289"
"ACTR8","4.52711814618968","5.08686396705549"
"ACTRT3","0.971013317850512","0.708494357288831"
"ACVR1","4.95615694478007","4.68166767890545"
"ACVR1B","5.67105801094975","5.22969331615846"
"ACVR1C","3.87181678166961","3.34541797330925"
"ACVR2A","4.89468338847662","4.28350655924616"
"ACVR2B","5.76136411493453","6.4069131464098"
"ACVR2B-AS1","2.69876687959938","0.708494357288831"
"ACVRL1","3.72649206904051","2.67066763114182"
"ACY1","1.22521598109548","0.155713703604448"
"ACY3","-2.47641855189715","-2.12180284556078"
"ACYP1","3.10378743298669","3.64440036982628"
"ACYP2","2.76896759300089","2.82688668214711"
"ADA","3.77846998185979","3.33801638536019"
"ADA2","5.28042506131963","6.49773159360603"
"ADAD2","0.268843770695529","-0.630707005779911"
"ADAL","4.12923038945512","3.13944108534932"
"ADAM10","7.68852433427326","6.99086793980796"
"ADAM11","-0.371088459230445","0.998690531651053"
"ADAM12","6.36659454745988","5.5121224161398"
"ADAM15","6.42302095058969","6.88755231644856"
"ADAM17","7.34217782803512","6.65492200708051"
"ADAM19","5.98921365600293","5.85318792980522"
"ADAM1B","-0.99015951693748","-1.58301039927926"
"ADAM20","2.93083763240783","2.11727919521788"
"ADAM20P1","2.30093255607466","1.1071676650536"
"ADAM21","-2.99154679673557","-2.99154679673557"
"ADAM21P1","-1.7978611339028","-2.99154679673557"
"ADAM22","2.07940958331678","4.42645819166871"
"ADAM23","6.85085374977322","5.14739788195361"
"ADAM24P","-1.33820888159384","-1.37408543620625"
"ADAM28","5.46797137672776","5.15584191150522"
"ADAM29","-1.54980588106307","-2.49210214931233"
"ADAM30","-2.09760813214978","-2.12180284556078"
"ADAM32","2.34756021760886","2.78395171611864"
"ADAM33","2.83591029974041","2.50870116437161"
"ADAM8","5.58123768712696","4.99101670210058"
"ADAM9","7.0607326019185","7.03902185340875"
"ADAMDEC1","3.07636421812014","4.14616385414927"
"ADAMTS1","5.41422218220062","4.47787615814042"
"ADAMTS10","4.59632852971551","2.83742370343828"
"ADAMTS12","4.87624884427748","4.44034982184323"
